first_release_date,id,name,platforms,summary,genres,storyline,rating
1279497600,257336,Mortal Kombat: Outworld Assassins,[6],Mortal Kombat Outworld Assassins is a fan made game based on Mortal Kombat Mythologies SubZero game but with a lot of fan made plot stuff  In this game you play as SubZero Scorpion or Noob Saibot and its a prequel story that tells the origin of those 3 characters before the tournament And like i said above the story is fan made and thus everything that you see here is made up  The gameplay is basically in beatem up style where you running around different locations beating up bad guys and fighting with bosses But there is some extra stuff to it like you can use some super moves and special moves and also you can do a fatalities on bosses and enemies when they are low on health But you can check that out in How to play option in the game itself,Missing,Missing,Missing
1278547200,256444,Team Fortress 2: The Engineer Update,[6],The Engineer Update was a major content update focusing on the Engineer  Rather than announcing new content for the update regularly new content was announced every time 25 Golden Wrenches were found With 100 Wrenches to be found in total there were 4 announcements prior to the final release of the update,[5],Missing,Missing
1279670400,246586,Porkérion 2,[6],The second entry in the Porkérion series by HLMTZ,[12],Missing,Missing
1280534400,214802,Mahoutsukai to Goshujin-sama: New Ground,"[6, 38]",Mahoutsukai to Goshujinsama Wizard and the Master New Ground is the first remake of Mahoutsukai to Goshujinsama Wizard and the Master The remake adds updated art and voice acting for the characters This version was released on the PC then later on the PSP,"[31, 34]",Youre the princess of a magical kingdom Everything is based on magic and everyone can use magicexcept you You have been sent on a trip to the nations foremost magical academy now you have 25 weeks to choose a personal servant from among its students  or else lose your status forever,Missing
1278201600,209458,Flux Family Secrets: The Rabbit Hole,"[6, 14]",Missing,Missing,Missing,Missing
1278115200,202314,Matsurikki,[6],Matsurikki is a Japanese Yume Nikki fangame It stars Maritsuki a girl in a yukata The goal is to explore her dreams,[31],Missing,Missing
1278460800,202091,Bejeweled 3,"[6, 9, 12, 20, 55, 82]",The biggest brightest Bejeweled ever Discover allnew ways to play the worlds 1 puzzle game Find your perfect match with 8 breathtaking game modes that meet all your moods ease into Classic Bejeweled for cascades of fun journey through 40 challenging Quest puzzles charge into the electrifying Lightning for nonstop action and tailor your experience in Zen for a revolutionary new way to relax,Missing,Missing,Missing
1278460800,199105,The Ultra Mission,[6],The Ultra Mission is a shooting game where on each of the eight levels the protagonist must reach civilians to rescue them Once all civilians on a level are rescued the level is complete,"[5, 32]",Missing,Missing
1278892800,191901,PixEvo: The Fountain,[6],PixEvo The Fountain is a retrostyled platformer game where you explore the world and collect pixels to evolve into better forms with more abilities Reach new places and collect all the pixels to save the world,"[8, 31, 32]",Missing,Missing
1278979200,176702,Frogatto & Friends,"[3, 6, 14, 39, 73]",Frogatto  Friends is an actionadventure platform game starring a certain quixotic frog,"[8, 31, 32]",In Frogatto  Friends the player helps the title character Frogatto save his friends from trouble,Missing
