first_release_date,genres,id,name,platforms,summary,storyline
1616630400,[5],272500,Super Slug,[6],Responding to a distress signal from a nearby planet your ship detects no lifeforms but sensors are picking up energy readings near an abandoned research facility You are sent down with your away team as chief of security to investigate Upon arrival you are alone theres no sign of your team and your equipment is gone,Missing
1615593600,"[9, 12]",272077,Pokémon Fairies,[6],A short sweet and simple game1 hour of playtime No battles or Pokémon capturing only story and puzzles An enchanting world in the clouds in an alternate universe Fairies friendship and magic More fluff than a Wigglytuff More cheese than an Aromatisse More pink than a mutated Carbink,Missing
1616112000,[5],271343,Greymoor,[6],Large medieval castle with several nightly courtyards It runs on the Progs_dump mod included and comes with a few custom models sounds a skybox and a music track The map and qc sources are included,Missing
1617148800,Missing,270209,Kill Commando,[6],Join and play this C64funsplatterpixelmassacre Made for the fans of Wolfenstein Doom Duke Nukem Shadow Warrior and Redneck Rampage,Missing
1615939200,[5],268896,Lost Luxury,[6],Lost Luxury is a 10map hub designed for Vanilla Hexen 5 maps are interconnected 2 are for the finale and 3 are secret,Missing
1617148800,[34],264127,Snow Angel,"[3, 6, 14]",What if when you wished for something someone answered  Snow Angel is a heartwarming love story between a human and an angel involving fluff baking and falling snow Pick your own pronouns and experience a charming tale within the alps,Missing
1616198400,[7],262616,Friday Night Funkin': Mid-Fight Masses,[6],MidFight Masses also called Sarventes MidFight Masses is a Friday Night Funkin mod that adds in two weeks with 5 songs in total cutscenes and various other features such as a remix of the Tutorial In this mod Boyfriend and Girlfriend are trying to look for a bathroom but manage to stumble into a church In the church they end up rap battling the nun Sarvente,Missing
1616630400,[5],262551,Archi-Tek,[6],ArchiTEK also known as UVOLNIT is a three level PWAD for Doom II designed for GZDoom created by Roman Suchomel Romsu89 The WAD utilizes almost entirely stock Doom textures and is known for its lengthy maps and intricate detailing,Missing
1615334400,[5],262542,The Rising,[6],Wadazine Master Collection 01 The Rising or shortly WMC01 The Rising is a sixlevel collaborative mapset for Doom II and the GZDoom source port created by various members of The Doom Master Wadazine community led by Alexa JonesGonzales Remilia Scarlet with support from Christian Blair Endless It is the first entry in the Wadazine Master Collection series The project started on March 11 2021 The first version was released on April 25 2021 The maps were created with heavy use of Doom 3 textures,Missing
1616457600,[5],261454,The Hate Flow,[6],Missing,Missing
1616112000,[5],259396,Disintegration,[6],A singleplayer map made for the GZDoom port All difficulty levels are supported Mouselook is recommended but not required,Missing
1616284800,[5],258890,Doom 2 In Spain Only,[6],Doom 2 is only released in Spain It is vanilla compatible megawad with Doom 2 and all applicable source ports It has 32 exciting new levels of destruction These famous authors include Juan Romero El Pedersen and South America McGee,Missing
1617148800,[12],258572,Chondriatic,[6],Something is under your skin It itches,Missing
1614643200,[5],257125,Rainy Days In Casablanca,[6],Rainy Days In Casablanca is a limitremoving Doom II project from various members of Doomer Boards led by joeilya Welcome to the winter of 1900s Casablanca the land of big casinos dark alleys and singing skeletons,Missing
1615939200,"[12, 31]",256969,Genshin Impact: Invitation of Windblume,"[6, 34, 39, 48]",Version 14 of Genshin Impact which included  New character Rosaria  New main story quests Chapter I Act IV  We Will Be Reunited  New quest category Hangout Events for Barbara Bennett Chongyun and Noelle  New main event Invitation of Windblume  and more,Songs of joy in the winds are streaming Beneath the flowers old hymns abide Though you should seek the festivitys meaning Forget not that which your hearts do hide
