first_release_date,genres,id,name,platforms,storyline,summary
1695945600,"[32, 34]",255547,Neko-nin ExHeart Spin!,[6],Our hero Makibishi Kikumaru has spent his mostly plain days in the company of his tanukifaced family members younger sister and grandfather but his grandfathers sudden death causes a major shift in his daily life A catearred woman in battle dress storms in on the funeral vigil and lets loose with a machine gun His younger sister turns into a tanukiearred ninja  What the heck is going on The one that comes to our heros rescue is a mysterious and beautiful catearred woman  My name is Touka I am here to protect you Lord Makibishi no Lord Saiga Kikumaru These are the words that Touka speaks to a bewildered Kikumaru  1 There are people that exist in this country known as demihumans as well as people of other origins unbeknownst to the rest of the population 2 These beings served as ninja during the Sengoku period and still exist here and there across Japan today 3 You were born into the Saiga family who act as intermediaries between this underworld and mainstream society 4 And so you are already involved in the struggle If you dont get serious about it youll end up dead This part is vital  So it seems  Things seem to be a little on the serious  side this time as the curtains rise again on a new NEKONIN chapter With our brand new outfits were going meow meow our way into your heart,Nekonin ExHeart Spin is an upcoming side story of the Nekonin ExHeart series
1694044800,"[12, 31, 32]",255301,Path to Knighthood,"[3, 6, 14]",Missing,Learn the dark truth behind a gentle wyverns rampage a coldblooded murder and a dragonworshiping cult Will you submit or defy the godlike creature
1694476800,"[13, 31]",255179,On Air Island: Survival Chat,"[6, 34, 39]",A remote island has been chosen as a battleground for a stimulating survival program A cast of characters each with their own reasons for being there are thrown together  When it calls you dont look back  They have no choice They must survive  But as the night draws in the darkness draws closer and closer consuming the cast How can they escape the darkness that is getting closer and closer  Forget the survival programs youve seen before The worlds first live survival stream Whats at the end of it all,On Air Island is set on a mysterious remote island that is full of intrigue It tells the mysterious and horrifying story of the main characters trapped on a remote island  You are the audience but you are also the ones who can save or kill the characters as they run for their lives from the dangers that abound on the deserted island Will the cast be able to escape the islands labyrinth that is closing in on them and survive
1695340800,"[4, 8, 9, 31]",255085,Avatar: The Last Airbender - Quest for Balance,"[6, 48, 49, 130, 167, 169]",Missing,In Avatar The Last Airbender  Quest for Balance youll be playing as one of nine characters  Aang Toph Sokka and Katara are all confirmed  utilizing the four elements earth wind fire and water to solve puzzles
1694736000,"[10, 14, 33]",254849,NASCAR Arcade Rush,"[6, 48, 49, 130, 167, 169]",Missing,The NASCAR Beasts are Unleashed
1694736000,"[7, 31]",254843,Baby Shark: Sing & Swim Party,"[6, 48, 49, 130, 167, 169]",Missing,Swim across the wide ocean with the Shark Family to enjoy the Fintastic Festival Choose from five customizable characters and play either in the runner or rhythmic game mode Sing and swim to finomenal songs and get rewarded with tons of musical cards to add to your album
1695859200,"[12, 25, 31]",254330,Silent Hope,"[6, 130]",One day a terrible calamity struck a peaceful kingdom In the chaos that followed the people began to deceive and backstab each other Their King used his powerful magic to steal away peoples ability to speak and hurled himself into the Abyss His daughter the Princess cried an endless flood of tears until they encased her in a giant crystal teardrop  Many years after these events faded to memory seven rainbowcolored lights flew from the Abyss These rays of hope appeared before the Princess manifesting themselves as seven heroes ready to answer the Princess call for help Why did the King abandon his daughter and his people And why did he steal their ability to speak,Explore fight and produce items to grow stronger as seven distinct heroes in this silent world Guided by the Princess youll delve into the Abyss and learn the mysteries of the King and his nowruined kingdom In a world without words what hope is there for humanity
1695340800,"[9, 31]",254223,Cry Babies: Magic Tears - The Big Game,"[6, 48, 49, 130, 167, 169]",Missing,Your favourite Cry Babies characters are ready to play The Big Game is a friendly and fun adventure perfect for young players Join Lady Coney Dreamy and friends in an allnew adventure as they take part in an exciting multistage tournament to win the fabled Golden Pacifier
1695340800,[10],254108,ArcRacer,[6],Missing,ArcRacer is a fastpaced aggressive and stylistic antigravity racer Inspired by classic series such as FZero and WipEout ArcRacer aims to provide a fresh new challenge for genre veterans while also creating an accessible and engaging experience for newcomers
1695254400,[13],254041,Selfish Cupid: BL (Boys Love) Visual Novel,"[3, 6, 14]",Missing,Ten has the ability to see other peoples soulmates after he was chosen to be the cupids vessel He is tasked to help bring couples together But there is just one problem Ten couldnt care less about other peoples relationships He only cares about his own love life
