first_release_date,genres,id,name,platforms,summary,storyline
1688342400,"[31, 32]",275671,FolcDark,[6],FolcDark is a prologue of a thirdperson dark fantasy actionadventure game with a story and characters focused on Brazilian folklore,Missing
1689811200,[2],275647,FNaF 4 Retro Edition,[6],This is a complete recreation of FNaF 4 in an 8bit art style,Missing
1688860800,[31],275142,Miss Paint: Part 1,[6],To start us off a bit of Athenian trivia Peristeri is a real area of Athens and the Greek word for pigeon  You will find pigeons in this fictional version of Peristeri  or rather they will find you  but were we to name this godforsaken place after the creature that populates it most densely we really should call it Cops  Cops are a part of this story Homeless men are a part of this story Young artists who suffer menial parttime jobs to fund their creative pursuits are a part of this story The protagonist of this story however is a middleaged woman named Iris  You would call Iris a protagonist but you would never call her a hero especially not to her face If you called Iris a hero she might actually die Why Because God shes no hero am I I mean is she Let me answer that shes not In fact shes nobody really A totally unexceptional deeply conservative borderline detached shadow of a person whod just like some paint Pai Sorry I meant paint No Not paint I was gonna say she just wants some  P a i n t,Missing
1689206400,[5],274427,NewCity,[6],A Cyberpunk inspired city with a selection of unique buildings ready for exploration,Missing
1688688000,Missing,274261,Night at Banban's II,[6],BanBans Kindergarten follows you back to your home in the countryside What will you do The official sequel nights at BanBana Kindergarten,Missing
1690675200,"[9, 34]",273516,Death's End,"[3, 6, 14, 82]",You have died  Death has some questions for you,Missing
1689811200,"[9, 12, 32]",272888,Red Line,[6],Moving into a shabby apartment a saturnine girl with hidden secrets finds a notebook that allows her to communicate with another world A thrilling adventure taking place across multiple timelines ensues,Missing
1690416000,"[12, 31, 33]",272149,Tuiterland 4,"[6, 34]",Explore the vast region of 4chan discover all of its secrets and discover new and extravagant characters in this new entry of the Tuiterland saga Tuiterland 4 has a clear distinction from the rest of the series we dont visit Twitter at any time  Even though it only has one playable region 4chan is the vastest region of the Social Network Contintent as it was revealed in Tuiterland 3 and Tuiterland 0rigins so theres no need to worry about not having enough places to explore  What mysteries will you find What unpredictable situations will happen How is the story connected to the other entries All of this and much more will be discovered in this new entry the new generation of the Tuiterland saga  Tuiterland 4 has been developed to be the ultimate Tuiterland experience being the game with most story cutscenes lots of side content in terms of stories and map exploration and the most refined combat system We hope you like it  The game can be played on Android using the free emulator JoiPlay available on Google Play Store but slight visual glitches may appear,Missing
1688774400,[5],271846,Tainted,[6],In your tainted land an unfathomable cosmic horror takes root Monstrous abominations sow chaos and despair while the Rune of Power pulsating with forbidden energies is stolen To restore harmony and repel doom you must drive back the eldritch creatures and reclaim the Rune of Power 8 Singleplayer maps made for Copper,Missing
1689811200,Missing,270592,Maska,[6],Missing,Missing
