first_release_date,genres,id,name,platforms,summary,storyline
1603670400,"[12, 35]",151696,The Count of Monte Carlo,[6],The game is Blackjack but not as you know it The wager is your life but you do not plan to lose it  Beat the house and double down on the doubledealers who sealed you away Experience a twist on both a classic card game and a classic novel,Missing
1601683200,"[5, 8]",151677,CosmoDreamer,"[6, 130]",From the popular free game Outside comes a dreamy and cute barrage shmups The visuals are colorful cute and fantastic and the game features active gameplay,Missing
1603152000,"[15, 32]",151514,This Is Not Chess,[6],A turnbased tactics game about goofy characters with wide and varied techniques duking it out across a bright and colourful battlefield,Missing
1603411200,"[13, 15, 32]",151508,Squares Rage,[6],Have you ever played a game that is so fun but is also so infuriating that you wanted to throw your keyboard against the wall Squares Rage is one of those You have been warned,Missing
1601942400,[32],151497,Skate Forever,[6],Skate Forever is a classic 2D runner with a side view Test your reaction make the skater jump in time On the levels you can find special perks that change the gameplay for example speeding up the character or you can take an antigravity skate turn upside down,Missing
1603065600,"[31, 32]",151493,Wark & Wimble,[6],Eat food hatch eggs and solve puzzles in this 2D puzzle game Use the characters to arrange objects while avoiding deadly traps and enemies,Missing
1602806400,"[31, 32]",151452,Mystery Hotel: Hidden Object Detective Game,"[6, 14]",Solve the riddle of the mysterious murder at the Hotel Noir in the newest hidden object game Collect all clues and dont trust anyone,Missing
1602288000,"[31, 32]",151393,Spinning Kid,[6],A rabbit in a capsule capable of rotating the world,Missing
1603670400,"[31, 32]",151340,Cyberforge: First Light,"[6, 14]",Cyberforge First Light is a FREE developers build for our topdown cyberpunk adventure Cyberforge Control a trio of cyberenhanced dwarves each with unique skills and weapons as the strive to survive this endless mode challenge If you enjoy the Dev Build please Wishlist the Full Version,Missing
1603929600,"[13, 32]",151308,Farmer and Tree,[6],Adopt barren hills plant trees and experience the sweet joy of doing nothing,Missing
1603411200,[15],151297,Crown of the Empire Around the World,"[6, 48, 49]",Crown of the Empire fun adventures await The queen needs your help,Missing
1603670400,"[15, 32]",151296,Gizmos: Spooky Adventures,[6],Solve challenging nonograms The citizens of Gizmo Land find themselves in great danger after an attempt to celebrate Halloween goes very wrong,Missing
1603324800,[12],151287,Fleshcult,[6],Take the role of an incubus or succubus Seduce mortals into perverse servitude Subject them to monstrous transformations,Missing
1602720000,"[13, 15]",151257,Hearts of Iron IV: Battle for the Bosporus,"[3, 6, 14]",Three new national focus trees are the heart of this expansion The minor powers of Bulgaria Greece and Turkey each have new alternate historical paths to follow as they resist incursions into the strategic sea lanes of the Back and Aegean seas,Missing
1603670400,"[13, 32]",151241,Masters of Puzzle: Halloween Edition - Undeadly Romance,"[6, 14]",A special edition puzzle box in the traditional art for the Masters of Puzzle game,Missing
