,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[12],221537,Final Fantasy XIV: The Far Edge of Fate,"[6, 9, 48]",The threat of the Warriors of Darkness is no more Unexpected reunions salve the ache of bittersweet farewells And with their ranks further bolstered by the official induction of Alisaie and Krile once more do the Scions of the Seventh Dawn set their feet upon fates path and their gaze upon distant horizons,Patch 35 brings a myriad of additions and refinements to the realm of Eorzea including new story quests dungeons and more,Missing,4.57,7.06,10.9,83.0,29.0,26.0
1,"[12, 13, 15, 31]",214643,Fairy Elements,"[6, 34, 39, 48, 49, 130, 167, 169]",Missing,Yamato is a royal knight fighting to protect the peace of his kingdom His sword is imbued with the mysterious power of Material Along with his attendant a female knight called Orka he saved his kingdom from a crisis However in the battle he was somehow transported to a world 200 years in the future  In the world of the future he meets a strange creature and a mysterious girl At the end of his adventure what will be the future that awaits his kingdom Enjoy this fantasy RPG with all BGM by the renowned Ryuji Sasai,Missing,10.91,20.32,22.95,0.0,0.0,3.0
2,"[12, 13, 25, 31]",194767,Yakuza 0: The Business Launch Edition,[48],Yakuza 0 is a prequel set in 1988 to the Yakuza series taking place before the first game Fight like hell through Tokyo and Osaka with protagonist Kazuma Kiryu and series regular Goro Majima Play as Kazuma Kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered Then step into the silvertoed shoes of Goro Majima and explore his normal life as the proprietor of a cabaret club,Yakuza 0 The Business Launch Edition includes  The Game  A stainless steel business card holder decorated with Kiryus Dragon tattoo and Majimas Hanya tattoo designs,Missing,,,,,,
3,Missing,187678,Ruckus Rumble,[48],Missing,Missing,Missing,,,,,,
4,"[9, 15, 35]",153165,Uno: Winter Theme DLC,"[6, 48, 49, 130]",Missing,Winter takes over UNO Add some fun cozyness and joy to your UNO deck with the Winter Theme This DLC contains new avatars environment and music for you and your friends to enjoy A fun new way to enjoy your UNO game in the comfort of your living room,Missing,,,,,,
5,"[2, 9, 13, 31, 35]",147835,Mom Hid My Game! 2,"[34, 39, 48, 130]",Missing,Lets find the game console mom hid Is it under the sofa or on the fridge Could it be behind the curtains too Please give me back my game Find the game in each level using various items The sequel to the previous Mom Hid My Game an easygoing and funny escape game awaits,Missing,,,,,,
6,Missing,136793,Ao no Kanata no Four Rhythm: HD Edition,[48],Missing,This edition includes the following  Game Ao no Kanata no Four Rhythm HD Edition  Graphic Book  Vocal Disc  Soundtrack,Missing,,,,,,
7,[34],136480,Hana Oboro: Sengoku-den Ranki,[46],Missing,Missing,Missing,,,,,,
8,[34],132091,Black Wolves Saga: Weiβ und Schwarz,[46],The protagonist Fiona lived in a secluded tower due to her fragile health There is turmoil in the country and a severe disease outbreak known as Zodiva or Mad Wolf Disease Mejojo was interested in Fiona due to her upbringing and wanted to take her as his bride but Fionas father refused There are now rumours in town saying Fiona is a witch Mejojo and Auger uses this to their advantage and arrest her so that they can observe her while she lives in the castle Eventually Fionas halfbrother Nesso and butler Zara rescue her and they escape together The emphasis of the story is on a darkhistoricalpolitical fantasy where humans wolves cats and other animals are being ruled by two very crafty feline tyrants Due to various oppressions the cat twins faced in their childhood including assassination attempts they learned how to survive and gain power but they were also driven towards insanity There is nothing they wont do to get what they want,Compilation game that compiles Bloody Nightmares and Last Hope into one game for new fans,Missing,,,,,,
9,[34],130026,Orufure-ru: Koufuku no Hanataba,[46],In Sandicht a small village far away from the countrys capital Anselm lived the protagonist Claire Eithéa with her parents Though poor they lead happy lives  For a long time the king Anselia had lead his country to prosperity under an absolute monarchical rule However the king had suddenly fallen ill and collapsed throwing the country into chaos As Anselia became gradually more and more disturbed a sudden outbreak of thief gangs raiding one village to the next became an issue  Even though it was peace at the moment the residents of Sandicht knew that Sandicht would be no exception and lived everyday in fear of being next  And then the tragedy they so feared came to be  One day a group of thieves attacked Sandicht  The thief that raided Claires house killed both of her parents Claire was about to be taken away by the thief She was ready for her life to end However a single knight saved her His name was Adel Reed The Reed family is a noble family famous all over the country A house of excellent pedigree they have managed the chivalric order for generations  A commander even at his young age Adel took Claire into the mansion he lives in to work as a maid as she had no other relatives  Surrounded by the four Reed brothers all with very different personalities Claires life as their personal maid begins,A Visual Novel directed to female demographic Main theme of this game is maid,Missing,,,,,,
10,[5],127836,Operation7 Revolution,[48],Missing,Operation7 Revolution is Free to Play online multiplayer game for up to 16 players  Assemble your own weapons with advanced Weapon Assemble System and join the battle  Users can modify and assemble the primary weapon in 7 parts using the various items,Missing,,,,,,
11,[31],122890,Sousei no Onmyouji,[46],Missing,Sousei no Onmyouji tells the story of two talented exorcists who are destined to become the Twin Star Exorcists and the prophesised parents of the Miko  the reincarnation of Abe no Seimei who will cleanse the world of all impurities,Missing,,,,,,
12,"[5, 33]",121425,Arcade Archives: Ark Area,"[48, 130]",Missing,Ark Area is a shootem up arcade game release by UPL in 1989 Players will control a fighter aircraft that can attack in all directions in order to defeat enemies that appear from various directions This is a title full of unique features from UPL including appealing graphics sounds as well as afterimage stages,Missing,,,,,,
13,"[31, 34]",117577,New Game! Challenge Stage,"[46, 48]",Missing,The Challenge Stage is a training adventure game based on the popular anime The player is Aoba Suzukaze who is tasked with creating addon downloadable content for a hurriedly decided RPG epic  During Training Parts your more experienced coworkers teach you and you learn skills Your training parameters will change depending on which coworkers teach you  The story will advance during Adventure Parts Youll be able to enjoy conversations with your coworkers and friends and your friendships can change based on your responses In the second half of the game you can enjoy the individual episodes of the coworkers you became friends with in the previous parts as well as trigger character routes  Game Summary from Gematsu,Missing,,,,,,
14,"[12, 13, 25, 31]",106688,Yakuza 0: Digital Deluxe Edition,[48],Missing,The Digital Deluxe Edition of Yakuza 0 comes with bonus content Avatars Wallpapers and a Digital Manga  Fight like hell through Tokyo and Osaka as junior yakuza Kiryu and Majima Take a frontrow seat to 1980s life in Japan in an experience unlike anything else in video gaming with uncapped framerates and 4K resolutions A legend is born,Missing,,,,,,
15,"[9, 10, 13, 14, 15, 32]",103936,Shiny Ski Resort,"[6, 34, 39, 48, 130]",Missing,Your story starts with a small hotel on a snowy mountain Develop land to build a spectacular ski course and obtain materials for use in constructing new hotel facilities Make your hotel popular and your ski course will benefit as well Plus youll become able to make products to sell in hotel shops and restaurants Expand your ski course and watch your guests polish their skills until they become ski pros then have them represent your resort in ski contests sporting sponsored items Help your racer pull awesome tricks off ski jumps to win the race and your sponsors will reward you handsomely and value you even more Make skiing all the rage Top all rankings creating the ultimate ski resort,Missing,0.0,0.0,20.6,50.0,1.0,1.0
16,"[15, 32]",99523,Planet 2000,"[6, 48, 49]",Missing,Experience futuristic vehicular combat in this fast paced strategy game Assemble your team from a crew of fully realized AI companions as you take part in epic land battles Your objective is to destroy the enemies base before they destroy yours You and your team will need to fight for control of outposts along the way which provide you with additional troops turrets and access to powerful new weapons With a unique balance of strategy and action Planet 2000 allows players to win battles through brilliant strategy pure combat skill or a combination of both,Missing,,,,,,
17,[31],82803,Kimi no Hitomi ni Hit Me,"[6, 46, 48, 130]",Missing,Visual novel for PC PS4 and PS Vita,Missing,0.0,0.0,0.0,0.0,0.0,0.0
18,Missing,81486,Geki Yaba Runner,[46],Missing,Transform your moustached hero into a raging force of destruction or a super speedy gnome to overcome Gekiyabas toughest obstacles to face the ultimate challenge,Missing,3.75,0.0,5.0,47.0,3.0,3.0
19,"[7, 13, 34]",56319,Uta no Prince-sama: Repeat Love,"[46, 130]",Find a boy and shape him into an idol Saotome Academy is a school for all aspiring idols and performance artist You are Nanami Haruka one of the talented composers who squeezed into the school All these school idols have a one purpose they are to sign with a production company and debut  Find the voice who could bring out the life in your songs All the boys are potential stars you have to draw out their full potential and their soft sides,Remake work of Uta no Princesama Repeat which has new voice illustration and songs and the gaming system was upgraded,Missing,,,,,,
20,"[12, 25, 31]",44535,Kingdom Hearts HD 2.8 Final Chapter Prologue: Limited Edition,"[48, 49]",Kingdom Hearts Dream Drop Distance HD Kingdom Hearts Dream Drop Distance takes place after the events of the game Kingdom Hearts Recoded Dream Drop Distance focuses on the protagonists Sora and Rikus Mark of Mastery exam In order to pass the pair must free dream versions of worlds they have known and hone their powers in preparation for the return of the powerful and evil Master Xehanort  Kingdom Hearts 02 Birth by Sleep  A Fragmentary Passage Aqua in the Hall of Magic Mirrors in Kingdom Hearts 02 Birth by Sleep  A Fragmentary Passage The game made use of the Unreal Engine 4 game engine also used in Kingdom Hearts III Kingdom Hearts 02 Birth by Sleep  A Fragmentary Passage is a new game told from the perspective of the protagonist Aqua The story begins after Kingdom Hearts Dream Drop Distance when King Mickey reveals that he has secrets to confess relating to Aqua and her time in the Realm of Darkness The story then picks up right after the secret ending of Kingdom Hearts Birth by Sleep Final Mix Fragments of worlds previously found in Birth by Sleep make up the games narrative  Nomura felt he needed to create this story but did not want to slow down Kingdom Hearts III with many backstories Consequently he separated it from that game and included it in this collection Developers designed the game to take several hours to play or approximately one game world in a regular Kingdom Hearts title A Fragmentary Passage ties into the story of Kingdom Hearts III In terms of gameplay the Doubleflight ability returns which allows Aqua to leap higher and do a midair double jump while also gaining a burst of speed midjump  Kingdom Hearts χ Back Cover Kingdom Hearts χ Back Cover is a onehour long cinematic film set during the events of the video game Kingdom Hearts χ The film tells the games story from the Foretellers perspectives explaining their actions during the games events,Kingdom Hearts HD 28 Final Chapter Prologue Limited Edition features 3 magical experiences in one bundle,Missing,,,,,,
21,"[9, 31]",42930,Lara Croft and the Temple of Osiris: Gold Edition,[48],Missing,Lara Croft and the Temple of Osiris is the sequel to the criticallyacclaimed Lara Croft and the Guardian of Light and the firstever fourplayer coop experience with Lara Croft Featuring stunning visuals and a brandnew story players must work together to explore the temple defeat hordes of enemies from the Egyptian underworld solve devious puzzles and avoid deadly traps All the while players will compete for treasure powerful artifacts and ultimate bragging rights Lara Croft and the Temple of Osiris takes place deep in the deserts of Egypt In her new adventure Lara must join forces with rival treasure hunter Carter Bell and imprisoned gods Horus and Isis to defeat the evil god Set As Lara and her companions fight the elements of nature across the sands and through ancient tombs they will battle legendary deities and creatures of myth With the fate of the world at stake Lara must recover the fragments of Osiris to stop Set from enslaving all mankind,Missing,,,,,,
22,[31],41857,Resident Evil 7: Biohazard - Steelbook Edition,"[6, 48, 49]",Missing,Resident Evil VII biohazard Steelbook Edition includes Survival Pack Action Set  44 Mag Ammo x4  Special Grenade x1  Lock Pick x1  Solid Fuel x1  Gunpowder x1  Herb x1  Madhouse Mode Unlocked,Missing,,,,,,
23,[31],41626,Resident Evil 7: Biohazard - Deluxe Edition,"[6, 48, 49]",Missing,Resident Evil 7 Biohazard is the the harrowing homecoming of this survivor horror franchise While Resident Evil 7 draws from the series roots of atmospheric survival horror it also delivers a whole new level of terror The game is set after the events of Resident Evil 6 taking place in modern day and revolving around a foreboding derelict plantation mansion in rural America Players must explore and survive the horrors within the mysterious sprawling estate  The Deluxe Edition includes the main game as well as Additional Content 1 2 and 3 upon their release  AddOn Content 1 Four Short Side Stories  AddOn Content 2 One Additional Story Episode  AddOn Content 3 One Additional Story Episode,Missing,,,,,,
24,"[8, 9, 31]",38490,The Last Guardian: Collector's Edition,[48],Missing,The game has been shown to involve a young boy who befriends a giant bird dog and cat hybrid creature Trico and the two work together to evade guards that are after them both The game requires the player controlling the boy to manipulate Trico like a real animal such as luring it with food as to use the creature as a means to climb and reach high platforms or other remote places This sets the core of the game on puzzlebased action as in between the various puzzles the player will encounter enemies will be encountered potentially impeding progress It is the players role to survive in such an occurrence much like in Ico,Missing,,,,,,
25,"[8, 9, 31]",38488,The Last Guardian: Steelbook Edition,[48],Missing,Includes Premium Steelbook Hiille and a Dynamic Theme Experience the journey of a lifetime in this touching emotional story of friendship and trust,Missing,,,,,,
26,"[10, 25]",28243,Drive Girls,[46],Missing,In a world where humans can transform into automobiles the Drive Girls are ready to hit the road and save the day,Missing,11.31,0.0,0.0,61.0,5.0,4.0
27,[25],27879,Saban's Mighty Morphin Power Rangers: Mega Battle,"[48, 49]",Missing,Power Rangers Mega Battle is a 2D sidescrolling beat em up arcade game The game was announced at the 2016 New York Comic Con with the teaser trailer for the game later uploaded to the Internet after the Power Rangers panel ended,Missing,3.87,0.0,0.0,52.0,5.0,3.0
