first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1428537600,248788,Hyakka Ryouran Elixir: Record of Torenia Revival,[46],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1428969600,224326,Dragon Ball: Xenoverse - GT Pack 2 + Mira and Towa,"[9, 12, 48, 49]",Extend your experience in the unique universe of Dragon Ball Xenoverse with this DLC GT Pack 2   4 Playable characters Eis Shenron Nuova Shenron Mira Towa  Episodes and Quests  Masters and Masters Quests  Skills Costumes and accessories  Zsouls,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1429920000,219008,Kanazawa Shogi: Level 300,"[6, 48, 130]",Missing,"[13, 35]",Missing,Missing,nan,nan,nan,nan,nan,nan
1430352000,203732,Dragon Quest X: Inishie no Ryuu no Denshou Online,"[5, 6, 41, 48, 130]",The second expansion for Dragon Quest X Online known as Version 3,[12],Missing,Missing,nan,nan,nan,nan,nan,nan
1429747200,202592,Clock Zero: Shuuen no Ichibyou - ExTime,[46],Clock Zero Shuuen no Ichibyou  ExTime is a port of Clock Zero for PlayStation Vita it adds new scenarios new CGs and one extra character route,"[31, 34]",Kurou Nadeshiko is the twelve year old daughter of some wealthy high class members She goes to a wealthy school with her childhood friend and hopes become a doctor one day However every night she has a dream about being in another world That world is full of ruins and she is ten years older One day a transfer student named Kaido Takato comes to her class and she gets involved in an after school extracurricular club which they call Clock Zero,Missing,nan,nan,nan,nan,nan,nan
1427932800,178149,Dai-3-ji Super Robot Taisen Z: Rengoku-hen,"[9, 46]",Standalone DLC released with first editions of Z32 Contains 15 scenarios for the Z only OG characters,[16],Missing,Missing,nan,nan,nan,nan,nan,nan
1429488000,145550,Mahjong World W,[9],Missing,[35],Missing,Missing,nan,nan,nan,nan,nan,nan
1428969600,141052,Mortal Kombat X: Goro,"[6, 48, 49]",Fight as Goro fully playable character,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1428969600,140997,Mortal Kombat X: Special Edition,"[6, 48, 49]",Mortal Kombat X is the tenth main game in the oneonone fighting series and a sequel to the 2011 title Mortal Kombat which was a complete reboot of the series The plot is set about 20 years after the events of the previous game where the ending revealed that Shinnok used the void after Shao Kahns death to attack Earthrealm with his army of Netherrealm forces,[4],Missing,Missing,nan,nan,nan,nan,nan,nan
1429142400,138113,Word Search by Powgi,"[37, 41, 46, 48, 130]",Word Search by Powgi includes more than 300 puzzles to keep you  and your friends  puzzling for hours  Up to four can play Connect extra controllers to solve the puzzle as a team  or compete for the best score,"[9, 15]",Missing,Missing,nan,nan,nan,nan,nan,nan
1430352000,136796,"Hanayaka Nari, Waga Ichizoku Modern Nostalgie","[46, 130]",When her father fell sick Asagi Haru has to help support her family She quits her job at the factory and starts looking for a new job Thats when she bumped into Egawa Chitomi and Arita Kisuke who are looking for a new maid for the Miyanomori family Haru applied for the job on the spot leaving her hometown to work in their mansion in Tokyo She thought working as a maid would be fun until she meets the six Miyanomori brothers  The brothers each have different mothers all divorced from their father  the head of the family Miyanomori Genichirou Being born in a big family most of the brothers treat Haru like crap They call her trash and view her as a lowly servant who doesnt have any right to talk back to them Not to mention Tae her new tsundere friend there keeps lying and gets her in trouble Haru quickly realized that her new job isnt by any means easy but she needs to work hard for her family  Not too long after Haru starts working there Genichirou announced to his sons that hes retiring soon and hes making a game to determine who will be the next head The brothers have to entertain him and collect points The first one who reached ten points will be the new head and they have until March to please their father This is the reason why the brothers all have different mothers Genichirou wants to put them into a battle for the position,"[31, 34]",When her father fell sick Asagi Haru has to help support her family She quits her job at the factory and starts looking for a new job Thats when she bumpes into Egawa Chitomi and Arita Kisuke who are looking for a new maid for the Miyanomori family Haru applied for the job on the spot leaving her hometown to work in their mansion in Tokyo She thought working as a maid would be fun until she meets the six Miyanomori brothers  The brothers each have different mothers all divorced from their father  the head of the family Miyanomori Genichirou Being born in a big family most of the brothers treat Haru like crap They call her trash and view her as a lowly servant who doesnt have any right to talk back to them Not to mention Tae her new tsundere friend there keeps lying and gets her in trouble Haru quickly realized that her new job isnt by any means easy but she needs to work hard for her family  Not too long after Haru starts working there Genichirou announced to his sons that hes retiring soon and hes making a game to determine who will be the next head The brothers have to entertain him and collect points The first one who reached ten points will be the new head and they have until March to please their father This is the reason why the brothers all have different mothers Genichirou wants to put them into a battle for the position,Missing,nan,nan,nan,nan,nan,nan
1429747200,136446,Meiji Tokyo Renka Twilight Kiss,[38],Meiji Tokyo Renka Twilight Kiss is the sequel of Meiji Tokyo Renka It was developed by HuneX and published by Broccoli,[34],When the protagonist Ayazuki Mei from presentday Japan warped through time she had arrived in a strange Meiji Era Tokyo in which mononoke exist  There she met Mori Ougai Hishida Shunsou Kawakami Otojirou Izumi Kyouka Fujita Gorou and Koizumi Yakumo who are famous historical figures As she spent time with them Mei realised that she possessed the ability known as Tamayori which enables her to see mononoke  The days passed on by and Mei became attracted to one of the men She then fell in love She was then faced with a conundrum to stay in the Meiji Era or return to the modern era she had come from Mei decided to stay in the Meiji World to be with her beloved  And today again slightly strange events occur around the Tamayoriendowed Mei,Missing,nan,nan,nan,nan,nan,nan
1428192000,124917,Ether One Redux,"[6, 48]",A version of Ether One remade in Unreal Engine 4 featuring graphical improvements Created in order to port the game to PS4,"[9, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1428537600,99566,Arcade Archives: Cosmo Police Galivan,"[48, 130]",Arcade Archives Cosmo Police Galivan is a port of the action game Cosmo Police Galivan Players are transformed into Galivan with putting in hand the power crystal to destroy the universe criminal organization Aku,[33],Missing,Missing,nan,nan,nan,nan,nan,nan
1427932800,99562,Arcade Archives: MagMax,"[48, 130]",Arcade Archives MagMax is a port of the shooting game MagMax The player can power up by combining with the parts falling on the stage in order to defeat the Strange Mechanism Babylon With 4 different stages aboveground and underground stages not only vary in their appearance but offer different ways to attack,"[5, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1429747200,97428,The Idolmaster: Cinderella Girls - Gravure for You! Vol. 1,[9],This volume adds the ability to take pictures of two idols at a time and to add music from CDs into the BGM list Idol Focus Uzuki Shimamura Costumes Anime Opening Costume Schoolgirl Wear 346 School Swimsuit Locations Castle with Clock Tower Big Tree School Pool,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1427932800,80141,Dai-3-ji Super Robot Taisen Z: Tengoku-hen,"[9, 46]",This game is the 2nd part of the 3rd game of the Z series and is considered to be its conclusion,[15],Missing,Missing,nan,nan,nan,nan,nan,nan
