,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
38,[34],70892,Tonari ni Kanojo no Iru Shiawase: Two Farce,"[46, 48, 130]",Missing,It wont be long before the historic literature club will be disbanded as theres just the protagonist and his kouhai Chisa left Even as they worry about the clubs future they carried on with their daily trivial exchanges in the club room together And so they became closer by the day,Missing,0.0,0.0,0.0,0.0,0.0,0.0
39,"[11, 14, 15, 32]",58744,Way of Redemption,"[6, 48]",Missing,Way of Redemption is a MOSA Multiplayer Online Sport Arena game from Pixel Cream,Missing,0.0,0.0,15.5,60.0,1.0,1.0
40,[5],57002,Raiders of the Broken Planet: Wardog Fury,"[6, 48, 49]",Harec wants the renegade Loaht to join his Raiders It wont be easy to find him much less convince him Not to mention there are Wardog detachments looking for him to take him out Loaht should have never betrayed General Marmalade a former drug trafficker turned Wardog messiah and unrepentant Aleph addict The General takes no prisoners He wants all the Aleph from the Broken Planet for himself and hes not far from achieving his goal The way things are now the wrath of Loaht could be the Raiders only hope If they find him alive,With this DLC you get new missions a new playable character a new skin as well as instant access to the singleplayer mode in the campaign,Missing,,,,,,
41,"[4, 14, 15, 32]",54925,Guts,"[6, 48, 49]",Missing,Guts is a hilarious ultraviolent Tarantinostyle overthetop game where players must dismember each other The fight continues even when there are just two little stumps and it keeps going until one fighter emerges victorious after dismembering all the opponents four limbs,Missing,,,,,,
42,"[15, 33]",54661,League of War: VR Arena,[165],Missing,League of War is a holographic strategy game for PlayStation VR,Missing,,,,,,
43,"[12, 13, 14, 31]",37087,Monster of the Deep: Final Fantasy XV,"[48, 165]",Missing,The acclaimed fishing feature of FINAL FANTASY XV has been revamped and revitalized for PlayStationVR Join Noctis Ignis Prompto Gladio and other familiar faces in a picturesque virtual reality backdrop en route to a thrilling encounter with the menace that lurks in the depths  Dive into the story mode for an exhilarating actionpacked showdown with the notorious Monster of the Deep or take in the sights sounds and scenery of FINAL FANTASY XV as you kick back and cast off in the free fishing mode Bounties and tournaments offer fresh new challenges as you customize your rods reels and lures to catch the big one,Missing,2.5,5.42,11.27,65.0,2.0,8.0
44,"[8, 15, 31]",28538,Sonic Forces: Bonus Edition,"[48, 49, 130]",Missing,Join an epic highspeed fight to save a world decimated by Dr Eggman and a mysterious villain in the newest game from the team that made Sonic Colors and Sonic Generations Experience fastpaced action as Modern Sonic catapult past perilous platforms as Classic Sonic and use powerful new gadgets as your very own Custom Hero Character    The Sonic Forces Bonus Edition comes with an exclusive controller skin and awesome ingame costumes for your custom character The controller skin design transports you into Sonics universe featuring Sonic and the mysterious new villain Infinite Plus the costumes from games like Persona 5 Jet Set Radio Super Monkey Ball Nights and will transform your custom character to match characters from these iconic SEGA games Download the free Episode Shadow addon when the game launches to fight with Shadow as a playable character,Missing,,,,,,
45,"[10, 14]",23161,Need for Speed: Payback - Deluxe Edition,"[6, 48, 49]",Missing,Preorder Need for Speed Payback Deluxe Edition now to get an edge over the competition with up to 3 days of early access to the full game Stand out from the crowd with exclusive customization items and receive ingame discounts rep bonuses and five shipments to get your adventure started  Also includes the upcoming Story Mission Pack and the Need for Speed Payback Platinum Car Pack with exclusive Platinum Blue Underglow  Deluxe Edition Content  Up to 3 days of early access Story Mission Pack Exclusive Deluxe Edition NOS Color Can be applied to 5 cars Exclusive Deluxe Edition License Plate Exclusive Deluxe Edition Leaderboard Icon 5 Shipments 5 Rep Bonus 10 Discount on ingame content using earned ingame currency  Platinum Car Pack Includes  Exclusive Platinum Blue Underglow  Tire Smoke Vanity Items Nissan 350Z 2008 Chevrolet Camaro SS 1967 Dodge Charger RT 1969 Ford F150 Raptor 2016 Volkswagen Golf GTI Clubsport 2016,Missing,,,,,,
46,"[31, 34]",11774,Occultic;Nine,"[46, 48, 49]",Missing,OcculticNine is an upcoming Japanese visual novel that is based on a light novel of the same name The game is descibed as a Paranormal Science Novel The story follows nine idiosyncratic individuals Little incongruities that occur around these nine eventually lead to a larger unimaginable event that may alter what is considered common sense in this world Despite being by the same makers and sharing a similar naming scheme OcculticNine is not a part of 5pbs Science Adventure series of adventure games,Missing,0.0,0.0,0.0,0.0,0.0,0.0
47,[5],11499,Call of Duty: WWII - Pro Edition,"[6, 48, 49]",Missing,Call of Duty returns to its historical roots with Call of Duty World War II a blockbuster experience from Sledgehammer Games From the beaches of Normandy to the Hürtgen Forest experience a dramatic story highlighting some of the most dramatic and iconic moments of World War II as a young soldier who is facing the unforgiving reality of war alongside his brothers in arms  Pro Edition Includes  Standard Edition Season Pass SteelBook Additional Bonus Content,Missing,,,,,,
