first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1614211200,"[5, 33]",139993,Darius: Cozmic Revelation - Collector's Edition,"[48, 130]",Missing,A sequel to the Cozmic Collection Darius Cozmic Revelation was released for PlayStation 4 and Nintendo Switch on February 25 2021 in Japan containing the games GDarius HD and Dariusburst Another Chronicle EX The western release will contain the Game Boy version of Sagaia as a bonus on the cartridge A future update also adds GDarius Ver 2 to the compilation  Included with the Famistu DX Pack of Cozmic Revelations  Special Edition is a packaged copy of Darius Extra Version released for the Sega Mega Drive in 2020  The Collectors Edition contains  Darius Cozmic Revelation Game for Nintendo Switch  Collectors box with magnetic latch  Darius PCB Box  DARIUSBURST ANOTHER CHRONICLE Live in OEAST revolt Bluray with Zuntata bonus feature by Audi Sorlie and John Linneman  Arcade Papercraft  Hardcover Artbook localised in English  4 Acrylic Art Cards  PVC Standee  DARIUS THE OMNIBUS III Arrange CD  Darius Revelation Pin,Missing,nan,nan,nan,nan,nan,nan
1614211200,"[5, 33]",139992,Darius Cozmic Revelation,"[48, 130]",Missing,A sequel to the Cozmic Collection Darius Cozmic Revelation was released for PlayStation 4 and Nintendo Switch on February 25 2021 in Japan containing the games GDarius HD and Dariusburst Another Chronicle EX The western release will contain the Game Boy version of Sagaia as a bonus on the cartridge A future update also adds GDarius Ver 2 to the compilation,Missing,nan,nan,nan,nan,nan,nan
1613433600,[12],139961,Fallen Legion Revenants: Vanguard Edition,"[48, 130]",In a world covered in miasma a floating castle is the last refuge for mankind The earth is scarred with creatures altered by the plague while Welkin Castle is isolated in the sky from the horrors below    Lucien a charismatic politician protected within the castles walls discovers an ancient book where he learns of the Exemplars weapons that can turn into sentient soldiers He joins forces with Rowena a revenant determined to find a way to come back to life to raise her living son and the two reluctantly make a pact to overthrow the mad tyrant controlling Welkin,Fallen Legion Revenants Vanguard Edition includes     The game for Nintendo Switch   Luciens Lost Ledger Mini Art Book   Songs for a Fallen World Digital Soundtrack Download   InnerCover Art,Missing,nan,nan,nan,nan,nan,nan
1613001600,[31],139822,Little Nightmares II: TV Edition,"[6, 48, 49, 130, 167, 169]",Missing,Little Nightmares II is a suspenseadventure game in which you play as Mono a young boy trapped in a world that has been distorted by the humming transmission of a distant tower With Six the girl in a yellow raincoat as his guide Mono sets out to discover the dark secrets of The Signal Tower and save Six from her terrible fate but their journey will not be straightforward as Mono and Six will face a gallery of new threats from the terrible residents of this world  Will you dare to face this collection of new little nightmares,Missing,nan,nan,nan,nan,nan,nan
1614038400,"[4, 12, 25, 31, 32]",139665,Josh Journey: Darkness Totems,"[6, 48, 49, 130]",The Province World is infested by the nightmare monsters from the Dream World The Darkness Shadow the entity that controls the Dark Side of Dreams are sending his creatures and implanting Darkness Totems to control the four main provinces Wind Water Desert and Industrial The main objective of our heroes are to fight against these evil forces destroying the Totems to bring again the peace and harmony to their World,Josh Journey Darkness Totems is a hand drawn beatem up game about four brave heroes that use their skills to defeat the Nightmare Monsters using special combo attacks in a coop gameplay,Missing,nan,nan,nan,nan,nan,nan
1614038400,"[8, 31, 32]",139586,Horned Knight,"[6, 14, 48, 49, 130]",Missing,Horned Knight is a challenging 2D actionplatformer where you must overcome all fears enemies and traps as the Hero Knight Rewrite destiny with your trusty sword young Knight,Missing,0.86,0.0,1.0,50.0,1.0,5.0
1613606400,"[12, 13, 15, 32]",137111,Lemon Cake,"[6, 48, 49, 130, 167, 169]",Missing,Restore an abandoned bakery and prepare pastries from farm to table Grow fresh ingredients in the greenhouse cook pastries  sweets in the kitchen and serve your baked goods to hungry customers in your own shop,Missing,12.31,15.38,26.23,63.0,9.0,19.0
1613433600,"[11, 12, 15, 31]",135342,Fallen Legion Revenants,"[6, 48, 49, 130, 167, 169]",Missing,Your choices will decide the fates of many in Fallen Legion Revenants The world is covered in miasma and the remnants of mankind have taken refuge in a floating castle ruled by a madman Swap between manipulating events within Welkin Castle as the cunning Lucien and fighting off monsters in the wasteland below as the vengeful Rowena in this realtime action RPG,Missing,20.0,0.0,0.0,0.0,0.0,1.0
1614211200,"[4, 14, 32, 33]",131604,RetroMania Wrestling,"[6, 48, 49, 130]",Missing,RetroMania Wrestling is the official sequel to the classic arcade game Wrestlefest that was released in 1991 by Technos of Japan,Missing,2.25,2.92,0.0,60.0,2.0,2.0
1613692800,"[12, 15, 31]",125505,Steven Universe: Unleash the Light,"[6, 48, 130]",Missing,The Crystal Gems are back for the third game in the Light Trilogy When two powerful Gem rulers threaten the newfound peace of Era 3 Steven and his friends must embark on a new RPG quest to stop them Its time to Unleash the Light,Missing,11.62,12.8,15.44,72.0,7.0,17.0
1613606400,"[31, 32]",119617,Voyage,"[6, 48, 49, 167, 169]",Missing,Voyage is a cinematic adventure game capturing the essence of shared exploration Whether you decide to play by yourself or cooperatively the journey will revolve around two survivors in search for answers of a longforgotten past Embark on a voyage unravel a mystery and find a way home together,Missing,1.95,2.0,1.97,59.0,9.0,16.0
