first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1407283200,271157,DC Universe Online: Episode 11 - Halls of Power Part I,"[6, 9, 48]",On August 6 2014 the eleventh episode Halls of Power Part I was released The episode revolved around the New Gods of the Fourth World as they sought new ways to take control and engage in strategic battles on a cosmic level Some of the key features of this episode include one Tier 6 4Player Operation in Intergang Crime Wave one Tier 6 Alert in Security Breach one Tier 6 8Player Operation in Artifacts from the Past and two Tier 6 Raids in Relics of Urgrund and Lockdown,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1409184000,256501,Persona 4 Arena Ultimax: P4A Story,"[9, 12]",P4A Story Persona 4 Arena Story is a paid DLC for Persona 4 Arena Ultimax This DLC enables you to play through the story of the original Persona 4 Arena with updated Persona 4 Arena Ultimax gameplay,"[4, 12, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1409184000,248796,Meikyuu Cross Blood: Infinity - Ultimate,[46],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1409011200,243339,Madden NFL 15,"[9, 12]",Missing,[14],Missing,Missing,22.68,73.95,241.06,66.0,26.0,14.0
1409184000,216243,Renai 0 Kilometer V,[46],Missing,[34],Missing,Missing,nan,nan,nan,nan,nan,nan
1409097600,136104,Phantasy Star Online 2: Episode3 Mission,"[6, 46]",Phantasy Star Online 2 will enter a new phase with Episode 3 New elements such as the new class Bouncer new weapons Jet boots and Dual blades introduction of the new lobby Casino area and so on On the new planet Harukotan Japanesestyle towns giant enemies and new adventures await you In addition the story goes to the new chapter Episode 3  A new character with a lot of personality is added and the journey of the new oracle begins  Fantasy Star Online 2 Free downloadbasic play free some paid items available PC versionPS Vita version now under rave reviews  Code Episode2 of Phantasy Star Online 2 launched on July 17 2013 which introduced the new Deuman race and the Braver class new weapon categories Katana and Barrett Bow new planet Wopal support partner function mini room additions and other system expansions  The global version included content from EPISODE 2 and EPISODE 3 as part of its initial launch,"[12, 25, 31]",Xiao sends the player and Matoi to the planet Harukotan to stop the efforts of Dark Falz Gemini who are consuming planets for an unknown reason Gemini reveals that the true purpose of the Dark Falzes is to revive the Profound Darkness a failed clone of Xion corrupted by the Photoners that had to be sealed away the fight between the Photoners and the Profound Darkness caused the Photoners to lose their ability to use Photons prompting them to create ARKS in their place  After escaping a trap laid by Gemini the player and Matoi confront them in the Black Territorys throne room at Harukotan and defeat them but Gemini retaliates by attacking them with highlyconcentrated FFactor in a last ditch effort The player attempts to sacrifice themselves to save Matoi but Matoi unwilling to see the player become the Profound Darkness absorbs the FFactor becoming the Profound Darkness Persona appears and steals the Clarissa that was left behind  Persona confronts the player and offers to join forces to kill Matoi thereby destroying the Profound Darkness and saving the universe The player agrees to help Persona and together they confront Matoi at the heart of Naverius Corrupted Area Persona sacrifices itself to allow the player to kill Matoi but Matois death causes the player to transform into a new Persona creating a time loop  Using the Divergence Matrix the player discovers a new fate and declines the offer to help Persona With the assistance of the Council of Six the player seals Matois power and defeats her in a bid to purify her Matoi unwilling to allow the Profound Darkness to be fully reborn attempts to kill herself with a large amount of FFactor The player again attempts to sacrifice themselves for Matoi but Persona inspired by the players ability to defy fate uses the Clarissa to absorb the FFactor from both the player and Matoi causing them to become the Profound Darkness in Matois place ARKS successfully repels the Profound Darkness but Xiao warns that given the power of its host it may return,Missing,nan,nan,nan,nan,nan,nan
1409097600,127061,The Walking Dead: Season Two - Episode 5: No Going Back,"[6, 9, 12, 14, 34, 39, 46, 48, 49]",The birth of Rebeccas son and subsequent death of the babys mother has started a new battle for survival which promises to not end quietly Through the harshest weather she has seen thus far can Clementine protect the groups newest member and keep everyone she cares about alive,"[2, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1406937600,103129,Fragment's Note,"[34, 39, 46, 130]",Fragments Note is a sliceoflife Visual Novel with a touch of scifi The story centers around two main protagonists and the Yanderes that they have to deal with,"[12, 31, 34]",Missing,Missing,0.0,7.71,11.67,0.0,0.0,3.0
1407369600,79331,Shin Hayarigami,"[9, 46]",Shin Hayarigami was made to be a fresh start while being a continuation of the Hayarigami trilogy  The game is a violent detective visual novel where recent murder victims match the story of an urban legend in the area 6 cases that may or may not be linked are investigated throughout the story It was released by Nippon Ichi Software in 2014 for the PlayStaion 3 and Vita The game got the CERO Z rating in Japan for its disturbing visuals and story Equivalent to an AO sometimes M rating in North America  The game was also released on mobile devices in a splitup format in South Korea The story was split into 6 separate games that covered the various cases from the original game In 2018 the first mobile game was translated and released in English but was not well received and the other 5 were put on hold and not planned for release as of 2019,"[13, 31, 34]",Missing,Missing,5.53,0.0,0.0,50.0,1.0,1.0
1409270400,70885,Ayakashi Gohan,"[6, 46]",A Japanese otome visual novel by honeybee originally released for PC then ported to Playstation Vita as Ayakashi Gohan Oomori Its sequel Ayakashi Gohan Okawari was planned for a release on PlayStation Vita but seemingly got canceled and is only available on PC  In the corner of a certain village where ayakashi and humans coexist there is a shop that serves meals for ayakashi The name of this eatery is Ponpokorin In that store both ayakashi and humans visit it seeking to have a delicious meal The shop owner is a youko a mythological fox spirit taking on a human form  Everybody can be happy if they can have a delicious meal That was the youkos creed The youko and its soontobe 7yearold son continue to cook delicious meals to this very day  One day as the hot summer ended and the harvest of autumn approached a lone girl enters the youkos store  From that moment onwards the story begins,[34],Ayakashi Gohan follows a young girl named Akane who works at an eatery for spirits and other supernatural creatures,Missing,0.0,17.5,17.61,76.0,5.0,3.0
