,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[12],105413,The Legend of Heroes III: Shiroki Majo,"[6, 7, 32, 149]",The Legend of Heroes III Shiroki Majo The White Witch follows the adventures of a young boy named Jurio on his quest to complete his warrior initiation rite by traveling to five shrines The game is the third entry in Falcoms long running RPG franchise and the first entry of the Gargarv Trilogy in the series The White Witch was originally created for the NEC PC98 on March 18 1994 with several ports and remakes released in the future,Missing,,,,,,
1,"[15, 16, 24]",24,X-COM: UFO Defense,"[6, 7, 13, 16]",You are in control of XCOM an organization formed by the worlds governments to fight the everincreasing alien menace  Shooting down UFOs is just the beginning you must then lead a squad of heavilyarmed soldiers across different terrains as they investigate the UFO crash site Tackle the aliens with automatic rifles rocket launchers and even tanks in the struggle to retrieve useful technology weapons or life forms  Successful ground assault missions will allow XCOM scientists to analyze alien items Each new breakthrough brings you a little closer to understanding the technology and culture of the alien races Once you have sufficient research data on the UFOs superior weapons and crafts youll be able to manufacture weapons of equal capability  You must make every crucial decision as you combat the powerful alien forces But youll also need to watch the world political situation governments may be forced into secret pacts with the aliens and then begin to reduce XCOM funding,87.41224098901418,38.51,43.95,76.98,88.0,58.0,60.0
