,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,209923,Hot Shots Shorties: Yellow,[38],Missing,Missing,Missing,Missing,,,,,,
1,209922,Hot Shots Shorties: Red,[38],Missing,Missing,Missing,Missing,,,,,,
2,209921,Hot Shots Shorties: Green,[38],Missing,Missing,Missing,Missing,,,,,,
3,209920,Hot Shots Shorties: Blue,[38],Missing,Missing,Missing,Missing,,,,,,
4,202311,Mass Effect: Genesis,"[6, 9, 12]",[34],Mass Effect Genesis is a downloadable interactive backstory comic Genesis fills the role of Mass Effect for new players by introducing them to the story of the original game and allowing them to make six of the major plot decisions that players could make If downloaded the comic appears between the opening level and character customization There are two versions of the comic one each for a male and female Commander Shepard,Missing,Missing,,,,,,
5,197947,Ore no Imouto Maker EX: Imouto to Koi Shiyo? Portable,[38],"[31, 34]",Ore no Imouto Maker EX Imouto to Koi Shiyo Portable is a short visual novel that comes bundled with Ore no Imouto ga Konnani Kawaii Wake ga Nai Portable,Missing,Missing,,,,,,
6,139542,Valkyria Chronicles 3: Kurt Irving's First Mission,[38],"[12, 16, 24]",Kurt Irvings First Mission is a preorder bonus content of Valkyria Chronicles 3 It is also included in the Valkyria Chronicles 3 Extra Edition,Right after the Second Europan War began near the end of March Kurt had just been assigned to a unit in the Gallian Army and was discussing an upcoming mission with his commander After getting the necessary information Kurt suggested that they attack the imperial troops when they stopped to rest Kurts commander was so doubtful of this plans chances for success that he handed all of the responsibility over to Kurt and fled the front lines Despite heavy opposition from his fellow soldiers Kurt led them valiantly and the mission was a success This victory was Gallias first in the Second Europan War While his squadmates celebrated their victory Kurt maintained an air of calm apathy which only alienated him further,Missing,,,,,,
7,92843,Popstars,[9],Missing,Missing,Missing,Missing,,,,,,
8,66344,Another Century's Episode Portable,[38],Missing,Missing,Missing,Missing,5.2,0.0,0.0,75.0,2.0,1.0
9,66192,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,[38],"[31, 34]",Ore no Imouto ga Konna ni Kawaii Wake ga Nai Portable is a romantic comedy visual novel developed by guyzware and published by Banpresto  Unlike the original story of the light novels Oreimo Portable expands on the story with complete story routes for Kyousuke and each of the main female casts written by the original creator of the light novels Tsukasa Fushimi,The plot in Oreimo Portable acts as a spinoff to the light novels which explores the relationship between Kousakas siblings Kirino and Kyousuke The story begins the year after Kirinos infamous life consultation with her older brother who accidentally discovers her darkest secret that she is an avid fan and collector of anime and eroge involving older brotherlittle sister dynamics  After Kirino returns from her trip to the United States she and Kyousuke continue on the usual antics with their friends Saori Bajeena and Kuroneko tagging along At this time Kuroneko is starting to become close to Kyousuke during Kirinos absence and their relationship is used by Kuroneko to tease Kirino who is her rival to Kyousuke and  surprisingly  her best friend  The player assumes the role of Kyousuke Kousaka whose life as a mediocre person is changed by his life consultation session with the little sister whom he has learned to ignore The story later develops into Kyousukes experiences with the different girls who have interacted with him including Kirino her best friend Ayase Aragaki and her classmate Kanako Kurusu,Missing,5.5,17.17,38.17,65.0,4.0,4.0
10,66115,Tsukumonogatari,[38],"[12, 31, 34]",Tsukumonogatari is an adventure RPG for the PlayStation Portable developed by Killaware and published by FuRyu The game was released on January 27 2011 in Japan,In the present world crime rates keep on increasing every day This is happening because evil spirits have crossed over from the spirit world to the human world These spirits are invisible to the naked eyes One day Yūto Ishigami was pushed out of the third floors window by a classmate who suddenly turned violent but he miraculously survived without a single scratch However since that day Yuuto began to see strange things These strange things are known as Ayakashi The fact that hes seeing them is proof that the ability that was sleeping within him has been awakened,Missing,,,,,,
11,63625,Kenka Bancho 5: Otoko no Hosoku,[38],[25],The fifth entry in the popular series about brawlin Japanese high school students,Missing,Missing,,,,,,
12,52708,Ricochet HD,[9],[9],Ricochet HD is an intense action game combining equal parts skill and strategy With the most comprehensive feature set of any game in this genre Ricochet HDs dynamic and interactive brick busting levels reward strategic play while the arsenal of powerups allows you to obliterate everything in your path 150 dynamic multistaged unlocking levels deliver hours of nonstop action,Missing,Missing,8.65,0.0,0.0,35.0,2.0,2.0
13,44531,Shift Extended,[38],"[8, 9]",In Shift the player is in a room that is half black half white one of which is solid When the player presses the shift key the room flips upside down and the opposite color becomes solid The player tries to get keys and get to doors while avoiding spikes and other objects9 Shift makes a few references in some levels to the popular Valve game Portal with the phrases the timer is a lie and Now youre thinking with shifting,Missing,Missing,,,,,,
14,44507,NeoGeo Heroes Ultimate Shooting,[38],[5],10 great SNK heroes and heroines have left their worlds to answer Dr Brown Sugars call for peace Now head to the skies to save the world from the threat of THE DAMNED an evil organization which plots to use a time machine for its maleficent purposes,Missing,Missing,0.0,3.25,0.0,0.0,0.0,1.0
15,42825,The Flying Hamster,[38],[5],Take control of Newton the flying hamster in this actionfrenzy horizontal shooter You will fly across six unique environments from the sunflower fields to the big Japanese city or the crazy ancient Egypt Eight freaky weapons are scattered among the levels and youll need them all to take on the more than 35 different enemies sneaky penguins antiair cows exploding foxes ninja squirrels toasterrobots as well as the six dreadful and unpredictable bosses,Missing,Missing,,,,,,
16,42824,I Must Run,"[38, 159]",[8],You have been convicted of a crime you didnt mean to commit Your sentence was harsh despite the circumstances and now you rot in jail But those affected by your actions are not satisfied Now they are threatening to kill the one you love to exact revenge And if you do not escape and reach the courthouse in 24 hours shell be gone There are no other options You must run,Missing,Missing,0.0,0.0,0.0,50.0,2.0,0.0
17,42777,Boom Beats,[38],[7],Boom Beats is an addictive rhythm game which lets you enter compelling worlds full of club tunes drum and bass jungle dub step rave and house All you need to do is tap the rhythm and earn score Use multipliers unlocks special powers and more Headphones recommended,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
18,42726,Football Manager Handheld 2011,[38],"[13, 14, 15]",With more new features than ever before including realtime contract negotiation a revamped training system and a number of match engine improvements Football Manager 2011 will once again raise the bar for Soccer management games,Missing,Missing,,,,,,
19,38481,Tantei Opera Milky Holmes,[38],[31],The story takes place in an imaginary world in the Age of Detectives where private detectives and phantom thieves overwhelm the cities Both detectives and phantom thieves have special powers known as Toys Former great detective Kobayashi Opera who lost his Toys five years ago in a battle with Phantom Thief L is tasked with leading a team of four junior detectives as they battle against the newly formed Phantom Thief Empire,Missing,Missing,6.0,8.0,9.0,70.0,1.0,3.0
20,27645,Winter Sports 2011: Go for Gold,"[5, 6, 9, 12]",[14],Winter Sports 2011 is the ultimate challenge for casual gamers and sport fans that includes the nine winter sport disciplines Thanks to improved multiplayer mode it offers more direct interaction with the players opponents Thus there are several disciplines like snowboard cross in which all players can participate simultaneously In each competition whether multiplayer or single player players can choose from a variety of tactical possibilities as for example skating in slipstreams turbo or hard physical impacts Moreover every fair or unfair behavior affects the qualities and the appearance of the players,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
21,22967,Spare Parts,"[9, 12]",Missing,Spare Parts tells the story of courageous robots MarT and Chip who find themselves dumped out with the rubbish on a strange planet Working together in coop mode the mechanical duo must find a way to repair an abandoned space ship and escape the planet before evil Lord Krung can dispatch his henchmen to destroy them Searching the hostile environments for ship parts and currency MarT and Chip will also collect upgradable action parts  such as Rocket Boots  to unlock new abilities that will aid them as they rescue other stranded robots and battle countless enemies including the relentless Krofax troopers hostile spider monkeys and even a Super Huge Mega Laser,Missing,Missing,3.84,4.5,7.76,80.0,1.0,7.0
22,21082,MicroBot,"[9, 12]",[5],MicroBot is a twinstick shooter video game developed by Naked Sky Entertainment and published by Electronic Arts It was released on the Xbox 360 via Xbox Live Arcade on December 29 2010 and on PlayStation 3 via the PlayStation Network on January 4 2011 In the game the player controls a MicroBot a microscopic robot designed to combat infections in the human body The robot is tasked with destroying previous generation MicroBots which have become corrupted while fighting disease in the body  Critics were divided on their opinions of the game but overall review scores were moderate Aggregate scores averaged in the 60 range for both platforms at websites GameRankings and Metacritic Most reviewers praised the games visual and audio presentation They felt that the environments were convincing as areas of the body and that the soundtrack was strong Critics differed in opinion in regards to gameplay many praised the addition of local cooperative play and the ability to upgrade the MicroBot with new weaponry and features but many felt the game did not add enough new gameplay elements to the genre to keep the player interested longterm,Missing,Missing,4.0,0.0,0.0,40.0,1.0,1.0
23,21081,Modern Combat: Domination,"[9, 14]",[5],Rediscover at last what made multiplayer shooters so enjoyable,Missing,Missing,0.0,0.0,0.0,10.0,1.0,0.0
