first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1488844800,264426,Lego Worlds: Agents Pack,[48],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1490832000,223079,Dynamic Chord feat. Kyohso V Edition,[46],[34],Determined to take on any job that has something to do with music recent graduate Kirishita Konoha the protagonist got a job at DYNAMIC CHORD a musicofficecumrecordcompany Having got a job within an industry she had long admired Konoha worked happily everyday  One day Konoha noticed the members of KYOHSO leaving the presidents office casually giving them a glance As KYOHSOs vocalist Kisaka Yorito was about to walk past her he offered Konoha to become the bands manager  Working extremely hard everyday with the bandmen as their new manager what will become of the love which has started to sprout between her and one of the members,A port for Vita,Missing,nan,nan,nan,nan,nan,nan
1488931200,222781,No Man's Sky: Pathfinder,"[6, 48]",Missing,Missing,The Path Finder update introduces planetary vehicles base sharing PS4 Pro support shipweapon specialisation permadeath mode and much more It shows the path for the future,Missing,nan,nan,nan,nan,nan,nan
1490313600,198435,Warframe: Octavia's Anthem,"[6, 48, 49]","[5, 7, 12, 25]",Missing,Do you hear the music Tenno Faint memories of the Mandachord orchestra linger and Suda wishes you follow it Do as the Cephalon requests and be rewarded knowledge of an instrument from another time the Mandachord But take caution following her instructions may lead you down a twisted path,Missing,nan,nan,nan,nan,nan,nan
1490313600,188510,KamiYaba: Destiny on a Dicey Deadline,"[6, 46]","[31, 34]",Missing,If you dont tie the knot with the person of your dreams within the next year youll be in big trouble So forewarns Urara the selfproclaimed Goddess of Matchmaking kicking off a rowdy romcom adventure,Missing,0.0,20.0,0.0,0.0,0.0,1.0
1488412800,164573,Watch Dogs 1 + Watch Dogs 2 Gold Editions Bundle,"[48, 49]","[5, 10, 31]",Missing,Purchase the Watch Dogs and Watch Dogs 2 bundle and gain access to these awardwinning titles at a great price  with all DLCs and expansion packs included In Watch Dogs become Aiden Pearce and hack your way around Chicago to take down ctOS In Watch Dogs 2 join Marcus Holloway and the Dedsec hacker group to expose a new digital conspiracy,Missing,nan,nan,nan,nan,nan,nan
1488844800,144331,NieR: Automata - Black Box Edition,[48],"[12, 25]",The first and second playthroughs follow the respective views of 2B and 9S during an initial invasion After opening a route for future missions they are sent to clear out machine threats for the Resistance led by Anemone who provides the two with support During their missions 2B and 9S discover that the machines are exploring human societies and concepts The two work with a pacifist machine group led by Pascal battle Adam and Eve physical manifestations of the machine network who reveal that their creators were destroyed centuries ago and encounter A2 a rogue android on the run from YoRHa Adam is killed by 2B after he captures 9S During his recuperation 9S discovers a glitch in YoRHas servers when syncing himself and 2B and learns that humanity was extinct long before the alien invasion Their last remnant is a Moonbased server holding humanitys incomplete genome remains YoRHa perpetuates the myth of their survival to maintain morale and give androids a god to fight for With Adam dead Eve goes mad with grief and drives the machines under his command into a frenzy 2B and 9S kill Eve to end the rampage but 9S becomes infected with Eves logic virus forcing 2B to kill him However 9Ss consciousness survives within the local machine network  The third playthrough begins as YoRHa launches a fullscale invasion A logic virus attackenabled by the glitch that 9S previously discoveredcorrupts every YoRHa unit including those in the Bunker except for 2B and the restored 9S 2B and 9S are separated in the aftermath and 2B is infected with the logic virus Discovered by A2 2B uploads her memories into her sword and asks her to look after 9S An ignorant 9S witnesses A2 mercifully killing 2B and swears revenge on her Simultaneously a tower created by the machines rises from the land separating the two before they can fight The perspective splits between A2 and 9S a fortnight after these events A2the survivor of a test run for YoRHafinds herself empathising with the machines she witnesses Pascals village being destroyed then its children committing suicide out of fear when attacked Pascal begs A2 to either wipe his memory or kill him A2 can perform either task or leave him An increasinglyunbalanced 9S investigates the towers resourcegathering platforms fighting machine remnants and learning the tower is designed to launch a missile at the Moon server Both eventually enter the tower with Devola and Popola sacrificing themselves to open it,Black Box Edition For gamers in search of exclusive items to complement the fastpaced action were proud to present the Nier Automata Black Box Edition exclusive to PS4  Back at E3 2016 we showed off a prototype of the 2B statue during our Square Enix Presents livestream Seeing the fully developed statue here and how awesome 2B looks it brings an android tear to my eye  A sleek black Collectors Edition box housing the below exclusive content  The Nier Automata game  Exquisitely crafted YoRHa 2B Figurine  Hardback 64page artbook detailing the stunning artwork and illustrations from the game  Exclusive steelbook case featuring artwork from renowned Akihiko Yoshida Final Fantasy XIV  Bravely Default  Hauntingly beautiful soundtrack containing 13 live recorded songs from Nier and Nier Automata composed by veteran Keiichi Okabe from Monaca Inc Tekken  Drakengard  Nier   All Day One Edition digital content including  Machine Mask Accessory  Grimoire Weiss Pod  Play System Pod Skin  Retro Grey Pod Skin  Retro Red Pod Skin  Cardboard Pod Skin  Copies will be limited so be sure not to miss out as the Black Box Edition will be available exclusively at the Square Enix Online Store,Missing,nan,nan,nan,nan,nan,nan
1488844800,144330,NieR: Automata - Day One Edition,[48],"[12, 25]",The first and second playthroughs follow the respective views of 2B and 9S during an initial invasion After opening a route for future missions they are sent to clear out machine threats for the Resistance led by Anemone who provides the two with support During their missions 2B and 9S discover that the machines are exploring human societies and concepts The two work with a pacifist machine group led by Pascal battle Adam and Eve physical manifestations of the machine network who reveal that their creators were destroyed centuries ago and encounter A2 a rogue android on the run from YoRHa Adam is killed by 2B after he captures 9S During his recuperation 9S discovers a glitch in YoRHas servers when syncing himself and 2B and learns that humanity was extinct long before the alien invasion Their last remnant is a Moonbased server holding humanitys incomplete genome remains YoRHa perpetuates the myth of their survival to maintain morale and give androids a god to fight for With Adam dead Eve goes mad with grief and drives the machines under his command into a frenzy 2B and 9S kill Eve to end the rampage but 9S becomes infected with Eves logic virus forcing 2B to kill him However 9Ss consciousness survives within the local machine network  The third playthrough begins as YoRHa launches a fullscale invasion A logic virus attackenabled by the glitch that 9S previously discoveredcorrupts every YoRHa unit including those in the Bunker except for 2B and the restored 9S 2B and 9S are separated in the aftermath and 2B is infected with the logic virus Discovered by A2 2B uploads her memories into her sword and asks her to look after 9S An ignorant 9S witnesses A2 mercifully killing 2B and swears revenge on her Simultaneously a tower created by the machines rises from the land separating the two before they can fight The perspective splits between A2 and 9S a fortnight after these events A2the survivor of a test run for YoRHafinds herself empathising with the machines she witnesses Pascals village being destroyed then its children committing suicide out of fear when attacked Pascal begs A2 to either wipe his memory or kill him A2 can perform either task or leave him An increasinglyunbalanced 9S investigates the towers resourcegathering platforms fighting machine remnants and learning the tower is designed to launch a missile at the Moon server Both eventually enter the tower with Devola and Popola sacrificing themselves to open it,The Day One Edition of NieRAutomata includes  Reversible Cover  Machine Mask Accessory  Grimoire Weiss Pod  Play System Pod Skin  Retro Grey Pod Skin  Retro Red Skin  Cardboard Pod Skin,Missing,nan,nan,nan,nan,nan,nan
1490832000,138232,Klap!! Kind Love and Punish: Fun Party,"[46, 130]",[34],This is the fandisc to Otomates 2015 game KLAPKind Love And Punish and features three different sections   If Story This story takes place after the original game in a world where Koyomi completed her one year at Yomikou and chose to leave the Aima prefecture and go to teach in a normal school Despite being happy with her life going back to normal she secretly misses the students and teachers at Yomikou One day its announced that there will be an exchange program with her schools sister academy whereby some of their students and teachers will be attending classes for a couple of months and as it turns out its her beloved students and teachers from Yomikou However with this being the real world its more important than ever for the guys to hide their true identities  will they make it through the exchange without being found out   After Story This section features continuations of the 6 routes from the original game and makes sure that everyone gets a wedding scene   Another Story Taking place in the same world as the If Story where Koyomi now works in a normal school this section features miniroutes for Ryo and Shinobu whom were subcharacters in the original game,A fandisc to Otomates 2015 game KLAPKind Love And Punish,Missing,nan,nan,nan,nan,nan,nan
1489017600,131916,Wand of Fortune R2: Jikuu ni Shizumu Mokushiroku,[46],[34],Lulu might have gotten a partner who can help her control her magic but it doesnt mean that her magic stopped malfunctioning This time the magicians are blown off to a world 350 years before their time with new spells new crises and new boys Wand of Fortune 2 continues the fantasy,Sequel to Wand of Fortune R,Missing,nan,nan,nan,nan,nan,nan
