,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[12, 31]",256974,Genshin Impact: Beneath the Light of Jadeite,"[6, 34, 39, 48, 167]",Moonlight falls on the branches as a dragons roar rises from deep beneath the roots A drop of sun may trickle in but a heart of stone is not easily moved Deals are sealed with scarlet flames and icecold vengeance floods forth in waves But far from the fight is a realm of serenity where a gentle melody forever plays,Version 15 of Genshin Impact which included  New characters Eula and Yanfei  New story quests for Zhongli and Eula  New hangout events Noelle Act II and Diona  New main event Energy Amplifier Initiation  New housing system Serenitea Pot  and more,Missing,,,,,,
1,[12],233655,Brave Match,[48],Missing,BraveMatch is a Match 3 inspired RPG game with lots of fun Choose from 6 different heroes to beat 20 different enemy types Use mana and dig gold to unlock new skills buy weapons and armor Fight against your enemies in 20 different beautiful backgrounds Listen to more than 20 epic fantasy music tracks,Missing,0.0,0.0,0.37,0.0,0.0,1.0
2,[5],221656,Returnal: Digital Deluxe Edition,[167],Break the cycle of chaos on an alwayschanging alien planet where even death is no escape  After crashlanding on this shapeshifting world Selene must search through the barren landscape of an ancient civilization for her escape Isolated and alone she finds herself fighting tooth and nail for survival Again and again shes defeated  forced to restart her journey every time she dies,After crashlanding on a shapeshifting alien planet Selene finds herself fighting tooth and nail for survival Again and again shes defeated forced to restart her journey every time she dies In this roguelike shooter both the planet and your equipment change with every cycle forcing you to adapt your play style and take on evolving challenges  The Digital Deluxe Edition includes  Main game  Electropylon Driver weapon  Hollowseeker weapon  One Reflex Stimulant  One Adrenaline Booster  One Pulsating Mass artefact  PSN avatars for PS5  Digital soundtrack,Missing,,,,,,
3,[12],221547,Final Fantasy XIV: Death Unto Dawn,"[6, 48, 167]",The Scions have finally succeeded in discovering a cure for tempering which should prove instrumental in allowing the Eorzean Alliance and the lands beast tribes to settle their differences Prospects of peace may soon fall to ruin however as Fandaniel and the Telophoroi scheme to recreate the Final Days and ominous towers rise in all corners of the realm With the servants of chaos amassing at every turn will the Scions uncover their plot before it is too late,In Patch 55 the stage is set for a cataclysmic battle that will lead into the story of Endwalker This patch also introduces the third installment of YoRHa Dark Apocalypsethe Tower at Paradigms Breachcourtesy of guest creators Yosuke Saito and Yoko Taro a new event to celebrate the Firmaments completion and much more,Missing,4.73,11.25,0.0,86.0,16.0,17.0
4,[33],210696,Easter Candy Break: Head to Head,[48],Missing,Easter Candy Break Head to Head is a retro arcade game that lets 1 and 2 players play head to head in a competitive arcade environment Unique animated bricks tumble down toward the users paddle along with MiniBosses and Powerups Collect powerups as you progress through the levels and defeat your opponent,Missing,,,,,,
5,[34],210404,Kanda Alice mo Suiri Suru.,"[48, 130]",Alice Kanda was worried about her first year at Miyukinomori Girls High School Her best friend Akira Hodaka stopped attending their archery club for a while due to an incident She is said to have wrecked the archery clubs championship cup but Alice didnt believe her best friend could do such a thing Despite of Alices worries her best friend decided to leave the archery club  There is an amazing fortuneteller in this school Alice heard from her classmates Alice told her best friend about the rumored fortuneteller in the tea ceremony club located in one of the club buildings in the back of the schoolgrounds  When Alice and her best friend headed to the tea ceremony club after school they were greeted by an unbelievably beautiful blackhaired girlso beautiful that youd question whether she really exists Her name Houju Sawaragi Houju asks What dont you want taken away from you  Their encounter in the twilight restarts a heart that had come to a halt,Yuri visual novel,Missing,,,,,,
6,"[5, 31]",199490,Cactus Cowboy: Plants at War,"[6, 384, 390]",Missing,When the bug army attacked Cacti Island the Cacti Army deployed you into battle Together with your comrade Emilio you fight many battles in the trenches cities and woods of Cacti Island unraveling the story behind the backstabbing attack of the bug army,Missing,,,,,,
7,"[5, 12, 25]",198622,Warframe: Call of the Tempestarii,"[6, 48, 49, 130, 167, 169]",Missing,Cephalon Cy discovers Corpus convoys exploring Void anomalies in Veil Proxima and decides to bring the Tenno along to investigate,Missing,,,,,,
8,[34],194644,9-nine-: New Episode,"[6, 48, 130]",Missing,Enjoy short after stories for the heroines of the 9nine series in 9nineNewEpisode,Missing,3.03,0.0,3.2,75.0,7.0,8.0
9,"[12, 31]",183140,Spellbreak: Chapter 2 - The Fracture,"[6, 48, 49, 130]",Return to the Hollow Lands for Chapter 2 The Fracture in Spellbreaks biggest update yet Control zones in the new 5v5 Dominion game mode compete in ranked Leagues and complete new Quests to discover what caused the Fracture,Play the new Dominion 5v5 capture and control mode as you rankup in competitive Leagues and join the struggle against the nefarious Vowkeepers,Missing,,,,,,
