first_release_date,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1410998400,17818,Disney Infinity 2.0: Marvel Super Heroes,"[6, 9, 12, 34, 39, 41, 46, 48, 49]",[31],In Disney Infinity Marvel Super Heroes players will use realworld interactive Marvel figures to activate original storylines Play Sets in the virtual game worlds of some of Marvels most popular franchises including The Avengers In the Play Sets  penned by awardwinning Marvel comic writer Brian Michael Bendis  players will be able to take on the role of more than 20 Marvel characters including Captain America Iron Man Black Widow Thor Hulk and Hawkeye to battle enemies complete challenging missions solve puzzles and ultimately save the world from destruction,Missing,69.09051283204678,nan,nan,nan,nan,nan,nan
1412035200,7897,Chariot,"[6, 9, 41, 48, 49]","[8, 9, 15, 31, 32]",Chariot is a humorous physicsbased couch coop platformer in which a brave princess and her suitor carry a funeral wagon through ancient caves They must fend off swarms of looters while amassing riches to bury the Kings remains in a worthy goldfilled tomb If only that dead King would keep quiet  The Chariots large wheels and long tethers allow the heroes to reach higher ground swing across chasms and perform all sorts of impressive maneuvers Extract riches from the very walls of the caves in multiple environments and make your way to the exit by avoiding envious looters or by beating them back as they attempt to steal your hardearned loot With skilltesting coordination mechanics and thrilling physicsbased stunts required Chariot will definitely please couch coop enthusiasts as teamwork and cooperation unlocks new possibilities,Cariot is the story of a princess whose task is to lay her fathers remains in his final resting place With the help of her fiancé she has to take this heavy chariot holding the kings remains through underground mazes in order to reach a sepulcher fit for His Majesty  However the kings ghost bound to the chariot has quite a temper and insists that he be buried with vast amounts of riches As the couple progresses tunneling deeper and deeper underground theyll have to stray off the main path to get their hands on precious gems,69.0,12.76,30.0,31.07,61.0,18.0,8.0
1409616000,20058,Warriors Orochi 3: Ultimate,"[9, 46, 48, 49, 130]",[25],Warriors Orochi 3 Ultimate is an enhanced version of the hit action game Warriors Orochi 3 once again combining the much loved heroes of the Dynasty Warriors and Samurai Warriors series The mythology of the Orochi universe expands with a new main storyline which brings the heroes together again into the chaos of battle as they are summoned upon by a mysterious stone The adventure is complemented by side stories offering over 175 scenarios and endings to uncover including the ability to battle from the point of view of various characters and even what if hypothetical stages that exist in a parallel world,Missing,67.89079552146525,nan,nan,nan,nan,nan,nan
1410825600,20059,KickBeat: Special Edition,"[41, 48, 49]","[4, 7, 31]",KickBeat  Special Edition offers up a fulllength singleplayer campaign beautifully handdrawn animations and a strikingly unique art style,Missing,67.0,nan,nan,nan,nan,nan,nan
1411430400,7293,Gauntlet,"[6, 48]","[12, 25, 31]",The classic Gauntlet 4player coop action gameplay returns in a completely new experience Play as one of four distinct heroes in an intense monster filled dungeon brawler with a combination of both uniquely built and randomly generated levels to explore Battle the endless hordes of foes as you and your friends fight for treasure and glory via both local and online coop multiplayer,For ages foolhardy adventurers have been lured by promises of countless treasures in the depths of the Gauntlet yet none have ever made it out alive The corrupt wizard Morak conjures minions and devious traps against wouldbe champions and taunts them all along the way But a new group of heroes looks to succeed where all others have failed  Warrior Valkryie Elf and Wizard  each has their own reason for entering the Gauntlet but all four are bound together for one goal to survive the Gauntlet and claim the ultimate prize,66.1165260276585,6.03,11.17,24.02,67.0,129.0,145.0
1410393600,8479,Naruto Shippuden: Ultimate Ninja Storm Revolution,"[6, 9, 12]","[4, 31]",The latest instalment of the NARUTO SHIPPUDEN Ultimate Ninja STORM series will offer players a new experience in the deep  rich NARUTO environment Tons of new techniques enhanced mechanics over 100 playable characters  Support Ninjas and a brand new exclusive character MechaNaruto designed by Masashi Kishimoto,Missing,66.01168820554689,4.18,19.5,54.18,66.0,130.0,86.0
1411689600,22153,"Run, Sackboy! Run!","[34, 39, 46]",[8],Run like the wind as LittleBigPlanet hero Sackboy dashes off in a fast paced platformer from the Negativitron through The Gardens Avalonia and The Canyons,Missing,65.21266732340499,nan,nan,nan,nan,nan,nan
1411948800,17473,Watch Dogs: Bad Blood,"[6, 9, 12, 48, 49]",[31],Revisit Chicago in a brand new Watch_Dogs adventure Play as TBone Grady the legendary and eccentric hacker and Aiden Pearces trusted comrade Now on the run from Blume TBone only has two choices flee and start a new life elsewhere or fight Blume to save an old friend Face your shady past on your road to redemption,Missing,64.9947942516522,4.25,7.95,16.19,70.0,117.0,159.0
1410998400,15852,Roundabout,"[3, 6, 14, 46, 48, 49]","[9, 31, 32]",Drive a constantly spinning limousine around town Roundabout is a 70s BMovie game where you pick up passengers find secret collectibles take on dangerous missions and fall in love in a far out open world puzzle adventure  all while driving a revolving limo,Missing,63.6395792013904,2.52,4.62,9.4,67.0,87.0,119.0
1410825600,23228,Murasaki Baby,[46],"[8, 9, 31]",Murasaki Baby tells the story of a little girl who wakes up in a weird world populated by childrens fantasies and fears Holding a purple heartshaped balloon in her hand she feels lost homesick and vulnerable She wants her mommy,Missing,60.17604074680686,2.43,2.46,2.47,62.0,37.0,44.0
