,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,[12],250931,Persona 2: Innocent Sin,[38],Updated port of Persona 2 Innocent Sin for the PSP Features a new quest remixed music and updated artwork,Missing,Missing,35.65,48.28,61.33,79.0,258.0,303.0
1,[34],221889,Garnet Cradle Portable: Kagi no Himemiko,[38],A port for PSP,Miku belongs to the literature club One day she takes charge of writing a scenario of a play staged at the school festival and is given the original book As she reads it she gradually feels doubtful about its ending  Several days later she accidentally falls down into a mysterious fountain that is located deep inside the school and goes to another world There also live her friends and classmates but they show different personalities to her Like this she starts living at two worlds but the same story written in the book happens in another world and a tragic ending happens When she notices she comes back to the real world However time has gone back and she is given the original book again  She finally understands that the real world and the other world are like a mirror and repeat the same time She decides to rewrite the story to avoid a tragic ending for the future of her beloved person Who will Miku save Who will Miku hurt No one knows until the end of the story No one knows if she will be able to save her beloved person,Missing,,,,,,
2,[26],214227,20Q,[38],A guessing game in which the 20Q AI will try to read your mind by asking a few simple questions The object you think of should be something that most people would know about but not a proper noun or a specific person place or thing,Missing,Missing,,,,,,
3,[34],203789,Starry Sky: in Winter Portable,[38],Port of Starry Sky in Winter for PlayStation Portable,Starry Sky takes place at Seigatsu Gakuen a school which specializes in horoscopes astronomy and other related topics The main characters are all based on horoscopes  Starry Sky Winter features Kazuki Shiranui Aries Hayato Aozora Virgo and Tsubasa Amaha Aquarius,Missing,,,,,,
4,[34],203049,S.Y.K: Renshouden Portable,[38],SYK Renshouden Portable is a port of SYK Renshouden for PlayStation Portable,You can enjoy sweeter love stories with target characters and past stories which were previously untold,Missing,,,,,,
5,"[12, 16, 24]",139549,Valkyria Chronicles 3: Extra Episode - The War Ends and His Journey Begins,[38],Empire General Radi Jaeger disappeared with the end of the Gaul front Another episode of the end of the war where Jaegers own perspective tells what he thought and where he disappeared,Missing,Missing,,,,,,
6,"[12, 16, 24]",139548,Valkyria Chronicles 3: Extra Episode - A Clash Battle! Welkin vs. Dahau,[38],Welkin Gunter the hero of the Gaul rescue Dahow the man who knows the battlefield They clashed and fight in one phase of the Gaul front An episode depicting the battle between heroes and masters from the perspective of the 7th platoon of the volunteer army such as Welkin,Missing,Missing,,,,,,
7,"[12, 16, 24]",139545,Valkyria Chronicles 3: Penalty Mission - The Barricaded Harbour,[38],A Disciplinary Mission addon for the original release of Valkyria Chronicles 3 and later bundled into Valkyria Chronicles 3 E2 EXTRA MISSIONS,Missing,Missing,,,,,,
8,Missing,95364,WSC Real 11,[9],WSC Real 11 is the most authentic Snooker experience ever created with a host of groundbreaking new features which immerse you in the shoes of a pro like never before,Missing,Missing,,,,,,
9,[35],94083,Rio,"[5, 9, 12]",Rio is a 3D comedy adventure about taking a walk on the wild side The game focuses on Blu a rare domesticated bird who travels to the exotic land of Rio With the help of his female counterpart Jewel and a group of wisecracking and smoothtalking city birds Blu goes on the adventure of his life,Missing,Missing,0.0,0.0,8.08,68.0,4.0,2.0
