,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[12],269079,Blade Dancer: Lineage of Light,"[48, 167]",In a world protected by the gentle Prismatic Moon an ancient evil is stirring The Dread Knight has reappeared to wreak havoc across the land and the Dark Lord gathers his strength The worlds only hope rests in the hands of Lance a reluctant young adventurer Discover your heritage and learn what it means to be the Protector of Light Blade Dancer,Experience Blade Dancer Lineage of Light originally released on the PSP system enhanced with uprendering rewind quick save and custom video filters,Missing,28.2,28.35,29.75,54.0,5.0,4.0
1,Missing,264825,Guilty Gear: Strive - Guilty Gear 25th Anniversary: Special Additional Color Pack,"[6, 48, 49, 167, 169]",Missing,This color pack unlocks colors for the initial roster of 15 characters as well as the 9 characters from Season Pass 1 and Season Pass 2 for a total of 24 characters There are 2 colors for every character making for 48 extra colors available,Missing,,,,,,
2,Missing,264824,Guilty Gear: Strive - Guilty Gear 25th Anniversary: Appreciation Color Pack,"[6, 48, 49, 167, 169]",Missing,This color pack unlocks colors for the initial roster of 15 characters as well as the 9 characters from Season Pass 1 and Season Pass 2 for a total of 24 characters There is 1 color for every character making for 24 extra colors available,Missing,,,,,,
3,"[12, 31]",257480,Genshin Impact: Duel! The Summoners' Summit!,"[6, 34, 39, 48, 167]",A game of cards is much like life Fortune decides the hand you are dealt while experience might let you shift the tides of possibility toward all that could be Life is much like a game of cards Victory is but the culminating point in the journey  the thrills of the duel however represent strings to melodies everlasting,Version 37 of Genshin Impact which included  New character Kirara  New major update for Genius Invokation TCG  New hangout events for Kaveh  New story quest for Yoimiya  New main event Duel The Summoners Summit  and more,Missing,,,,,,
4,"[13, 15]",257084,Cities: Skylines - Piano Tunes Radio,"[6, 48, 49]",Missing,Piano Tunes is the perfect Radio Station for those of you who love classical whimsical elegant piano music With 16 songs and approximately one hour of music your city will rise flawlessly from your fingertips,Missing,,,,,,
5,"[13, 15]",257082,Cities: Skylines - 90s Pop Radio,"[6, 48, 49]",Missing,90s lovers out there this Radio Station is for you With 90s Pop youll fall in love with this incredible music once again enjoy 16 new tracks and almost one hour of music,Missing,,,,,,
6,Missing,256639,Fortnite: Captain Hypatia's Level Up Quest Pack,"[48, 49, 130, 167, 169]",Missing,Missing,Missing,,,,,,
7,"[13, 31]",254791,Minecraft: Sonic Texture Pack,"[6, 34, 39, 48, 49, 130, 169]",Missing,See the world through the eyes of Sonic your favorite blue hedgehog This complete texture pack inspired by iconic zones like Green Hill and Labyrinth transforms your entire world into a unique but familiar landscape Just beware the hostile mobs  theyve gotten a Badnik new look,Missing,,,,,,
8,[4],254566,Guilty Gear: Strive - Additional Battle Stage: Tír na nÓg,"[6, 48, 49, 167, 169]",Missing,The additional battle stage Tír na nÓg becomes selectable ingame,Missing,,,,,,
9,[33],254102,Monster Battle,"[48, 167]",Missing,Monster Battle is retro monster shooter where the player eliminates monsters and arcade style bosses Collect powerups while vanquishing foes in 12 unique levels,Missing,,,,,,
10,Missing,252592,Cities: Skylines - Hotels & Retreats Bundle,"[6, 48, 49]",Missing,The Hotels  Retreats bundle includes a miniexpansion for Cities Skylines alongside a selection of content and music to keep your cities thriving for a long time Get Hotels  Retreats and enjoy buildings and music inspired by cities the world over  The bundle includes  Hotels  Retreats Miniexpansion  Brooklyn  Queens Content Creator Pack  Railroads of Japan Content Creator Pack  Industrial Evolution Content Creator Pack  Piano Tunes Radio Station  90s Pop Radio Station,Missing,,,,,,
11,"[12, 31]",252387,One Piece Odyssey: Reunion of Memories,"[6, 48, 49, 167, 169]",Missing,Come join the Straw Hats for a new and different way to experience One Piece Odyssey One Piece Odyssey Reunion of Memories is available in the Deluxe version of the game and purchasable separately Expansion content is available after players finish the main game One Piece Odyssey is available for PlayStation4 PlayStation5 Xbox Series XS and PC,Missing,,,,,,
12,[12],252044,Dragon Quest X: Nemureru Yuusha to Michibiki no Meiyuu Offline,"[6, 48, 130, 167]",Missing,The V2 expansion from Dragon Quest X Online remade as DLC for Dragon Quest X Offline,Missing,,,,,,
13,Missing,251447,Eperon Defend,"[48, 167]",Missing,This time you have to protect the Eperon planet from the meteors which are incoming,Missing,,,,,,
