first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1282780800,269524,Sakura Sakura: Haru Urara,[38],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1281398400,243246,Madden NFL 11,[38],[14],Missing,Missing,Missing,19.41,0.0,20.0,70.0,23.0,6.0
1281398400,243245,Madden NFL 11,[8],[14],Missing,Missing,Missing,19.41,0.0,20.0,70.0,23.0,6.0
1282780800,221885,Shall we date? Eternal Vows: Love Beyond Time,"[6, 34, 38, 39]",[34],You as an ordinary student suddenly slip back to medieval Japan With Nokizaru a unit of ninjas you meet there youll leap into the famous Warring States period How will your story come to an end Youre the heroine of this bittersweet story of love beyond time,Originally released as Nise no Chigiri in Japan for PSP  PC Published by NTT Solmare in English for iOS and Android,Missing,nan,nan,nan,nan,nan,nan
1282780800,221013,Hakuoki Zuisouroku Portable,[38],[34],Zuisouroku fills in the gaps in the Hakuouki story You can see the everyday lives of Chizuru and the Shinsengumi members Discover secrets that the men didnt tell you in the original game and unlock scenarios that are only mentioned briefly in the main story  Retrace the routes and see new scenes for yourself This game contains more heart melting moments delicately drawn CGs and fully voiced scenes Come meet the Shinsengumi swordsmen and tame the bloodthirsty monster within them,A port for PSP,Missing,nan,nan,nan,nan,nan,nan
1280966400,221001,J.League Winning Eleven 2010 Club Championship,[8],[14],Missing,JLeague Winning Eleven 2010 Club Championship is an addition to the Winning Eleven JLeague series This game is the successor to the JLeague Winning Eleven 2009 Club Championship and only features club teams no national teams and teams from both tiers of the J League totalling 36 teams The game also features 118 foreign teams from the Premier League Ligue 1 Serie A Eredivisie Primera División and a selection of teams from other leagues This game will become the last edition of JLeague Winning Eleven series,Missing,nan,nan,nan,nan,nan,nan
1280793600,214801,BioShock 2: The Protector Trials,"[6, 9, 12]",Missing,Missing,The Protector Trials is the third DLC for BioShock 2 and the first to expand the singleplayer mode Players step into the role of a Big Daddy who must fight off splicers while his Little Sister harvests ADAM from corpses It offers six new maps with three difficulty levels new unlockables and seven new achievementstrophies There are three new weapons and Plasmid loadouts plus a fourth bonus loadout received when all previous ones are completed,Missing,nan,nan,nan,nan,nan,nan
1282176000,214798,Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,[38],"[31, 34]",When Suzus big sister figure Mao disappeared she was summoned back to her rural home town to succeed her role as Tamayorihime the miko whod sacrifice herself to keep the land safe from the wrath of the sea lord  Suzu just knew that being Tamayorihime has a small group of retainers but no real idea of what she has to do to fulfill her role Shes just determined to find out why Mao disappeared or who took her  Before Suzu could get used to her new life however the sea lord strikes sending his demons to destroy the village And the head of the demon troops Toyotamahime is none other than Mao,A port of Shin Hisui no Shizuku  Hiiro no Kakera 2 for PSP,Missing,nan,nan,nan,nan,nan,nan
1282867200,194007,Winning Post 7 2010,"[6, 9, 38]",[14],Missing,Winning Post 7 2010 is a Sports game developed and published by Koei Tecmo Games which was released in Japan in 2010,Missing,nan,nan,nan,nan,nan,nan
1281398400,191180,Snow Battle Princess Sayuki,"[6, 9, 48, 130]","[5, 33]",A snow goddess Sayuki loves a human boy One day she learns he has fallen under a curse Sayuki goes to the mountain where a lot of demons and ghosts live with her pet snow rabbit Toto to find the ingredients for the cure to his curse,Sayuki a cute and powerful snow goddess is on a quest to save her beloved human boy from the evil curse of the demon An exciting retro style scrolling shooter Go to the world of Japanese myth,Missing,nan,nan,nan,nan,nan,nan
