first_release_date,id,name,platforms,summary,storyline,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1673568000,227674,Dragon Ball Z: Kakarot - Bardock: Alone Against Fate,"[6, 48, 49, 130, 167, 169]",Experience the story of Gokus father Bardock who fought alone against his fate in this New Story This is the story of one who stood alone against the scum of the universe Bardock warrior of Saiyan race spent his days invading planets with his fellow soldiers But an incident on Planet Kanassa would bring to his attention a calamity set to befall his home Planet Vegeta,Missing,"[12, 25, 31]",Missing,2.63,4.22,4.89,70.0,6.0,11.0
1674777600,227398,Dead Space: Digital Deluxe Edition,"[6, 167, 169]",The Dead Space Digital Deluxe Edition includes the base game and five exclusive cosmetics three Unique Suits and two Suit Textures Its everything you need to look your best while surviving the horrors aboard the USG Ishimura,Missing,[5],Missing,nan,nan,nan,nan,nan,nan
1674518400,226682,Risen,"[48, 49, 130]",Port of the cult RPG with full gamepad controls and reworked user interface,Faranga needs a new hero  will you heed the call Delve into the gritty and atmospheric world of Risen where every action has a consequence Master the sword learn the art of staff fighting or become a powerful mage forging your path across a land filled with mysterious earthquakes fearsome monsters and unimaginable treasures  The island of Farangas heavy tremors bode ill for its inhabitants Ancient temples have risen from the ground bringing with them bizarre creatures that terrorize the area Fear and panic are spreading throughout the population  A powerful group calling themselves The Inquisitors have made it their quest to put an end to these events They send an expedition to Faranga but a ferocious storm takes hold of the ship and destroys it at sea  Miraculously you survive the shipwreck and are stranded on the volcanic island alone You find yourself caught amidst rebellion tyranny and mystic rituals It is up to you to decide which way the pendulum of fate will swing,"[12, 31]",Missing,27.82,36.73,45.51,76.0,273.0,462.0
1674086400,226218,A Matter of Principle,"[6, 48, 130, 167]",A Matter of Principle is an interactive historical comic in visual novel format You have to participate in one of the most highprofile events of the XX century,The Bosnian Serb Gavrilo Princip killed the heir to the AustroHungarian throne Franz Ferdinand which became a formal reason to start the first world war of its kind  But who was Princip and what led him to this act Who was Franz Ferdinand and how did he meet that fateful day What do they have in common and could war have been avoided,"[31, 32, 34]",Missing,1.07,0.0,0.0,50.0,1.0,1.0
1674691200,225319,The Table Game: Deluxe Pack,"[49, 167]",You can play Othello Mahjong Shogi Igo Hanafuda Texas Holdem Chess Backgammon all in this single package,Missing,[15],Missing,nan,nan,nan,nan,nan,nan
1675123200,224643,The Helper,"[6, 48, 167]",The Helper is a fastmoving energetic fun and madnesspacked 2D video game that allows you to play as The Helper hence the name duh a lad that helps The Professor by gathering Gravity Crystals for his secret experiment,Missing,"[31, 32]",Missing,nan,nan,nan,nan,nan,nan
1673481600,223172,Sailing Era,"[6, 48, 130]",Every voyage is a journey of Sailing  Beyond in Sailing Era Navigate your fleet and sail for fun run a business have a romantic encounter in the tavern capture pirates amid intense battle explore inland for treasure Experience foreign culture make novel discoveries and sail away,Missing,"[12, 13, 15, 31]",Missing,24.37,73.2,0.0,75.0,2.0,4.0
1674172800,221992,99 Seconds,"[48, 167]",99 Seconds a fun retrostyle video game where you can modify time to avoid all kinds of dangers,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1675123200,221329,SpongeBob SquarePants: The Cosmic Shake - BFF Edition,"[6, 48, 49, 130]",Missing,Missing,"[8, 31]",Missing,nan,nan,nan,nan,nan,nan
1673568000,219525,UnderDungeon,"[6, 49, 130, 167, 169]",Embody Kimuto on the first day of his new job in this humorpacked dungeon crawler with surprising secrets to discover,Missing,"[4, 12, 31, 32, 33]",Missing,4.83,5.44,8.0,65.0,4.0,9.0
1673568000,218216,One Piece: Odyssey - Collector's Edition,"[6, 48, 49, 167, 169]",A storm a shipwreck a mysterious island Expect the unexpected on your next adventure with the Straw Hats A new RPG from the hugely popular manga and anime series One Piece commemorating the 25th anniversary of the series  The Collectors Edition includes  Game One Piece Odyssey  Luffy  Lim Figurine 230 x 210 x 210 mm  Steelcase  3 Postcards  Collectors Box  Deluxe Pack  2 Petite Jewelries  Travelling Outpit Sniper King  100000,Missing,"[12, 31]",Missing,nan,nan,nan,nan,nan,nan
