,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
16,15171,SingStar: Summer Party,[8],[7],Missing,SingStar Summer Party is a karaoke game featuring hit songs reminding summer and its hot nights    The game gives points which are distributed by the purity of singing as in how well does one manage to stay on tune It doesnt matter if you change octaves in the middle of the song or what words are you singing in it doesnt have a word recognition so your singing is rated by how well you manage to hit the correct note at the correct time,Missing,,,,,,
17,5470,11eyes: Tsumi to Batsu to Aganai no Shoujo,"[6, 12, 38, 39]",[34],Kakeru lost his older sister five years ago He tries to get back to normal life but he still lives a vacant life He has a childhood friend Yuka who goes to the same high school She always tries to cheer him up and he gradually gets better  One day all of a sudden the sky turns red and the moon becomes black Everyone besides Kakeru and Yuka disappears and monsters start roaming the streets All they can do is just to run away and hide A while later it all gets back to normal But when they start to think its all passed the Red Night happens again They find out that there are four more humans who get involved in this mysterious phenomenon They get together and try to survive but six shadows appear in front of them,11eyes is a Japanese adult visual novel,Missing,,,,,,
18,5162,SNK Arcade Classics Vol. 1,"[5, 8, 38, 48, 49]",[33],Missing,A collection of 16 classic Arcade titles by SNK,Missing,22.5,0.0,0.0,80.0,3.0,2.0
19,4831,Emergency Mayhem,"[5, 38]",[10],Missing,Emergency Mayhem puts the player at the helm of the three emergency services in a frantic race against time to hold together Crisis City a mad metropolis falling apart at the seams  Combining chaotic driving sequences with arcade minigames youll be in stitches controlling the frenzied police fire service or paramedics as they dash around the city from one emergency situation to the next With over 30 missions its a nonstop time crisis where youll be rescuing people from burning buildings defusing bombs and more,Missing,,,,,,
20,7477,Valkyria Chronicles,"[6, 9]","[12, 15, 16, 24]",In the year 1935 EC the continent of Europa is dominated by two superpowers The autocratic East Europan Imperial Alliance in the east and a commonwealth of loosely allied democracies known as the Atlantic Federation in the west The economies of both powers depend on a precious multipurpose mineral called Ragnite Its growing scarcity results in the Empire declaring war on the Federation sparking the Second Europan War The Empire uses its military superiority to quickly put the Federation on the defensive Emboldened by their progress and momentum the Empire decides to invade the neutral Principality of Gallia in order to seize its rich Ragnite deposits  When Imperial forces launch an attack on the Gallian border town of Bruhl Welkin Gunther son of late Gallian national hero General Belgen Gunther is forced to fight for his life alongside the town watch captain Alicia Melchiott Together with Welkins adopted sister Isara and using Belgens prototype tank from the first war the Edelweiss they escape to Gallias capital Randgriz and subsequently join the countrys militia forces Welkin is given the rank of lieutenant and assumes command of the newlyformed Squad 7 with Alicia acting as his noncommissioned officer Initially members of the squad question Welkins qualifications due to a lack of combat experience however he quickly earns their trust and loyalty with his tactical genius Welkin and Alicia soon become romantically engaged,Set in a fictitious continent reminiscent of the 1930s Valkyria Chronicles depicts Europe divided in two and ruled by two super powers the Empire and the Federation The Empire has set its sights on invading a small neutral country called Gallia situated in the middle of the two superpowers territories in an attempt to secure invaluable natural resources Within this struggle a hero named Welkin and his fellow soldiers of the Federations 7th Platoon are fighting back against the invasion and the Empires attempts to unify the continent under its power  During the ensuing war the Federation discovers that the Empire possesses a secret weapon known as the Valkyria  an ancient race with special powers thought to exist only in legends With this new discovery the fate of the Federations ability to turn the tide of the war and the hope for a better future hang in the balance  CANVAS graphics engine A unique engine that produces breath taking images that look like watercolour paintings in motion  BLiTZ tactical battle system Experience strategic manoeuvring of units combined with conventional RPG gameplay all layered on top of the moment to moment action afforded by realtime controls as players command each squad member and tank in battle  Epic storyline Players will immerse themselves in the epic struggle for freedom as the fate of the world lies in the hands of Welkin and the members of the 7th platoon  Customisation Over 100 customisable characters allow players to create a variety of platoons to suit each battles needs  Beautifully rendered battlefields Players explore 30 different environments using unique terrain features to gain advantages in battle,86.87115322487611,30.23,38.69,58.18,82.0,688.0,835.0
21,731,Grand Theft Auto IV,"[6, 9, 12]","[5, 10, 31]",Grand Theft Auto IV follows the story of Niko Bellic a veteran of an unnamed war in Eastern Europe who is haunted by the betrayal of his 15 man army unit Ten years later after a smuggling run goes bad due to a betrayal from a partner Niko leaves Eastern Europe23 to escape the anger of his employer Ray Bulgarin After six months in the merchant navy serving aboard the cargo ship the Platypus and believing the stories of his cousin Roman Niko comes to Liberty City to pursue the American Dream as well as searching for the traitor of his unit After his arrival however Niko quickly learns that Romans tales of riches and luxury were lies concealing struggles with gambling debts and loansharks and that Roman lives in a dirty apartment rather than a mansion,Grand Theft Auto IV is an actionadventure video game developed by Rockstar North and published by Rockstar Games It is the eleventh title in the Grand Theft Auto series and the first main entry since 2004s Grand Theft Auto San Andreas  The game is played from a thirdperson perspective and its world is navigated onfoot or by vehicle Throughout the singleplayer mode players play as Niko Bellic An online multiplayer mode is included with the game allowing up to 32 players to engage in both cooperative and competitive gameplay in a recreation of the singleplayer setting  Two expansion packs were later released for the game The Lost and Damned and The Ballad of Gay Tony which both feature new plots that are interconnected with the main Grand Theft Auto IV storyline and follow new protagonists,83.28295954335671,27.42,40.75,74.24,82.0,1952.0,2125.0
22,854,Sam & Max: Beyond Time and Space,"[5, 6, 9, 12, 49]","[2, 31]",Missing,Join the Freelance Police for a second season of adventure crime fighting and chaos Sam  Max Beyond Time and Space starts with a giant robot attack and never lets up taking our valiant crime fighters on a gutwrenching mission from the North Pole to Easter Island from outer space to Hell and back Babies will dance Mariachis will sing A giant battle robot will trash the streets And when their friends are caught in the middle Sam  Max risk their very souls to set things right,79.86172848636595,13.86,14.73,15.98,79.0,70.0,59.0
23,11392,Chaos;Head,"[6, 9, 12, 34, 38, 39, 46]","[31, 34]",The games premise revolves around a high school student named Takumi Nishijo who unknowingly walks into the scene of a gruesome murder on his way home More mysterious events start happening afterwards as more gruesome murders occur in the area Takumi struggles to cope with reality and the delusions he experiences as he tries to avoid getting caught by the perpetrator behind the chain of murders,ChaosHead is a Japanese visual novel It is the first game in the Science Adventure series,79.41139961501383,22.93,23.78,28.97,74.0,45.0,68.0
24,7243,Warriors Orochi 2,"[8, 12, 38]","[4, 25, 31]",Missing,Warriors Orochi 2 is a 2008 video game developed by Koei now Tecmo Koei and Omega Force for the PlayStation 2 It is the sequel to Warriors Orochi a crossover video game of the Dynasty Warriors and Samurai Warriors series The game was released on September 23 in North America and September 19 in Europe A version for the Xbox 360 was released on September 4 2008 in Japan and alongside the PS2 releases in North America and Europe A PlayStation Portable version has been released in Japan North America and Europe,75.5835859534144,14.49,24.79,43.67,76.0,21.0,14.0
25,7106,NBA Ballers: Chosen One,"[9, 12]",[14],Missing,NBA Ballers Chosen One is a video game for the PlayStation 3 and Xbox 360 It is the sequel to NBA Ballers Phenom  NBA Ballers Chosen One allows players to live the life of an NBA superstar The game features competitive combo and supermove systems  Gameplayedit When playing your performance determines the evolution of your career as a basketball player and as a superstar The game features new moves to the series such as Shut Em Down super moves and ActAFool combos The game can be played singleplayer multiplayer and online play with options to play 1v1 2v2 or 1v1v1 matches As well as online play downloadable content is available and features over 500 new items including players Hiphop legend Chuck D calls the playbyplay action while hiphop producer Just Blaze created over 30 custom tracks for the game,75.0,3.52,0.0,0.0,70.0,1.0,1.0
26,7226,UEFA Euro 2008,"[6, 8, 9, 12, 38]","[13, 14]",Missing,UEFA EURO 2008 will feature stunning visual representations of the worlds most famous football players playing in a more accessible faster paced and responsive version of the marketleading EA SPORTS football engine and all of the teams and official stadiums that will be part of UEFA EURO 2008 The videogame will enable gamers to play as their favorite country from qualification right through to a virtual reproduction of the championship tournament Take on the challenge of leading one of over 50 European national teams to glory as UEFA EURO 2008 recreates all the drama and excitement of the official tournament   less,62.44540138641148,0.0,0.0,0.0,70.0,5.0,0.0
