,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
82,104849,Bring to Light,"[6, 48, 49]","[9, 31, 32]",Trapped in the city subway system due to a sudden disaster you explore the depths of the tunnels to find your way out The further you explore the more you realize there is more to this disasterand the lurking shadows are following your every move,Missing,60.0,0.0,0.0,0.0,30.0,1.0,0.0
83,52263,All-Star Fruit Racing,"[6, 48, 49, 130]","[10, 14, 32]",AllStar Fruit Racing is the kart racing game youve been waiting for Easy to learn but hard to master choose your character customize your kart and play the way that tempts you most,Missing,60.0,5.54,9.0,0.0,58.0,5.0,5.0
84,29824,Out of the Box,"[3, 6, 14, 34, 48, 49, 130]","[9, 13, 15, 31]",You are Warren Baker the new bouncer in The Box the most exclusive club in town You will have to interact with several different types of customers Some of them match the rules to get in and some of them dont its your job to choose who may come in Throughout many different days Warren will have to make some decissions that will affect his life in many different ways,Missing,60.0,5.61,10.42,10.45,68.0,10.0,13.0
85,26945,Guts and Glory,"[3, 6, 14, 48, 49, 130]","[9, 10, 13, 32, 33]",Guts and Glory is a game about racing to the finish line while everything tries to kill you and you laugh about it,Missing,60.0,4.95,5.1,6.89,50.0,20.0,15.0
86,27186,Earthfall,"[6, 48, 49, 130]","[5, 31]",Earthfall is a cooperative shooter for up to four players Using teambased tactics to fortify holdouts and complete objectives players must work together to survive,Missing,59.70098275764916,5.37,7.0,0.0,54.0,11.0,7.0
87,104862,Super Destronaut DX,"[6, 46, 48, 49, 130]","[32, 33]",Once upon a time arcade shooter gamers where you have to fend off impending waves of an alien menace was all the rage but while retro may be old it is never forgotten So inspired by an arcade classic Super Destronaut DX is retro space shooter that pits you against an enemy more dreaded than a UFO a scoreboard With multiple modes and highscores that can be attained by yourself and players all over the globe this is one game that will put you on the path of achieving as high a score as you can possibly muster,Missing,56.22763946957222,0.4,0.0,0.66,62.0,13.0,26.0
88,90082,Far Cry 5: Lost on Mars,"[6, 48, 49]","[5, 31]",Lost on Mars transports the franchises insanity from Hope County to the red planet as Nick Rye is teleported to a hostile planet to help his buddy Hurk thwart an alien invasion of Earth This adventure gives players a new arsenal of alien weaponry including the Blaster of Disaster Hellfire and Morphinator while also introducing a new traversal tool with Space Jets Humankinds future is in the hands of the games most notorious gunsforhire Time to squash some bugs,Missing,51.85423111785064,4.67,5.16,7.03,61.0,70.0,107.0
89,104939,18 Floors,"[6, 48, 163, 165]","[9, 31, 32]",18 Floors is a VR experience combining room escape gameplay with puzzle elements Players are transported to a mystic and foreboding space where they must complete interconnected puzzle to escape each sealed room The first episode of the game is comprised of two rooms the Phantom Room and Sea Express stage,Missing,50.0,0.0,0.0,0.0,0.0,0.0,0.0
90,97018,Soviet Lunapark VR,"[6, 162, 165]","[5, 31]",Immerse yourself in the brilliantly crafted world of walking and thinking machines and the corpses hungry for the living flesh You will be able to choose one of four characters with unique abilities and take part in the dramatic events that happened at the Facility 3826,Missing,50.0,0.0,0.0,0.0,0.0,0.0,0.0
91,96254,Mega Man X: Legacy Collection 2,"[6, 48, 49, 130]","[5, 8]",Mega Man X Legacy Collection 2 also spans two gaming eras showcasing the evolution of the series with Mega Man X5 Mega Man X6 Mega Man X7 and Mega Man X8 A third playable character Axl joins the cast in Mega Man X7 and Mega Man X8 as the series jumps into a new realm of 3D character models and environments,Missing,50.0,,,,,,
92,90782,Blast Zone! Tournament,"[6, 48, 49]","[14, 32]",Blast Zone Tournament is the fastpaced game where fun meets explosive combat 32 player crossplatform multiplayer either local online or combined Ranked and unranked matches to cater to both casual players and hardcore fans 10 solo and teambased multiplayer modes including FreeForAll Team Deathmatch Bomb Blast Treasure Mode King Mode Zombie Mode and more Storydriven singleplayer Challenge Mode with 240 unique challenges 280 multiplayer levels with tweakable options including handicaps lives starting items bomber stats overall match settings and more Create individual characters with over 10 billion unlockable cosmetic and gear item combinations Robust set of social features from friends lists to partying news mail and more to help foster a healthy community and lay the foundations for esports tournaments Pulsating party soundtrack,Missing,50.0,0.0,0.0,0.0,20.0,1.0,0.0
93,89554,Defiance 2050,"[6, 48, 49]","[5, 12, 31]",Defiance 2050 is a futuristic free to play online shooter set in an extraordinary postapocalyptic world with advanced alien technology Fight on your own or alongside friends as you explore and unlock powerful weapons with extensive skill and customization systems  For the 5th anniversary of Defiance the game is being remade from the ground up  Some account information will be transferable from the original game Account based purchases like character and loadout slots as well as specific unique titles such as Old School will also be transferred over A reward system is also going to be added to the original game with players earning Valor which will also be usable in some way More information on this system will be revealed later,Missing,50.0,0.0,10.98,32.4,25.0,2.0,2.0
94,74140,Car Demolition Clicker,"[6, 48, 49, 130]","[13, 32, 33]",Ever dreamed of smashing your own car Or maybe a car of your neighbour Well now you have a chance Grab your weapon call out your battle drones and start clicking the car into oblivion Earn cash upgrade your equipment and find more vehicles to destroy,Missing,50.0,0.0,0.0,20.07,55.0,4.0,4.0
95,54565,Tempest 4000,"[6, 48, 49, 130]","[5, 7, 9, 33]",In Tempest 4000 players are once again in control of the Claw a powerful spacecraft equipped to destroy deadly creatures and other obstructions with rapidfire shots on vibrant geometric prisms With three game modes to choose from and 100 levels to conquer players must eliminate all enemies as quickly as possible to survive and achieve that coveted spot at the top of the leaderboards,Tempest 4000 is a visually stunning actionpacked tube shooter based on the classic hit arcade game Tempest Developed by legendary game designer Jeff Minter Tempest 4000 remains faithful to the original fastpaced gameplay by putting you in control of the Claw a powerful spacecraft equipped to destroy deadly creatures and other obstructions with rapidfire shots on vibrant geometric prisms Featuring fantastical graphical environments 100 levels three game modes and more you must eliminate all enemies as fast as possible to survive and compete for the highest score on the leaderboards,50.0,0.0,0.0,0.0,80.0,1.0,0.0
96,95026,Headsnatchers,"[6, 48, 130]","[14, 32]",Hold onto your head with Headsnatchers a stupidly hectic upto4player local and online multiplayer partygame where you snatch your friends heads to come out victorious Because lets face it youll do anything to win,Missing,47.78376298576376,0.89,0.0,10.67,41.0,11.0,11.0
97,103367,The Culling II,"[6, 48, 49]","[5, 32]",The Culling returns to take Battle Royale to the next level Realworld weapon ballistics A strategically brutal melee combat system Perks to customize your play style Fifty contestants will drop in and compete for glory but only one will be crowned the winner Do you have what it takes,Missing,20.0,0.0,0.0,0.0,0.0,0.0,0.0
