,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
19,"[5, 31]",263233,Cactus Cowboy: Desert Warfare,"[163, 390]",Cactus Cowboy Returns in His Most Thrilling VR Adventure Yet  Desert Warfare,Missing,,,,,,
20,[31],262261,The Walking Dead: Destinies,"[6, 48, 49, 130, 167, 169]",Begin your journey as Rick Grimes waking alone in a hospital surrounded by the dead Assemble allies and fight your way through the walker apocalypse across iconic locations from The Walking Dead including Atlanta the Greene family farm the prison and Woodbury In crucial choicedriven moments youll forever shape the destiny of your team of characters from the series Heroes and villains living and dead  its up to you to decide whether to stay the course of history or forge your own path through the world of AMCs The Walking Dead,Missing,0.0,0.0,0.0,0.0,0.0,0.0
21,[7],261154,Let's Sing 2024,"[130, 167, 169]",Missing,Missing,,,,,,
22,[5],260780,Call of Duty: Modern Warfare III,"[6, 48, 49, 167, 169]",The game brings open combat  offering players more choices in approaching the singleplayer missions Makarov returns as the chief villain of the new campaign  The newly introduced Carry Forward system will let players keep their progression and inventory from Modern Warfare II Multiplayer fans can expect 16 maps at the launch and at least 12 coming later Zombies mode will also return and should offer the largest zombie map to date,Missing,4.91,6.86,11.03,56.0,44.0,81.0
23,"[4, 12]",260718,Granblue Fantasy Versus: Rising - Deluxe Edition,"[6, 48, 167]",Rise to the challenge in Granblue Fantasy Versus Rising This powered up revamped sequel to GBVS is more enjoyable and accessible than ever before With simplified input options even newcomers can engage in thrilling and strategic matches  The Deluxe Edition includes the main game 4 color variants for the 28 base characters 3 weapon skins for the 28 base characters and the Deluxe Character Pass Part 1 6 DLC characters and premium avatars 4 color variants for the 6 DLC characters 3 weapon skins for the 6 DLC characters costume Guider to the Eternal Edge for Gran costume Guider to the Eternal Edge for Djeeta and Premium Avatar Vikala Yin Additionally the PS4 and PS5 versions include up to 72 hours of Early Access and a Granblue Special Item Set GBVSR Pack,Missing,,,,,,
24,"[4, 12]",260487,Granblue Fantasy Versus: Rising - Free Edition,"[6, 48, 167]",Enter the world of Granblue Fantasy at no cost with the Free Edition of Granblue Fantasy Versus Rising which includes 4 playable characters Gran and 3 rotating characters part 1 of the story online matches and lobby access including access to Grand Bruise Legends Some features are limited in the Free Edition,Missing,,,,,,
25,"[13, 30, 32, 33]",260221,Smoots Pinball,"[6, 48, 49, 130, 167, 169]",Enjoy an exciting and fun multiplayer pinball experience with Smoots Pinball Play on 5 tables based on our popular Smoots games complete missions and unlock extras Can you score 1000000 points Play solo or with friends and show off your pinball skills,Welcome to Smoots Pinball the ultimate multiplayer pinball experience In this thrilling game youll enjoy classic pinball action on 5 unique and exciting tables each based on our popular Smoots games  Are you ready to take on the challenge and reach a score of 1000000 points Flip the paddles and launch the balls with precision to rack up as many points as possible But thats not all each table has special missions for you to complete unlocking extras and additional challenges,,,,,,
26,"[4, 8]",259206,Nickelodeon All-Star Brawl 2,"[6, 48, 49, 130, 167, 169]",Nickelodeon AllStar Brawl 2 is bigger and better than ever with all new gameplay campaign characters voiceover modes and more,Missing,3.0,10.0,31.0,80.0,2.0,3.0
27,"[10, 33]",258804,DreamWorks All-Star Kart Racing,"[6, 48, 49, 130, 167, 169]",Twenty of the most iconic DreamWorks Animation characters take the wheel in the fastpaced world of kart racing in DreamWorks AllStar Kart Racing  Shift drift and jump at high speeds across a variety of fantastical tracks inspired by DreamWorks Animations many fanfavorite films Blaze past the competition in fun and hilarious action for players of all ages with solo as well as online and local splitscreen multiplayer modes,Missing,0.0,0.0,0.0,0.0,0.0,0.0
28,"[10, 33]",258256,Wildshade: Unicorn Champions,"[48, 49, 130, 167, 169]",Cross the finishing line riding a unicorn,Missing,,,,,,
