first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1467072000,264434,Lego Star Wars the Force Awakens: Droids character Pack,[9],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1465257600,221533,Final Fantasy XIV: Revenge of the Horde,"[6, 9, 48]",[12],The conference held at Falcons Nest was intended to celebrate the reconciliation between man and dragon But the lingering shade of Nidhogg clad in the flesh of the Azure Dragoon marked the occasion by spilling the blood of his own kinda timely atrocity to remind the children of Ishgard that the conflict was far from over In those twilight hours Nidhogg cried out for vengeance and his brethren raised their voices for the final chorus of the Dragonsong War,Patch 33 brings a myriad of additions and refinements to the realm of Eorzea including new story quests beast tribe quests dungeons recipes and more,Missing,3.72,7.0,0.0,91.0,29.0,25.0
1467244800,146526,Street Fighter V: A Shadow Falls,"[6, 48]",[4],The plot takes place in between the events of the Street Fighter IV series and the Street Fighter III series  Years after he sacrificed himself to stop M Bison Charlie Nash awakens in a tomb and is instructed by a woman called Helen to retrieve an item from his old friend Guile that will help him destroy Bison Meanwhile the Shadaloo organization starts their secret plan called Operation CHAINS by launching seven artificial satellites in orbit known as the Black Moons Rashid infiltrates the Shadaloo main base looking for a friend who was kidnapped by them but is discovered and defeated by FANG who steals a chess piecelike item in his possession and uses it to detonate one of the Black Moons triggering a high altitude electromagnetic pulse that strikes New York City into chaos  After attempting to stop M Bison and his subordinates in New York with no success Guile and ChunLi are attacked by Charlie who attempts to take the pieces that were sent to them and he flees soon after Charlie then reunites with Helen who also convinces Rashid and Juri to form and alliance with them to retrieve the pieces in order to stop Operation CHAINS after revealing that they contain the keys to control the Black Moons and were sent to certain individuals in order to prevent them from being used while Shadaloos objective is to use the Moons to spread fear and despair around the worlds populace which is the source of Bisons Psycho Power and they intend to siphon this energy in order to render him and his forces invincible In possession of the same information Karin Kanzuki summons warriors from around the globe to help gather the pieces before Shadaloo as well All of them answer to Karins call except Ryu who stays behind for a while to train further in order to keep his Satsui no Hadou at bay by Kens suggestion  As the warriors travel the world in search for the pieces they are time and again attacked by Necalli an ancient Aztec fighting god that appears in times of crisis to challenge the strongest living fighters in order to devour their souls as well as by Shadaloos minions and dolls In one of those fights Cammy manages to defeat and capture her sister Decapre but knowing that she was just being brainwashed by Shadaloo she refuses to surrender her to the police and flees with her with Juris help instead Once gathering all remaining pieces and more allies along the way the warriors storm Shadaloos base and successfully manage to deactivate the Black Moons but fail to defeat M Bison and their forces having no option but to retreat However FANG threatens a young girl among the programmers that were kidnapped and forced to create the Black Moons to alter their course to have them fall on Earth instead striking six main cities around the globe in 24 hours in order to cause enough havoc to gather the Psycho Power they need nonetheless,Download the cinematic story DLC A Shadow Falls today for FREE Seven Black Moons are deployed by Shadaloo granting M Bison unimaginable power as the earth falls into darkness Seeing the moons mysteriously appear in the sky Ryu Ken and ChunLi embark on an epic journey around the world to retrieve fragment pieces that are the key to stopping the Black Moons before its too late Along the way they encounter the rest of the World Warriors each of whom have their own agendas and motivations in mind The final battle between good and evil begins now,Missing,nan,nan,nan,nan,nan,nan
1465430400,136650,Project CARS: Perfect Edition,[48],[10],Missing,Project CARS is a racing simulation similar to the Gran Turismo Forza Motorsports and GTR FIA Racing series Different to those titles the game does not offer initial content where the player has to race and earn experience to perform upgrades and additional cars and tracks Instead all of the content is available right away and players can race in any mode class car and on any circuit immediately Similar to games like iRacing and Assetto Corsa it offers very detailed customization where players can finetune almost any aspect of the cars but contrary to those two titles there is not only multiplayer racing but also a full career mode with offline races against AIcontrolled opponents Optionally various assists can be enabled to simplify the gameplay,Missing,nan,nan,nan,nan,nan,nan
1464825600,131981,Ara Fell: Enhanced Edition,"[6, 48, 49, 130]","[12, 31]",Long long ago the elven sorcerers cast a spell to save the floating world of Ara Fell from destruction Instead they doomed it to fall from the sky By chance the fate of the world has been placed in the hands of a young woman Join her as she and her friends endeavor against all odds to save their homeland all while the clock ticks ever nearer the final hour,Ara Fell Enhanced Edition is a 16bit era Japanesestyle RPG by Stegosoft Games The new Enhanced Edition features a slew of upgrades including a revamped battle system new character classes and skills new side quests an overhauled UI upgraded crafting system new enchanting system enhanced aspect ratios new difficulty modes an autosave feature and more,Missing,nan,nan,nan,nan,nan,nan
1466640000,130001,Koezaru ha Akai Hana: Koi ha Tsuki ni Michibikareru,[46],[34],A land where women are scarce due to a fatal disease  Naala a girl who lives in the southern country Ruse lost her only blood relative at a young age when her mother was stolen away by the Northern country Nasula  The one who supported her was her adored older brother and childhood friend Olli who was to be the next king  Several years after that nightmarish night Naala has been adopted by the royal family and had begun passing her days peacefully as Ollis fiancé  However the nightmare returns with an attack by Nasulas army to steal women  The time for a decision approaches  Is being captured a future of subordination or,A port for Vita  A land where women are scarce due to a fatal disease  Naala a girl who lives in the southern country Ruse lost her only blood relative at a young age when her mother was stolen away by the Northern country Nasula  The one who supported her was her adored older brother and childhood friend Olli who was to be the next king  Several years after that nightmarish night Naala has been adopted by the royal family and had begun passing her days peacefully as Ollis fiancé  However the nightmare returns with an attack by Nasulas army to steal women  The time for a decision approaches  Is being captured a future of subordination or,Missing,nan,nan,nan,nan,nan,nan
1465257600,127054,Minecraft: Story Mode - Episode 6: A Portal to Mystery,"[6, 9, 12, 14, 34, 39, 48, 49]",[31],Missing,Minecraft Story Mode is an adventure game set in a Minecraft world It is a fivepart episodic series that will take you to the Nether the Farlands the End and beyond You will drive how the story flows through the decisions you make what you say to people and how you say it and what you choose to do in moments of thrilling action,Missing,1.61,1.62,1.73,67.0,21.0,30.0
1467072000,121023,The Sims 4: Kids Room Stuff,"[6, 14, 48, 49, 167, 169]","[12, 13, 31]",Build kids bedrooms full of style Excite your Sims imagination with colorful new furniture and themed decorations ranging from space robots to fun flower flourishes  Collect and trade monster cards featuring your Sims favorite magical creatures Use cards in the electronic battle station to bring them to life and challenge friends to a monster duel thats sure to excite  With the allnew puppet theater and a bit of imagination Sims can tell whimsical stories to entertain an audience of family and friends  Get trendy playful clothing and hairstyles to showcase their individual style or highlight their obsession with the latest tween heartthrob So dreamy,Spark the imagination of Sims with new items to personalize kids bedrooms in The Sims 4 Kids Room Stuff Collect and trade monster cards then bring them to life in the electronic battle station Put on a puppet show to tell stories and entertain family and friends Show off your kid Sims with new clothing items and hairstyles that express their style,Missing,nan,nan,nan,nan,nan,nan
1467072000,99758,Prison Architect: PlayStation 4 Edition,[48],"[13, 15, 31]",Missing,Your prison your rules,Missing,nan,nan,nan,nan,nan,nan
1467244800,80139,Super Robot Wars OG: The Moon Dwellers,"[9, 48]","[15, 16]",Missing,An Original Generation entry of the Super Robot Taisen series for PlayStation 3 and 4,Missing,0.0,0.0,0.0,75.0,4.0,0.0
