first_release_date,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1682640000,246648,Amaze!,"[48, 130]",Missing,Lets pop  move the ball and paint  youve got to color and paint your way across the AMAZE maze puzzles  Watch out AMAZE gets harder as you play color and paint the maze and fill in puzzles  Painting the maze puzzles sounds easy but you have to be super strategic to color and fill every square,"[9, 15]",Missing,0.71,0.0,0.0,0.0,0.0,2.0
1681948800,246571,Deceive Inc.: Misery Empire,"[6, 167, 169]",Missing,A ghost from Aces past has returned to break hearts and take names in Misery Empire Deceive Incs first seasonal catalog update Featuring tons of gameplay improvements and fixes over 50 exclusive new items to unlock and Red  the devilishly charming new Scoundrel Agent,"[5, 24, 32]",Missing,nan,nan,nan,nan,nan,nan
1681862400,246424,Space Defend,"[48, 167]",Missing,Defend the earth from incoming asteroids Hit asteroids to destroy them Survive the Waves,[31],Missing,nan,nan,nan,nan,nan,nan
1681862400,246407,Teslagrad Remastered,"[6, 48, 49, 130, 167, 169]",The Kingdom of Elektropia is under siege by a tyrant king who rules over its people with an iron fist When a citywide manhunt comes for him a young boy escapes into the Tesla Tower Once home to a sect of technological wizards known as the Teslamancers it is now a forgotten vault of ancient technologies and forgotten history You are on your own with only the tools of the lost Teslamancers and your wits to survive,Return to the indie classic Teslagrad recharged to provide the ultimate electromagnetic experience Escape a tyrant king master the art of Teslamancy and uncover the secrets buried deep within the Tesla Tower in this puzzleplatforming adventure,"[8, 9, 31, 32]",Missing,4.79,5.0,6.35,54.0,7.0,8.0
1682294400,246406,Cult of the Lamb: Relics of the Old Faith,"[6, 14, 48, 49, 130, 167, 169]",Missing,This update adds new relics fleeces attacks followers buildings crusades minibosses encounters quests harder bosses and a photo mode with stickers,"[12, 13, 15, 25, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1681776000,246185,Don't Destroy The Rocket,"[6, 48]",Missing,In this small but nice action game you control a rocket and have to bring it safely to the target Try not to collide with the environment because that is not good for the rocket You have the tools you need to get ahead There is also a hidden collectible in each level Are you curious What are you waiting for Download Dont Destroy The Rocket today and become a rocket master,[8],Missing,nan,nan,nan,nan,nan,nan
1681257600,246125,Ghostwire Tokyo: Spider's Thread,"[6, 167, 169]",Missing,The citys denizens have been replaced by beings from another world  yōkai evil spirits myths and urban legends brought to life But now isnt the time to fear the unknownface it in Ghostwire Tokyo now featuring the allnew Spiders Thread update  The Spiders Thread update available now for all Ghostwire Tokyo players adds a new roguelite mode to the game on top of other additions to the base campaign including new enemies new skills new areas to explore new side missions extended story cinematics Photo Mode enhancements new trophiesachievements and more,[31],Missing,nan,nan,nan,nan,nan,nan
1681344000,245716,Rubberduck Wave Racer,"[48, 49, 130, 167, 169]",Missing,Be a duckling  a squeaky duckling,"[10, 13, 14, 33]",Missing,nan,nan,nan,nan,nan,nan
1681344000,245714,Arcade Archives: Dig Dug II,"[48, 130]",Missing,This marks an exciting comeback,[33],Missing,nan,nan,nan,nan,nan,nan
1681948800,245661,Buccanyar,"[6, 48, 130]",Missing,The game consists of two major parts a nautical mode in which you operate your own ship with AI cats crew and go on adventures fighting other ships and sea monsters and a port mode in which you customize your ship replace crew and cash in resources obtained in battle,"[12, 15]",Missing,nan,nan,nan,nan,nan,nan
