,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
64,"[5, 33]",50747,Mortal Blitz,"[6, 165]",Mortal Blitz applies Gun Shooting games from arcade game centers into VR platform and lets you experience the whole new 1st person VR action shooter experience,Missing,70.0,1.39,1.5,5.0,63.0,4.0,8.0
65,"[5, 32, 33]",30905,Gungungun,"[6, 48, 130, 167]",A frantic and fastpaced 2D arena shooter with an eye for gun details Earn a high score and increase the bounty on your head while fighting on a runaway train crawling with enemies,Missing,70.0,,,,,,
66,"[5, 31, 32]",30535,Hopalong: The Badlands,"[6, 163, 165, 385]",Ride a stick horse and battle comical villains in the westernthemed game Hopalong The Badlands for a VR experience like no other While galloping on your stick steed you will fight the Dynamite Gang and the pigriding Boss Boomity,Missing,70.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"[4, 13, 31, 32]",29662,A Gummy's Life,"[3, 6, 48, 49, 130, 167, 169]",A Gummys Life is a local  online party multiplayer with candycoated physicsbased fights Choose your favorite gummy customize it to your taste and show who rules over the sugar Play with friends family or AIs in multiple manic game modes or battle online  as easy as taking candy from a baby,A Gummys Life is a local  online party multiplayer with candycoated physicsbased fights Choose your favorite gummy customize it to your taste and show who rules over the sugar Play with friends family or AIs in multiple manic game modes or battle online  as easy as taking candy from a baby,70.0,0.0,0.0,0.0,0.0,0.0,0.0
68,"[10, 13, 14, 32, 33]",29593,Snow Moto Racing Freedom,"[6, 48, 130]",Snow Moto Racing Freedom lets you take your rightful place on a highspeed snowmobile on Snocross tracks or through vast beautiful winter landscapes Experience the thrill of racing so close to your opponents that you can feel the spray of the snow and hear the roar of their engines Carve your own chosen path through exotic sceneries while stringing together extreme stunts high up in the air to gain that extra speed boost to fly past your opponents,Missing,70.0,0.0,0.0,7.0,53.0,3.0,1.0
69,"[2, 9, 31, 32]",28312,Agatha Knife,"[3, 6, 14, 48, 49, 130]",Embark on a whimsically twisted adventure with Agatha a child torn between her love for eating meat and her friendships with animals Join her as she discovers religion and creates her own Carnivorism to convince the animals that the sacrifice of their flesh is the secret to their eternal happiness,Missing,70.0,5.22,6.63,6.85,74.0,14.0,30.0
70,"[9, 31, 35]",28310,Queen's Quest 3: The End of Dawn,"[3, 6, 14, 48, 49, 130]",In Queens Quest 3 The End of Dawn you will follow Eliana as she tries to become a true alchemist You will need to help her solve riddles explore kingdoms and much more Follow Eliana on her mission to save her hometown and help her to save the people she loves Tackle the evil forces behind a deadly betrayal and prove yourself to be a true alchemist,Eliana has always been a child of mystery Found on the doorstep of the prestigious Zora Academy of Alchemy she became a very promising young student by the age of 16 In order to complete her training she is being sent on a dangerous mission to retrieve a powerful artifact During this quest she will meet many kinds of danger solve a variety of riddles explore a vast kingdom and relive the tragic history of her childhood Follow Eliana on her mission to save her hometown and help her to save the people she loves Tackle the evil forces behind a deadly betrayal and prove yourself to be a true alchemist in Queens Quest 3 The End of Dawn,70.0,3.12,4.25,4.64,55.0,10.0,33.0
71,"[11, 13, 15, 32]",28264,Valhalla Hills: Definitive Edition,"[48, 49]",Assume the role of Leko youngest son of Odin exiled to Midgard by your father for failing to meet his expectations Far from home you now find yourself with a disgruntled band of outcast Vikings To get back you will have to lead them across the mountains of Valhalla Hills where a portal awaits to take you to your rightful place in the realm of the gods  The Definitive Edition includes two extra DCL and a new map,Missing,70.0,,,,,,
72,"[9, 25, 31, 32, 33]",28015,Kamiko,"[6, 48, 49, 130]",KAMIKO is a game styled around Japanese Shinto beliefs  Fight as priestesses called KAMIKO and battle against demons while solving puzzles to make your way through the stages  Look no further if you are looking for an arcade action game with a twist  Each stage has several Torii gates which are magically sealed Find a way to break all the seals to make your way to the stage boss  Another fun and easy original created by indie games SKIPMORE,The player controls Kamiko a shrine maiden who fights against demons and aims to clear each stage by defeating demons that block her way and unraveling the riddle of the gimmick,69.92308081909388,1.27,2.02,3.17,67.0,158.0,264.0
73,"[5, 7, 32]",18637,Aaero,"[6, 48, 49]",Speed through stunning stylised environments tracing ribbons of light releasing the energy in the music Battle strange enemies and fight epic boss battles all driven by an incredible licensed soundtrack  Independent microstudio Mad Fellows brings you a unique and innovative game featuring music from Noisia Flux Pavilion Katy B The Prototypes Neosignal and many more,Missing,69.81547436504009,1.69,4.14,10.3,69.0,50.0,74.0
74,[7],26232,PaRappa the Rapper Remastered,[48],After 20 years since his debut PaRappa the Rapper returns to PlayStation Relive the original music game and join PaRappa on his quest to win the heart of Sunny Funny and learn from favorite rap masters like Chop Chop Master Onion Instructor Mooselini and Cheap Cheap The Cooking Chicken It is complete with all the music and gameplay that made PaRappa the Rapper an instant classic,Missing,68.01443039035162,,,,,,
75,"[12, 25, 32, 33]",11049,Crawl,"[3, 6, 14, 48, 49, 130]",Crawl is the local multiplayer dungeon crawler where your friends control the monsters Its bullethell beatemup meets oldschool RPG in an arcadey partygame for up to 4 players One player is the hero exploring a randomly generated dungeon full of traps and monsters  all controlled by the other players If you slay the hero you take their place and its your turn to crawl Then its a race to gain enough XP and loot to reach the final battle where its all on one as the other players collectively control the hulking final boss,Missing,67.93865058984652,1.19,3.69,11.45,74.0,54.0,27.0
76,"[8, 31, 32]",10031,Yooka-Laylee,"[3, 6, 14, 41, 48, 49, 130]",Explore huge beautiful worlds meet and beat an unforgettable cast of characters and horde a vaultload of shiny collectibles as buddyduo Yooka the green one and Laylee the wisecracking bat with the big nose embark on an epic adventure to thwart corporate creep Capital B and his devious scheme to absorb all the worlds books and convert them into pure profit,Missing,67.7913514812589,15.38,20.65,24.55,67.0,352.0,573.0
77,"[13, 31, 32]",27717,Late Shift,"[6, 14, 48, 49, 130, 167]",Late Shift is a high stakes FMV crime thriller After being forced into the robbery of a lucrative auction house mathematics student Matt is left proving his innocence in the brutal London heist Your choices will have consequences from the very start right through to the very end One small decision could change the entire outcome in a chooseyourownadventure style gameplay that can lead to one of seven conclusions,Missing,67.18726729678357,1.34,3.04,5.24,66.0,255.0,419.0
78,"[2, 9, 31]",13163,Syberia 3,"[6, 14, 34, 39, 48, 49, 130]",Syberia 3 takes you inside an enchanting mysterious universe full of life for you to explore in 3D Plunged into the heart of a world inhabited by a cast of interesting characters youll discover and experience a fabulous tale as imagined by Benoit Sokal,Missing,64.7862838114203,12.6,15.16,16.14,55.0,83.0,124.0
79,"[2, 31, 32]",30359,Just Ignore Them,"[6, 46, 48, 49, 130]",One night can feel like a lifetime of pain suffering and horror to a childdo you have what it takes to survive the night  Play as an 8 year old child who is tormented by monsters in his house Your choices make his future which lives can be saved or ended,Missing,60.28397892622281,2.52,3.01,3.79,48.0,16.0,33.0
80,"[9, 32, 35]",28113,Use Your Words,"[6, 14, 41, 48, 49, 130]",Grab a few friends and get ready to laugh Use Your Words is the party game for funny people and their unfunny friends  Use Your Words is a game that invites players to respond to a variety of minigames and prompts with the funniest answers they can think of Players play using their phones and tablets as controllers making gameplay seamless and quick to pick up Players who get stumped can use one of the hidden House Answers to lay a trap for their fellow players once its time for everyone to vote for their favorite  Whether youre a total novice or a worldfamous comedian we guarantee hours of nonstop hilarity So grab a few friends and get ready to laugh along with Use Your Words,Missing,60.28150540076879,0.78,0.0,4.0,70.0,3.0,4.0
81,"[9, 13, 31, 32]",20459,Rick and Morty: Virtual Rick-ality,"[161, 163, 165, 385]",Rick and Morty have teleported into your living room for a cuttingedge VR adventure from Adult Swim Games and Owlchemy Labs Job Simulator Play as a Morty clone as you explore Ricks garage the Smith household and alien worlds  Experience life as a clone of Morty and all the trauma that comes with it Step through portals to strange worlds help Rick with his bizarre experiments and use your hands in VR to pick up and play in an interactionfilled 3D Rickality Follow Ricks directions or dont to solve puzzles and complete missions in this fully voice acted adventure,Missing,60.04193753121706,2.06,2.73,6.2,68.0,53.0,78.0
82,"[5, 31, 32, 33]",30735,Feral Fury,"[3, 6, 14, 48, 49, 130]",Fastpaced twin stick shooter roguelite action,Missing,60.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"[12, 15, 25, 31, 32]",28305,Attack Heroes,"[6, 48]",Attack Heroes is a funnyhot blood indie game which requires your abilities to finish all the challenging stagesWe mixed the Japanese Moe style battle scenes and original vocaloid BGMsfor showing the core of acting animes,Missing,60.0,0.0,0.0,20.0,0.0,0.0,1.0
84,"[12, 25, 31]",7818,Skyforge,"[6, 48, 49, 130]",In Skyforge you will walk the path from an immortal warrior to a mighty God gaining followers as you fight to protect your world  Your loyal followers will help you increase your power as you rise to become an Elder God The best of the best will join the Order of Keepers and shape the fate of the world,Missing,59.55458471293873,43.0,108.0,770.0,56.0,12.0,4.0
85,"[5, 25]",11076,Drawn to Death,[48],Drawn To Death is a 3rd person multiplayer only shooterbrawler that takes place entirely inside the pages of a high school kids notebook All of the games levels characters and weapons have spawned from the always creative somewhat twisted imagination of the teenage kid The game is super violent over the top and very fast but its also very deep and tactical,Missing,58.4421437333481,0.0,0.0,0.0,48.0,11.0,0.0
86,"[5, 24]",10964,Sniper: Ghost Warrior 3,"[6, 48, 49]",Go behind enemy lines with the ultimate modern military shooter Play as an American sniper dropped in Georgia near Russian border Choose your own path to accomplish your missions across an unforgiven open world,Missing,56.93487133415115,12.03,20.05,33.09,64.0,80.0,155.0
87,"[5, 32, 33]",23188,Immortal Redneck,"[3, 6, 14, 48, 49, 130]",Lost  Furious  Immortal  When a redneck awakes bandaged in the Ancient Egypt with the only company of his most beloved weapons The bloodbath starts Use a ton of different weapons to kill bizarre enemies from blue dinosaurs to flying skulls and finish off some of the biggest bosses youve ever seen  Unleash the power of the Gods Receive the blessing of Apis Sekhmet and more each one will give you its own weapons and abilities Also you can get new skills in the scrolls that youll find in the dungeons And buy new ones in the skill tree  Each time you play the game will be DIFFERENT Procedural dungeons filled with bad monsters wait for you to enter and discover the secrets of the Ancient Pyramids of Egypt  Blood bullets evil monsters big bosses and a ton of fun Take your gun and let the craziness begin,Missing,54.24678771246705,17.98,20.13,60.88,71.0,39.0,39.0
88,"[7, 12, 13, 31, 34]",76655,Song of Memories,"[6, 48, 130]",Nextgeneration romance adventure game with the theme of Ultimate selection and the story that the song plays In addition to the huge scenario set in the school life voice recording time of the luxury voice acting team is over 40 hours In addition this work contains more than 30 luxurious songs that appearing characters sing coloring a sweet and painful story with a theme of songs,Missing,50.0,8.36,40.74,0.0,30.0,2.0,7.0
89,"[13, 32]",29572,VRobot: VR Giant Robot Destruction Simulator,"[6, 165]",Something went wrong robots and driverless cars flooded the entire planet Humans built a Giant Robot to help them clean and reclaim their cities Operate the Giant Robot Use special tools like Tractor Beam and Tornado Maker Defeat SuperRobot 3000 Let people return to their homes,Missing,50.0,,,,,,
90,"[14, 33]",28943,Premium Pool Arena,"[3, 6, 14, 48, 49, 130]",Premium Pool Arena is a modern arcade style pool game with single player online and local multiplayer modes If you love a relaxed game of 8 ball this is the game for you,Missing,50.0,0.0,0.0,0.0,0.0,0.0,0.0
91,"[5, 8, 12, 25, 31, 32]",28327,One Dog Story,"[3, 6, 14, 48, 49, 130]",One Dog Story is an engaging pixel adventure game with RPG elements gameplay thatll get you hooked for hours and welldeveloped characters You wake up in an underground laboratory free again after a horrific accident Prepare to explore this expansive game world and its many secrets and mysteries,Missing,50.0,6.5,0.0,0.0,0.0,0.0,1.0
92,"[8, 10, 31, 32]",28003,Bloody Trapland 2: Curiosity,"[3, 6, 14, 48, 49]",The adventures of Bloody Trapland is back Bloody Trapland is a fastpaced multiplayer platformer where the levels are filled with dozens of dangerous traps and tricky jumps that stand in your way Play coop with your friends or take on the challenges on your own With support for up to 4 players at once local andor online This is a challenging yet simple game that anyone can enjoy whether youre a casual or a hardcore gamer,Missing,50.0,7.67,0.0,0.0,52.0,5.0,3.0
93,"[4, 32]",27274,"Slice, Dice & Rice","[6, 48, 130]",Slice Dice  Rice is an indie fighting game with no health bars Inspired by Bushido Blade it revolves around the idea of finding an opening in opponents defense and ending the round with a single clean hit,Our goal was to make fighting games accessible to anyone An intuitive set of basic abilities allowed us to remove the need for memorizing inputs and movelists while retaining the complexity Moves can be canceled to feint an attack hits can be parried or dodged and they can clash with one another This creates a mindgame heavy gameplay one that mimics real samurai showdowns,50.0,1.93,0.0,2.42,65.0,6.0,4.0
94,"[4, 33]",19588,De-formers,"[6, 48, 49]",Deformers is a fast and frantic third person smashem arena game where you consume compete and conquer to become the King of the Arena  Prepare for an epic battle Deformers is a physicsbased arena brawler where the goal is to outbattle outeat and outscore your opponent Smash up your friends in splitscreen coop or team up and fight against others online,Missing,40.0,,,,,,
95,"[10, 33]",57887,ATV Renegades,"[48, 49]",Arcade racing across the globe with local splitscreen multiplayer and 24 offroad courses,Missing,30.0,,,,,,
