first_release_date,id,name,platforms,summary,genres,rating
902620800,261014,The King of Fighters '96,[18],A bootleg version of The King of Fighters 96 except it plays more like Street Fighter II,Missing,Missing
904521600,45213,O.D.T.: Escape... ...Or Die Trying,"[4, 6, 7]",Find yourself immersed in an atmosphere of mystery magic and mayhem Fight your way through incredible multileveled 3D worlds while searching for a magical green pearl that will help save millions from decimation With handtohand combat devastating weapon power and some amazing magic spells ODT leads you deep into a mysterious tower full of hideous enemies and hidden dangers  it gets tough but theres no turning back,"[12, 31]",Missing
902448000,3435,64 Trump Collection: Alice no Waku-waku Trump World,[4],A Japanese card game collection using the Alice in Wonderland characters,"[16, 35]",Missing
903657600,1842,Tom Clancy's Rainbow Six,"[4, 6, 7, 14, 23]",A combination of explosive action and reallife strategy  The most revolutionary actionstrategy game of its kind Nothing comes closer to offering an exciting combination of strategy teambuilding realistic threedimensional graphics and truetolife special forces action The ultimate goal is to save yourself and the world from deadly terrorists You must successfully complete 17 unique missions If you die the game isnt over The World is,"[5, 13, 15, 24]",77.71556777925262
