first_release_date,id,name,platforms,genres,summary,storyline,rating
1276732800,269649,Ao-Don DS: Hanabi no Goku & Hanabi no Takumi,[20],Missing,Missing,Missing,Missing
1276732800,269588,Machiteba Tengoku! Makereba Jigoku! Ryoutsuryuu Ikkakusenkin Daisakusen!,[20],Missing,Missing,Missing,Missing
1276128000,269585,Ippan Zaidan Houjin: Nippon Kanji Shuujukudo Kentei Kikou Kounen - Kanjukuken DS,[20],Missing,Missing,Missing,Missing
1275523200,269431,Hisshou Pachinko Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion Tamashii no Kiseki,"[20, 38]",[13],A pachislot game for PSP based on Neon Genesis Evangelion,Missing,Missing
1277337600,252664,Pferdefreunde Puzzle: Echter Puzzlespass für Unterwegs,[20],[9],Solve puzzles of horses in different modes to collect stars and to unlock more images,Missing,Missing
1276128000,252659,Art: Das Kunstmagazin Puzzle: Echter Puzzlespass für Unterwegs,[20],[9],Solve puzzles of art in different modes to collect stars and to unlock more images,Missing,Missing
1277424000,237596,LEGO Harry Potter: Years 1-4,[20],"[9, 31]",LEGO Harry Potter Years 14 will give gamers the chance to experience the magic and adventure of Harry Potter in a uniquely LEGO way Playing as Harry Potter Ron Weasley and Hermione Granger as well as more than 100 other favorite characters gamers will have the opportunity to attend lessons cast spells mix potions fly on broomsticks and complete tasks to earn rewards Throughout the game players will also have the freedom to explore iconic settings from the wizarding world including Hogwarts castle Diagon Alley the Forbidden Forest and the village of Hogsmeade,Missing,Missing
1276387200,210485,Rockman 5 Air Sliding,[18],"[5, 8]",ROM Hack of Rockman 5 Known as Mega Man 5 in the west where Mega Man can slide in the air for added mobility Also features redone stages and reprogrammed assets to fit the new gameplay style,Missing,Missing
1276560000,209111,Mega Bloks: Diego's Build and Rescue,[20],Missing,Missing,Missing,Missing
1277164800,194236,Legend of Kay,[20],"[8, 9, 25, 31]",Legend of Kay sets out to take the player on a journey which combines classic Jump and Run elements with an immersive story driven adventure,For generations the peaceful cats have lived on the mythical island PengLai in the Chinese sea together with many other animals Kay the cat hero of this game is an apprentice in martial arts He was practicing in his masters Dojo when emperor Shun king of the mighty gorillas  attacked his home and dislodged the cat township On a quest to protect his fellows Kay begins an amazing journey which takes him across the vast island of PengLai Gradually he begins to unravel the incredible secret that lies hidden in the volcano fortress of emperor Shun,Missing
1277164800,159310,Transformers: War for Cybertron - Autobots,[20],"[5, 31]",Experience the legendary battle between the Autobots and Decepticons before their exodus to Earth in the untold story of the civil war for their home planet Cybertron Two distinct and intertwined campaigns chronicle the Autobots heroism in the face of total annihilation and the Decepticons unquenchable thirst for power Collect both SKUs to unlock all the Autobot and Decepticon characters Play as your favorite Transformer characters in the war that spawned one of the most brutal conflicts of all time,Missing,Missing
1277337600,124475,LovePlus+,[20],[13],LovePlus is the same as the original LovePlus although with new content including field trips fitness modes sick days Taisen PuzzleDama capsule toys and more,Missing,Missing
1277424000,85301,Music On: Retro Keyboard,[159],Missing,One will be able to perform the soundtrack of the best classic video games how they originally sounded  said Alberto Gonzalez producer at Abylight and responsible for over 40 original video game soundtracks since 1989,Missing,Missing
1275609600,85292,Music On: Electronic Keyboard,[159],Missing,An electronic keyboard to take everywhere with you,Missing,Missing
1277078400,85284,Mega Words,[159],Missing,Its time to put on your thinking cap and see how many of the hundreds of puzzles you can solve in Mega Words,Missing,Missing
1277078400,85242,Legendary Wars: T-Rex Rumble,[159],Missing,In a dark corner of prehistory a tiny tribe of humans fights for the future of mankind Struggling to survive these ancestors of humanity desperately search for food and the means to defend their village The human race teeters on the brink of extinction Only inspired leadership can save them,Missing,Missing
1276819200,85135,Face Pilot: Fly With Your Nintendo DSi Camera!,[159],Missing,Soar through the sky from the comfort of your sofa with the innovative gliding game Face Pilot,Missing,Missing
1277424000,85073,Date or Ditch,[159],[13],Think youre a real Casanova,Missing,Missing
1275609600,85056,Crazy Sudoku,[159],Missing,Crazy Sudoku,Missing,Missing
1276819200,85046,Combat of Giants: Mutant Insects - Revenge,[159],Missing,After you defeated the Mutant King the Mutant Queen created a new land from the core of the Earth where she controls the other giant insects at her will,Missing,Missing
1277683200,84886,Ancient Tribe,[159],Missing,In the ancient world of Savage you play the god of an ancient tribe in this realtime strategy game Expand your village by guiding its inhabitants on the hunting grounds to find food and resources Use them to upgrade your village and increase its population,Missing,Missing
1276041600,84863,Absolute Baseball,[159],Missing,Become the manager of a baseball team and lead it to the championship,Missing,Missing
1277078400,84802,Puffins: Let's Fish!,[159],Missing,Dive into the deep blue sea and fill your belly with delicious fish in Puffins Lets Fish,Missing,Missing
1276819200,84719,Pocket Pack: Strategy Games,[159],Missing,Pocket Pack Strategy Games is a collection of classic strategy games,Missing,Missing
1277424000,84584,24/7 Solitaire,[159],Missing,247 Solitaire features 24 variations of the most wellknown and bestloved singleplayer card game including Klondike Freecell Spider Pyramid Yukon and 7 versions of PegSolitaire Most games have custom gameplay options so you can enjoy the game with your favourite rules Onscreen instructions allow learning of new Solitaire variations,Missing,Missing
1276646400,84502,GO Series: Fishing Resort,[159],Missing,Feel the swing of the fishing rod as you cast the tension in the line as you reel in the fish and its weight as you catch it with the net,Missing,Missing
1275609600,79866,Flips: The Folk of the Faraway Tree,[159],Missing,A ebook part the Flips series,Missing,Missing
1277424000,78758,24/7 Soltaire!,"[37, 159]","[16, 35]",A solitare game availible for the Nintendo DSi,Missing,Missing
1277683200,67080,Maestro! Green Groove,[159],"[7, 8]",Mobile installment of the Maestro games,Missing,Missing
1277164800,66660,Densha de GO! Tokubetsu-hen: Fukkatsu Shouwa no Yamanotesen,[20],[13],Densha de Go Tokubetsuhen Fukkatsu Shouwa no Yamanotesen loosely translated to Go by Train Special Edition Revival Yamanote Line of the Showa Period is an electric train driving simulation game developed by Ongakukan and published by Square Enix for the Nintendo DS in Japan on July 22 2010  A handheld spinoff of the Densha de Go series and the only one not developed by Taito instead developed by the studio behind Train Simulator Tokubetsuhen utilizes the platforms dualscreen display to simulate the driver controls using the touchscreen  Celebrating the 100th anniversary of the electrified Yamanote Line in Tokyo this entry focuses solely on that route with trains both modern E231500 205 and 103 and historical 101 72 31 30 and DeHa 6285 With historical trains the route appears as it was during the 1950s The game also includes a quiz about the Yamanote Line as a minigame,Missing,Missing
1277424000,66519,Hello Flowerz,[159],Missing,With Hello Flowerz you can plant and cherish your favourite flowers every day to make them grow healthy and beautiful,Missing,Missing
1276646400,61342,Everyday Soccer,[159],Missing,Play soccer against teams from all over the world,Missing,Missing
1277078400,54414,Super Swap!,[159],Missing,Cant get enough of swapping puzzle games but want something different,Missing,Missing
1277769600,50712,Thomas & Friends Hero of the Rails,"[5, 20]",[10],Play as your favourite engines including Thomas Percy Spencer Gordon Emily and Hiro all in beautiful 3D  Race engines toot your whistle between stations and complete activities to find the parts that will repair Hiro  Take part in Racing Shunting Repairing Painting  many more activities,Missing,Missing
1276560000,48649,D-Pad Hero 2,[18],[7],Grab your controller and join in on the action in the ultimate rhythm music game for your Nintendo Entertainment System Defeat the headbanging rock masters and reclaim the title of DPad Hero,Missing,Missing
1276992000,47865,Captain Tsubasa: New Kick Off,[20],[14],Captain Tsubasa New Kick Off is a soccer video game celebrating the 30th Anniversary of the Captain Tsubasa series This game covers the manga storyline from high school up to the ending of the Jr Youth tournament,Missing,Missing
1276128000,47713,Treasure Chase,[20],[9],The challenging thinking game goes to the next level Take a trip to exotic places around the world and find extraordinary treasures of human history More than 300 demanding puzzles on 16 different maps await you New gaming pieces such as snakes switches and ice stones make Know How 2 even trickier With a freely rotatable playing area and the option of undoing your moves as often as you want you will always have an overview of the current state of play,Missing,Missing
1277510400,47703,Witch's Wish,[20],[31],Witchs Wish is an adventure game that tells the tale of Vicky a young witch in training Vicky wants more than anything to be a witch but in her town only rich girls can go to witch school Her dream seems hopeless until she meets a mysterious girl who shows her how to unlock her remarkable magical powers Vicky will use her magic to solve puzzles help out her friends and neighbors and uncover the mystery of the dark force which threatens to tear the town apart Will her magic be enough to unite and save her troubled town,Missing,Missing
1277769600,27458,The Last Airbender,[20],[31],Experience brandnew groundbreaking physics only available on the Wii version of the game Journey through 14 levels of dynamic game play and 3 intense boss battles to a climatic ending Playing as Aang players can bend water and use Aangs glider to escape and maneuver Playing as Zuko and the Blue Spirit players use dodge rolls slash attacks and parkour abilities to avoid and stun enemies Players utilize the Nintendo Wii Remote and Nunchuk controller configuration to bend fire and air as they combat battle and maneuver through a mystical game universe Put your powers to the test with a friend in the 2player coop gameplay option,Missing,Missing
1277164800,20412,Dragon Ball: Origins 2,[20],Missing,In Dragon Ball Origins 2 players battle through the Red Ribbon Army saga covering Gokus first encounters with the nefarious Red Ribbon Army up to the resurrection of Upas father a member of the native tribe who serve as the guardians of the mystical Korin Tower The new actionadventure game includes an array of features including the ability to play as different characters along the way and the option to team up with a friend for coop multiplayer challenges,Missing,Missing
1277769600,18308,Vampire Legends: Power of Three,[20],[12],Missing,Missing,Missing
1277424000,5229,TNA Impact!: Cross the Line,"[20, 38]","[4, 14]",TNA iMPACT Cross the Line is the first handheld video game released by the professional wrestling promotion Total Nonstop Action Wrestling TNAThe DS version was built from the ground up and features a much smaller roster but does include new playable characters such as Hulk Hogan Creed Foley and Curry Man It also features a new sort of career mode which includes Bound for Glory and Victory Road as your route to the top of TNA In Bound for Glory run a gauntlet of opponents as your favorite superstar Make friends and enemies on your way to the top in a story unique to each wrestler In Victory Road choose to climb to the top of the heavyweight division create the ultimate tag team or dominate Ultimate X The DS Version game featured new match types such as Six Sides of Steel Cage Match Four Corners MatchFour Way Elimination Match and many more new match types Also included are match type such as Singles Tag Ultimate X and many more fan favorites The DS Version featured new arenas in Orlando Florida Mexico Armory Tokyo Japan London England Freedom Center and Las Vegas Nevada,Missing,Missing
1276905600,1348,Ghost Trick: Phantom Detective,"[6, 20, 39]","[9, 31]",Ghost Trick Phantom Detective is a puzzleadventure game for the Nintendo DS and iOS It was developed mainly by Shu Takumi the man behind the Ace Attorney Series Games story centers on the protagonist Sissel and his ghosts struggle to discover who he was when he was alive and who killed him The player assumes the role of this ghost who has the ability to perform various Ghost Tricks to solve puzzles and navigate the world around him,Missing,89.87603502836451
1275955200,24355,Mega Man Zero Collection,[20],"[5, 8, 31]",The first Mega Man ZERO game was released in 2002 It featured Zero a popular Capcom character that was introduced in the Mega Man X series The Mega Man ZERO series follows Zero through a dark and thrilling 2D actionadventure with highquality visuals and action Users can expect to make use of Zeros trademarks weapons like the Zsabor and Buster Shot There will also be interesting devices like the Chain Rod and Zero Knuckle For the first time the Mega Man ZERO series will be available for Nintendo DS complete with allnew modes,Missing,84.94364327201691
1276819200,15488,Klaus,"[6, 14, 46, 48, 130]","[8, 9, 31, 32, 33]",Klaus follows an office worker who wakes up in a basement with no idea of who or where he is With his only clue being the word Klaus tattooed on his arm hes forced to escape the mechanical and constructivist world in which he finds himself a prisoner,Missing,70.0
1277164800,8979,Puzzle Quest 2,"[3, 6, 12, 20]","[9, 12, 15, 16]",Puzzle Quest 2 is a video game developed by Infinite Interactive for the Nintendo DS Xbox Live Arcade iOS Android Windows Phone 7 and Microsoft Windows It was released on June 22 2010 by D3 Publisher It is the sequel to Puzzle Quest Challenge of the Warlords and like its predecessor it combines roleplaying with strategy and puzzle elements It uses a competitive Bejeweledstyle match three game playfield to simulate combat and other activities common to roleplaying games,Missing,64.18032241396055
1275523200,34052,Clannad Side Stories,"[6, 34, 38, 130]","[31, 34]",A visual sound novel adaption of the Hikari Mimamoru Sakamichi De short stories Delve further into the world of Clannad and experience the stories beyond the original visual novel adventure,Missing,62.90787277968185
1276905600,22959,Art Academy,[20],[13],Art Academy offers simple easy to understand art lessons that you can take at your own pace You even have the ability to fast forward or rewind a step if you would like to view it again Vince is your ingame art tutor and he will guide you through each new lesson gradually introducing new concepts to you Each new lesson builds upon concepts that you learned in previous lessons complete with step by step examples,Missing,60.0
