first_release_date,id,name,platforms,genres,summary,storyline,rating
1565568000,104890,Anodyne 2: Return to Dust,"[3, 6, 14, 48, 49, 130, 167, 169]","[8, 12, 31, 32]",In this sequel to Anodyne traverse a moody 3D world and surreal 2D spaces with PSX and 16bitinfluenced art styles Play as Nova the Nano Cleaner and collect dangerous Nano Dust for the mysterious entity The Center,Missing,68.83037560717548
1567036800,55047,The Dark Pictures Anthology: Man of Medan,"[6, 48, 49, 130, 167, 169]",[31],Enter the world of The Dark Pictures  A series of standalone cinematic horror games Players will be challenged to explore and uncover each story with the knowledge that all their choices have consequences and all playable characters can live any and all can die,Man of Medan is the first game in The Dark Pictures anthology bringing supernatural horror to the South Pacific Five friends set sail on a holiday diving trip with a rumored WWII wreck to find As the day unfolds and a storm rolls in their trip soon changes into something much more sinister Who will live Who will die Its down to you Can you save them all,68.08050960715738
1566172800,103328,Vigor,"[48, 49, 130, 167, 169]","[5, 24]",Vigor is a freetoplay looter shooter in postwar Norway,Norway 1991 Civilization lies in ruin Will you rise from the debris Scandinavia mostly untouched by the fallout of the war remains the last safe zone in a postapocalyptic Europe Norway once a haven has transformed into a cutthroat land of survival where only the ruthless  or cunning  make it out alive,67.66397816578527
1566518400,51528,Telling Lies,"[6, 14, 48, 49, 130]","[2, 13, 32]",Four private lives One big lie Search through secretly recorded video conversations to discover the truth The successor to the acclaimed Her Story,Missing,63.02570546959277
1565568000,92919,Eliza,"[3, 6, 14, 130]","[31, 32, 34]",Eliza is a visual novel about an AI counseling program the people who develop it and the people who use it Follow Evelyn IshinoAubrey as she reconnects with people from her past gets to know the people of Seattle who use Eliza for counseling and decides the course of her future,Missing,62.28265667050248
1566432000,115280,Oninaki,"[6, 48, 130]","[12, 31]",The allnew ActionRPG ONINAKI tells the story of one Watcher on a journey to protect Life after Death,Reincarnation is the foundation of our way of life We celebrate the lives weve been given and offer up prayers for the next  It is grief of death which shackles the living and causes the dead to stray Indeed there is no greater affront to reincarnation  So do we turn our grief to joy as we send off the dead  But the souls of those who held back their tears in life still need salvation in death A duty that falls to the Watchers  Their task is to guide the wandering souls known as the Lost and serve as keepers of the Living World and the Beyond  The Watchers sever the bonds that tie the Lost to this world and send them on to the next They navigate the emotions of the living and the dead They prize life above all else  This is the story of one Watcher,60.03528042808919
1567036800,120089,Kawaii Deathu Desu,"[6, 14, 46, 48, 130]","[4, 25, 32, 33]",In Kawaii Deathu Desu supernatural beings find themselves incarnated as cute japanese idols Pick a supernatural idol and beat the hell out of  no pun intended  as many overzealous fans as you can in this addictive beatem up as you work your way up to claim the throne of the underworld,Missing,60.0
1565222400,119598,"Tactics V: ""Obsidian Brigade""","[3, 6, 14, 48, 49, 130]","[12, 15, 24]",Tactics V Obsidian Brigade is a retrostyle tactical turnbased video game in homage to console tactical RPGs from the 1990s Its set in an inhouse fantasy setting with its own lore and magic It also uses techniques to convert to a 2D isometric look from 3D assets,Missing,60.0
1567036800,109475,Azur Lane: Crosswave,"[6, 48, 130]","[5, 12, 31]",The newcomers have joined the four nations which are the Eagle Union Royal Navy Ironblood and Sakura Empire Each of them is getting along and training every day  In this time the four nations decided to collaborate and support the Joint War Game  Each of the participants will raise their fighting spirits before the grand event in which a few selected members are only chosen to take part  How did the Joint War Games come to be held so quickly Who is pulling the strings behind the scenes  With some mysteries encounters and greatly hidden ambitions a new naval battle never before realized is about to unfold,Missing,60.0
1566518400,89773,Mable and the Wood,"[3, 6, 14, 49, 130]","[8, 31, 32]",Will you banish the darkness from the world or will you become it Mable  The Wood is an adventure platformer about a shapeshifting girl whose power might be destroying the world shes trying to save,Missing,60.0
1565740800,116497,The Great Perhaps,"[3, 6, 14, 48, 49, 130]","[8, 9, 31, 32]",The Great Perhaps is a time travel puzzle game about an astronaut returning to Earth destroyed by natural cataclysms There among the ruins he finds an unusual artifact  an old lantern in the light of which you can see glimpses of another time and travel to the past,Missing,59.70857336178449
1566259200,116414,Rad,"[6, 48, 49, 130]","[12, 25, 31, 32, 33]",Rad is a 3D action roguelike set in a postpostapocalyptic world where humanity has faced armageddon not once but twice,In RAD the fate of the world depends on you your trusty bat and whatever strange new abilities you gain as the world around you ravages your body  twisting and mutating you into something far less than human but far more powerful  Playing as a teenage protagonist it is here where you must venture into the Fallow  an everchanging radioactive wasteland filled with unknown and unspeakable creatures in the hopes you will find the solution to heal the world and transform the cracked barren landscape into a lush source of new life,59.01861657522103
1565222400,121615,PictoQuest: The Cursed Grids,"[6, 34, 48, 49, 130, 169]","[9, 12, 31, 32]",Challenge your deductive skills by helping our two young heroes on their quest to bring the legendary paintings of Pictoria back  Look carefully at the numbers on the edges of the grid to stop the sneaky wizard Moonface   Face plenty of grids and discover some beautifully animated enemies and artefacts   Fight baddies even bosses on the way Be smart or you could be the target of a critical hit   Having some issues with a specific puzzle Head to the shop and spend some gold on powerful magic items   Try to reach the end of the world map one puzzle at a time Youll find villagers giving you special missions too  PictoQuest is an addictive game for everyone come save the realm of Pictoria,Missing,50.0
1565049600,109550,Silver Chains,"[6, 48, 49, 130, 169]","[31, 32]",Silver Chains is a firstperson horror game with a strong emphasis on story and exploration Search for clues within an old abandoned manor to unravel the truth about the terrible events which have happened here  Solve puzzles to find out how you are connected to the mysteries of this place But be careful an evil lurks in the cold dark masonry and it has already started hunting you,After his car hit a tree in a stormy night Peter wakes up in an old abandoned mansion somewhere in England He cant remember why and how he got here but soon he realises that the house is not as abandoned as it seems While trying to find a way out of the house Peter has to uncover the dark secrets of what has happened in this place  As he tries to find his way out Peter discovers hints which indicate that he has already been here before But by the time hes starting to put the pieces of the puzzle together something evil has picked up his trail Solve puzzles to find out how you are connected to the mysteries of this place But be careful Something evil lurks in the cold dark masonry and it has already started hunting you,50.0
1566864000,56510,Decay of Logos,"[6, 48, 49, 130]","[12, 31, 32]",Immerse yourself in the world of Decay Of Logos and unravel its mysteries Explore old dungeons battle unforgiving foes and journey through a vibrant interconnected fantasy realm with your mystical elk companion,A girl on a journey with her companion a mystical Elk It is an immersive actionadventure thirdperson RPG influenced by European folklore and by J R R Tolkiens high fantasy The gameplay focuses heavily on playercentric exploration with minimal handholding challenging combat and resource management  The girl and the Elk fatefully meet after her village is destroyed by one of the Kings sons Battered and oblivious of the culprit behind the attack the girl will not rest until she has her revenge During her quest she will unveil secrets about the King and his sons slowly realizing that all is not what it seems,50.0
1567123200,51535,Re:Legend,"[6, 48, 49, 130]","[12, 13, 31, 32]",ReLegend is a coop simulation RPG game Tame and raise magical being called Magnus and venture into the world of Ethia Farm craft rebuild village and enjoy much more activities alone or with friends,Washed ashore on Vokka Island without memories you must start a new life and find ways to recover your lost memories  In order to do so you must first learn how to survive on the island by cultivating the land befriending villagers expanding the village and raising your very own magical creature known as Magnus Venture around the land of Ethia where vokka island resides to reclaim your memories is no easy task as the world is filled with dangerous Magnus and threatening challenges Will you be able to survive and rebuild your own Legend in your new life Your fate is in your hands  Mythical creatures known as Magnus roams the land of Ethia the world where Vokka island resides Every single Magnus is tamable and they will aid you in many ways such as combat farming fishing travelling and so much more They will also grow differently depending on your care,50.0
1564704000,18113,The Church in the Darkness,"[6, 14, 48, 49, 130]","[15, 31, 32]",From Richard Rouse III and inspired by reallife events The Church in the Darkness is an actioninfiltration game that delves into the radical movements of the 1970s As a former law enforcement officer you have resolved to get into Freedom Town and check on your sisters son But life in Freedom Town may not be what it seems,In the late 1970s the charismatic Isaac and Rebecca Walker lead the Collective Justice Mission Labeled radicals and feeling persecuted by the US government they relocate their followers to the one place they believe they can create a socialist utopia the jungles of South America There they build Freedom Town But relatives left behind in the US become worried what exactly is going on at this compound in the jungle,50.0
