first_release_date,genres,id,name,platforms,storyline,summary,rating
1570147200,"[5, 8]",268422,Mega Man X: Hard Edition,[19],Missing,Missing,Missing
1572220800,"[13, 15, 32]",265912,Five Nights at Freddy's 2,"[34, 39, 48, 49, 130]",Freddy Fazbears Pizzeria is a familyfriendly restaurant themed around lovable animatronics that sing during the day a place of fun and joy for children and parents alike At night however the restaurant takes a dark turn and those same animatronics take to roaming the halls of the pizzeria As the new night shift security guard Jeremy Fitzgerald has to work the night shift from 126 AM for 5 days Jeremys job as the night guard is to watch over the animatronics via cameras around the pizzeria using a flashlight to see inside dark areas  including the shadowed doorless hallway that leads into the office,Welcome back to the new and improved Freddy Fazbears Pizza  In Five Nights at Freddys 2 the old and aging animatronics are joined by a new cast of characters They are kidfriendly updated with the latest in facial recognition technology tied into local criminal databases and promise to put on a safe and entertaining show for kids and grownups alike  What could go wrong  As the new security guard working nights your job is to monitor cameras and make sure nothing goes wrong afterhours The previous guard has complained about the characters trying to get into the office he has since been moved to dayshift So to make your job easier youve been provided with your very own empty Freddy Fazbear head which should fool the animatronic characters into leaving you alone if they should accidentally enter your office  As always Fazbear Entertainment is not responsible for death or dismemberment,Missing
1572048000,"[5, 8]",257624,Super Metroid HOTA,[19],Missing,This hack was created to show off Samuss ability as much as possible Its like glitchtroid and impossible combined,Missing
1570665600,[34],254787,Café Enchanté: Limited Edition,[130],Missing,When Kotone inherits her grandfathers Tokyo café she discovers the shop holds more secrets than anyone could imagine The café is a meeting spot for beings from multiple mystical worlds Youll meet the king of demons a humanoid beast a fallen angel and more And when government agents monitoring nonhuman activities show up at your door your new café is about to become a lot more colorful,Missing
1571961600,[8],250093,Mario Stops Climate Change 64,[4],Missing,A hack made to help with MrBeasts Team Trees event where Mario stops climate change in Bobomb Battlefield,Missing
1571961600,Missing,238240,Into the Dead 2: George A. Romero's Night of the Living Dead,[130],Missing,Missing,Missing
1571961600,Missing,238239,Into the Dead 2 Bundle,[130],Missing,Missing,Missing
1571356800,Missing,237862,A Hat in Time: Deluxe Edition,[130],Missing,Missing,Missing
1571961600,Missing,237848,Into the Dead 2: Ghostbusters,[130],Missing,Join the Ghostbusters in an all new action adventure battling specters spooks and demons to save the city  Strap on your Proton Pack and join Egon Winston Peter and Ray as a new rookie Ghostbuster recruited to investigate a paranormal disturbance Bring Slimer along to add an extra otherworldly boost,Missing
1570492800,Missing,237816,Yooka-Laylee and the Impossible Lair: Trowzer's Top Tonic Pack,[130],Missing,Missing,Missing
1572307200,[12],221777,Atelier Ryza: Ever Darkness & the Secret Hideout - Digital Deluxe Edition,[130],Missing,Missing,Missing
1570838400,[31],215858,Ghostbusters Remastered,[18],Missing,This is a complete modification of the US version of Ghostbusters on the NES  Features  Overhauled graphics 99 original Character sprites and Slimer adapted from The New Ghostbusters 2 on the Famicom  Doubled performance on many sections of the game  Much improved gameplaycontrols everywhere  Heavily rebalanced game design  Countless bugs fixed,Missing
1571529600,"[8, 33]",213038,Super Mario Sunshine Arcade 2,[21],Missing,Super Mario Arcade 2 is a mod for Super Mario Sunshine that contains 96 unique levels that are similar to the secret levels in sunshine 48 of those levels are from the original  Also in each level there is a blue coin as an extra challenge Dont worry about collecting them all since they arent worth anything You can always collect them at the end,Missing
1572480000,"[5, 12, 25]",198498,Warframe: The Old Blood,"[6, 48, 49, 130]",Missing,The introduction of Kuva Liches brings a special new kind of Relic  Requiem Relics There are four Relics in total that contain Requiem Mods the Exilus Weapon Adaptor and more,Missing
1570665600,"[9, 12, 31]",188135,Moon,"[6, 14, 48, 130]",One moonlit night a young boy is sucked into the depths of his television set He falls into a place called Moon World and thus begins a search for love in order to recover the lost moonlight  Here the mighty hero of Moon World murders innocent animals for experience but the boys growth comes from saving the souls of the animals and gathering the love in the world  Yes in this game you level up by loving not fighting  The inhabitants of this world are all unique Observe their daily lives and learn where they hide their secret love  Now please open the door,Have you ever felt it odd that the heroes of RPGs go around opening villagers closets and stealing from them Or that they travel the world indiscriminately killing all monsters they meet This game looks at the RPGs we all know and love from a new perspective An RPG without combat Gather love to level up Characters with their own lives and routines Save the spirits of the murdered monsters soul catch Choose your own music with the Moon Disc system,Missing
1570147200,"[9, 31]",173143,Prepare the First RPG Village: The Adventures of Nyanzou&Kumakichi - Escape Game Series,"[34, 39, 130]",Missing,We find ourselves in some RPG World The Devil suddenly shows up People fall into great misery But thats when one young man makes a stand He comes to be known as the Hero He leaves the First Castle heading for the First Village nearby Leaving that aside for now the First Village is very busy getting ready to welcome the Herosama Looks like Nyanzou and Kumakichi who live in the village are also going to help out with the preparations Its your standard escape game on the easy side and highly recommended for beginners It comes with autosave hints and memo functions,Missing
