first_release_date,id,name,platforms,genres,summary,storyline,rating
1367884800,269532,2in1: Musik fur Kids + Englisch macht Spass,[20],Missing,Missing,Missing,Missing
1369872000,221287,Phoenix Wright: Ace Attorney - Trials and Tribulations,"[6, 34, 37, 39, 48, 49, 130]","[2, 9, 13, 31, 34]",A remaster of the original Phoenix Wright Ace Attorney  Trials and Tribulations released exclusively as part of the Phoenix Wright Ace Attorney Trilogy bundle,Missing,Missing
1369872000,221286,Phoenix Wright: Ace Attorney - Justice For All,"[6, 34, 37, 39, 48, 49, 130]","[2, 9, 13, 31, 34]",A remaster of the original Phoenix Wright Ace Attorney  Justice For All released exclusively as part of the Phoenix Wright Ace Attorney Trilogy bundle,Missing,Missing
1367884800,210506,Mega Man: Indonesian Artifact,[18],[8],After damaging an Indonesian Artifact while visiting Indonesia Dr Wily goes back to his lab and makes something new,Missing,Missing
1368576000,210262,Swords & Soldiers,[37],"[11, 15, 32, 33]",Prepare for an encounter with a freakishly large pepper Swords  Soldiers 3D is coming your way,Missing,Missing
1369267200,158971,Nuigurumi no Cakeya-san: Mahou no Patissiere,[37],[15],Missing,Missing,Missing
1369958400,148455,Final Fantasy VI: Brave New World,[19],"[12, 31]",FF6  Brave New World is a fairly complete overhaul of Final Fantasy VI featuring   Characterbased esper restrictions  new stat boosts that promote greater diversity and allow for customized development  Esper leveling system that disassociates esper bonuses from traditional levels  New and reworked formulas which rescue everything that isnt magic or magic evasion from the dumpstat heap  Rebalanced equipment items spells and skills that aim to remove dead weight and give players more and better choices  A complete overhaul of enemies from their stats to their behavior to better challenge veteran players and newcomers alike  Tons of bugfixes as well as remedies to many of the games more annoying aspects  And much much more,Missing,Missing
1369872000,145391,Suugaku Rikiou: Joukyuu Naka-3-Level,"[37, 46]",Missing,Missing,Missing,Missing
1368662400,111056,Palm Reading Premium,"[3, 6, 14, 34, 39, 48, 130, 167]",[26],Palm Reading Premium is the most luxury and professional palmistry and chirology software out there developed by crazysoft,Missing,Missing
1369872000,85169,Gummy Bears Mini Golf,[37],"[8, 13, 14, 33]",Transport yourself to a wonderful fairy tale land full of color and cheer,Missing,Missing
1368662400,85099,Dress to Play: Magic Bubbles!,[37],"[9, 33]",In Dress To Play Magic Bubbles dress to play and play to dress,Missing,Missing
1368662400,85021,California Super Sports,[159],Missing,California Super Sports is a collection of six unique games that are popular in the US Croquet Dodgeball Lawndarts Rollerblade Shuffleboard Arcade and Target Football,Missing,Missing
1367452800,84978,Armageddon Operation Dragon,[159],Missing,All stars and planets in the cosmos eventually come to an end,Missing,Missing
1367452800,84718,My Riding Stables 3D - Jumping for the Team,[37],Missing,An exciting new 3D horse adventure awaits you,Missing,Missing
1369267200,84496,Groove Heaven,[37],"[7, 9, 15]",Rhymi has to deliver a love letter to a beautiful angel only she is a little demon and the letter is from the Devil lord himself,Missing,Missing
1367452800,63405,BearShark,[37],"[8, 33]",An exclusive endless runner made by the website CollegeHumorcom Run jump and swim for your life as a bear and a shark try to kill you,Missing,Missing
1368662400,59208,Bowling Bonanza 3D,[37],"[13, 14, 33]",A Nintendo 3DS exclusive bowling game,Missing,Missing
