first_release_date,id,name,platforms,summary,genres,storyline,rating
1066953600,3136,FIFA Soccer 2004,"[6, 8, 11, 21]",FIFA Football 2004 also known as FIFA Soccer 2004 in North America is a football video game developed by EA Canada and published by Electronic Arts It was released in October 2003 with the tagline Create Brilliance  FIFA Football 2004 is the eleventh game in the FIFA series and the eighth to be in 3D While not adding much to the engine used in FIFA Football 2003 the biggest new inclusions were secondary divisions which allow the player to take lower ranked teams to promotion attempts Gameplay has a new feature dubbed Off the ball which allows the control of two players at the same time for greater tactical play Another key feature was Football Fusion which allows owners of both FIFA 2004 and Total Club Manager 2004 to play games from the management sim in FIFA The title sequence was filmed in St James Park home of Newcastle United with the opening song being Kings of Leons European hit Red Morning Light  The cover features Alessandro Del Piero of Juventus Thierry Henry of Arsenal and Ronaldinho in a Brazil kit,[14],Missing,72.63772814273187
1067558400,1047,Worms 3D,"[6, 8, 11, 14, 21]",Join the party as worm battles ensue across 3D worlds Worms 3D pits four playerseach with a customizable team of wormsagainst one another in fully deformable landscapes All the bizarre weapons from the Worms seriesincluding Banana Bomb flying Super Sheep Earthquakes Air Strikes and Holy Hand Grenadeappear for your destructive pleasure Wreak havoc in turnbased multiplayer action or unlock landscapes sound sets challenges and secret missions in the immersive singleplayer mode,"[15, 16]",Missing,72.36139407872807
1066953600,3946,The Hobbit,"[6, 8, 11, 21]",Step into the hairy hobbits feet of Bilbo Baggins in Vivendi Universal Games take on Tolkiens prequel to the massive Lord of the Rings trilogy,"[8, 31]",Embarking on the legendary quest armed initially with a stick and sack of stones youll fend off foes in a platformactionstyle adventure which sees Bilbo go from timid Shireling to hobbit hero As in the epic text the tale begins with a group of nine dwarves recruiting the homeloving hobbit as a master thief for their mission to recover stolen ancestral gold from under the fiery snout of Smaug the dragon The group head for the Lonely Mountain stopping along the way to fight it out with a variety of Middleearths lessthanfriendly inhabitants such as giant spiders murderous goblins and bloodthirsty trolls,72.24688839586902
1066089600,4032,NBA Live 2004,"[6, 8, 11, 21]",NBA Live 2004 is the 2004 installment of the NBA Live video games series The cover features Vince Carter as a member of the Toronto Raptors and in Spain copies of NBA Live 2004 it features Raul Lopez The game was developed by EA Sports and released in 2003 The game is similar graphically to NCAA March Madness 2004 and has the same createaplayer models,"[13, 14]",Missing,70.86444717687678
1067299200,3944,Harry Potter: Quidditch World Cup,"[6, 8, 11, 21]",Harry Potter Quidditch World Cup is set in the universe of JK Rowlings Harry Potter and features the fictional sport of Quidditch which is characterized by the use of flying broomsticks,[14],Missing,69.90290213450939
1066348800,3961,Judge Dredd: Dredd Vs. Death,"[6, 8, 11, 21]",Welcome to MegaCity One a city of over 400 million people  every one of them a potential criminal It is the third decade of the 22nd Century unemployment is widespread boredom is universal and only the Judges can prevent total anarchy Empowered to dispense instant justice they are Judge Jury and Executioner all in one The most feared and respected of all the Judges is you Judge Dredd  Patrol the streets and mete out instant justice wherever it is needed The PsiJudges are predicting a terrible plague  is this the sudden outbreak of Vampires on the city and are they the work of the malevolent Dark Judges,[5],Missing,68.03916664004811
1066694400,5849,Grabbed by the Ghoulies,"[11, 21]",Grabbed by the Ghoulies follows a young man named Cooper Chance who sets out to rescue his girlfriend Amber from Ghoulhaven Hall This mansion is full of supernatural creatures and Cooper will receive help along the way from the many hired hands that work there,"[8, 25, 31]",Missing,62.83705867781111
1066694400,19747,Teenage Mutant Ninja Turtles,"[6, 8, 11, 21]",Teenage Mutant Ninja Turtles 2003 is a beat em up game based on the 2003 Teenage Mutant Ninja Turtles television series following the events of a handful of season one episodes  The player can play as either Leonardo Donatello Michelangelo or Raphael Each turtle has his own unique set of levels to complete There is a story mode for one or two players and there is also a versus mode where two players can fight head to head In the versus mode players can fight as all 4 turtles Splinter Casey Jones Hamato Yoshi The Turtlebot Hun Oroku Saki and The Shredder A Challenge mode is unlockable by defeating Oroku Saki with any Turtle in the Story Mode which needs to be complete to unlock Hamato Yoshi and his dojo,[25],The main gameplay loosely adapts the following season one episodes Things Change A Better Mouse Trap Attack of the Mousers Meet Casey Jones Nano Darkness on the Edge of Town The Way of Invisibility Notes From the Underground Parts 13 and Return to New York Parts 13 as well as a level that is not derived from the animated series at all  Shortly after a group of mouser robots destroy the turtles old home they begin to look for a new home Michelangelo eventually gets on Raphaels nerves making Raphael leave to the surface At the surface he is confronted by Purple Dragon thugs Casey Jones and Dragonface Baxter Stockman soon uses invisible foot tech ninjas to capture Raphael and Donatello is forced to rescue him Afterward while Raphael and Michelangelo spar for fun Donatello analyzes a strange crystal he found in their home noting that they look like mutated brain cells Raphael kicks Michelangelo into a wall revealing a large tunnel behind it Donatellos crystal start glowing and the turtles decide to investigate They follow the tunnel and they are confronted by genetically mutated humans After a few scuffles with these mutants the turtles find that these mutants were turned into their current state by past experiments of Shredders scientists The crystals Donatello found are the only thing keeping these mutants alive and cannot leave their underground home as a result They plead the turtles to defeat Shredder so that no more humans will suffer as they have The turtles decide to defeat Shredder once and for all and promise the mutants that they will come back for them if they ever find a way to reverse their condition,60.84281492013205
1067385600,10626,Hot Wheels World Race,"[6, 8, 21]",In Hot Wheels Highway 35 World Race racing is taken to a new level as players are thrust into the unique futuristic Hot Wheels fantasy world where life revolves around the most intense stunt racing ever imagined Players race against the clock on extreme tracks featuring splitmultilevel courses obstacles and speeds unlike anything ever experienced before Players will be able to pulloff wild gravitydefying stunts speed through huge loops drive up walls find hidden shortcuts or simply just race opponents through volcanoes ice mountains and more The game lets players choose from authentic Hot Wheels cars,[10],Missing,59.96245457002974
1066953600,123412,Shikigami no Shiro II,[21],Missing,Missing,Missing,59.0
1066176000,2778,Tak and the Power of Juju,"[8, 21]",An ancient prophecy foretells that the Moon Juju the kind protector of the Pupanunu people would be weakened by the evil Tlaloc an embittered Pupanunu shaman so he could turn the Pupanunu people into sheep as revenge for not being made high shaman in favor of another shaman Jibolba The prophecy also mentions a great and mighty warrior who would restore the Moon Juju defeat Tlaloc and bring peace to the Pupanunu people  Having escaped Tlalocs spell Jibolba believes his apprentice Lok to be the warrior of the prophecy and prepares to send him off however it appears that Lok has been turned into a sheep Jibolba sends his younger apprentice Tak voiced by Jason Marsden to find magical plants and change him back though it turns out not to be Lok Jibolba tells Tak to obtain the Spirit Rattle which allows the wielder to communicate with powerful Juju spirits to assist him while he finds Lok  Tak returns with the Rattle to find that Lok has been trampled to death by a herd of sheep Jibolba has Tak collect 100 magic Yorbels and Loks spirit from the spirit world allowing him to successfully resurrect Lok An unfortunate sideeffect of the resurrection however is a severe case of diarrhea Tak obtains the Moon Stones instead while Lok recovers restoring the Moon Juju to full strength  The Moon Juju reveals that the warrior of the prophecy is not Lok but Tak as he has already fulfilled almost everything the prophecy predicted Using his arsenal of Juju spells Tak defeats Tlaloc and turns him into a sheep finally fulfilling the prophecy,"[8, 31]",Missing,58.46454081458781
1067385600,4094,Rogue Ops,"[8, 11, 21]",In Rogue Ops the player assumes the role of Nikki Connors an exGreen Beret whose husband and child are killed by Omega 19 a brutal terrorist organization She then joins Phoenix an almost as brutal counterterrorism organization to seek revenge,[31],Missing,58.0
1066003200,4089,RoadKill,"[8, 11, 21]",RoadKill is an open world actionadventure video game It has been described as the only missionbased combat driving game set in a postapocalyptic world RoadKill is a vehicular combat game and its gameplay is very similar to Twisted Metal with a missionbased storyline and elements that share similarities to those from the Grand Theft Auto series,"[5, 10]",Missing,57.0
1067299200,47337,NFL Blitz Pro,"[8, 11, 21]",The megapopular arcadestyle Blitz football series returns with NFL Bliz Pro for the PlayStation 2 Xbox and GameCube For the first time in the series longrunning history Blitz will feature a slew of realistic NFL elements mixed with the fastpaced and actioncentered gameplay that fans have come to know and love New 11on11 gameplay takes the action to the prolevel making it possible to include every player team and position An extensive new tenseason Franchise Mode allows gamers to experience player trading and drafting and improved graphics and animations take advantage of motioncapture technology making those bonecrunching hits painfully realistic,[14],Missing,53.0
1066089600,3945,The Haunted Mansion,"[8, 11, 21]",The Haunted Mansion is an actionadventure horror game,[31],Missing,51.0
1066694400,3923,Frogger's Adventures: The Rescue,"[6, 8, 21]",The Rescue is another game in the storied Frogger franchise You play as Frogger who must hopndodge his way through 7 worlds and 25 plus levels All this in search for his girlfriend The gameplay follows in its predecessors footsteps with challenging puzzles and enemies On your quest you will also encounter miniquests and side stories adding to the fun In addition to the story mode is a multiplayer mode for up to 4 players to compete in action,[31],Missing,42.0
1066262400,5739,Batman: Rise of Sin Tzu,"[8, 11, 21]",Batman Rise of Sin Tzu is a 2003 beat em up video game released for the Xbox PlayStation 2 Game Boy Advance and GameCube consoles It was developed and published by Ubisoft in conjunction with Warner Bros Interactive Entertainment and DC Comics It is based on the television series The New Batman Adventures and is a sequel to the game Batman Vengeance,[25],Missing,39.61932610675612
1067299200,3825,BlowOut,"[6, 8, 9, 11, 12, 21]",As Major John Dutch Cane youll lead an elite platoon of mercenary commandos outfitted with the most deadly experimental weaponry into the pit of evil Its your job to rid the world of mutated beasts and alien insects through 10 levels of intense action To ensure your teams success the military has given you access to a variety of weapons including a 20mm pumpaction shotgun eightmeter flamethrower plasma rifle machine gun and an eightinch nailgun Blast through walls ceilings and floors to discover secrets and powerups that enhance your weapons,"[5, 8]",Missing,30.0
