first_release_date,genres,id,name,platforms,summary,storyline,rating
1414022400,"[9, 15]",84901,Secret Journeys: Cities of the World,[37],Explore Venice Mumbai Beijing and Nairobi on a globetrotting seek and find adventure,Missing,Missing
1412812800,"[13, 14]",84839,Riding Star 3D,[37],Become a world champion in the most realistic 3D riding simulation,Missing,Missing
1412208000,[33],84726,99Seconds,"[41, 130]",The saga continues after 99Bullets Now your problem isnt the number of bullets rather the amount of time,Missing,Missing
1414022400,"[13, 15]",84591,Castle Conqueror EX,[37],Commander Are you ready to lead your people against The Empire,Missing,Missing
1414022400,"[5, 33]",75700,Arcade Archives: Exerion,"[48, 130]",Arcade Archives Exerion is a port of the shooting game Exerion Players must grapple with the inertial force of their fighter within a pseudo3D space all while properly using dual and single beam weapons to destroy incoming enemies,Missing,Missing
1414454400,"[9, 15, 32]",62313,Gunhouse,"[3, 6, 14, 34, 39, 46, 48, 74, 130]",Players protect their house by any means necessary as relentless hordes of alien invaders seek to devour the innocent little orphans inside in this take on the tower defense genre,Missing,Missing
1414022400,"[15, 16]",61871,Tales of the World: Reve Unitia,[37],A tactics RPG for the Nintendo 3DS Lloyd from Tales of Symphonia Asbel from Tales of Graces f Meredy from Tales of Eternia Jade from Tales of the Abyss Natalia also from Tales of the Abyss and Yuri from Tales of Vesperia will make appearances in the game,Missing,Missing
1413417600,[8],61159,Winx Club: Saving Alfea,[37],Winx Club Saving Alfea is a DS and 3DS game based on a cartoon,Missing,Missing
1412726400,"[13, 15, 31]",58912,Anime Studio Story,"[6, 34, 39, 48, 130]",Produce your own hit anime starring a character of your making Select a face body and presto Your completed hero can then explode onto the scene of your show wowing watchers to rule the rankings Categories include Dateability Popular with Kids and more As the animaestro only you can bring status to your studio Speaking of your studio equip it with a library motion capture room and even a theater Educate your staff in the anime way to craft a classic that will echo through the generations Ready to hit the drawing board Try searching for Kairosoft to see all of our games,Missing,Missing
1414108800,"[8, 31]",56449,Rayman and Rabbids Family Pack,[37],The Rayman and Rabbids Family Pack is a compilation of games from the Rayman series and Rabbids series The pack includes Rayman Origins Rabbids Rumble and Rabbids 3D It was released exclusively for the Nintendo 3DS on October 2 2014 in Europe only,Missing,Missing
1414454400,"[8, 31, 33]",44025,Big Hero 6: Battle in the Bay,"[20, 37]",Following on the heels of their super hero debut the Big Hero 6 team has targeted a dangerous gangster named Yama and his legion of out of control fighting robots Take control of the stars of the film in this action packed combat platformer Send robots flying across the screen as Hiro with his electromag gauntlets Zoom through levels at top speed as Go  Slice and dice as Wasabi with his plasma blades Smash and burn as Fred in his Kaiju monster super suit,Missing,Missing
1412726400,"[12, 13, 15, 31]",39010,Illusion of L'Phalcia,"[6, 34, 46, 48, 49, 130]",The Sword of Amal  a treasure said to grant any wish The hero of the story is Ryser and he works as a seeker with his partner Cougar to find the Sword of Amal Everyone he meets along the way each have their own thoughts about the Sword,Missing,Missing
1414022400,"[25, 31]",20099,Power Rangers Super Megaforce,[37],Power Rangers Super Megaforce is a 2014 video game based on the twentyfirst season of the popular American incarnation of the tokusatsu series,Missing,Missing
1414454400,"[4, 8, 25, 31]",19092,Teenage Mutant Ninja Turtles: Danger of the Ooze,"[9, 12, 37]",Teenage Mutant Ninja Turtles Danger of the Ooze is a 25D platform video game developed by WayForward Technologies and published by Activision  It is the second video game based on the 2012 Teenage Mutant Ninja Turtles TV series and features elements from the shows second and third seasons It was released as a sequel to the 2013 game Teenage Mutant Ninja Turtles The game also features gameplay elements and homages to the 1989 Teenage Mutant Ninja Turtles NES game,Missing,Missing
1413244800,"[13, 31]",9744,Petz Beach,[37],In Petz Beach players and their Petz can complete quests meet new villagers explore and expand their community Petz Beach is a beautiful ocean vista with white sands towering palm trees and exotic oceanthemed Petz including dolphins polar bears and penguins Along the way youll interact with 28 breeds of dogs 6 breeds of cats and over 200 ingame collectibles,Missing,Missing
1413244800,[13],9743,Petz Countryside,[37],In Ubisofts Petz Beach and Petz Countryside players can care for a variety of dogs and take them on exciting adventure around town in two new exciting locales They can also adopt a cat with a unique personality and watch them interact with their dogs Petz on Nintendo 3DS introduces two vibrant towns where players and their dogs can freely explore complete quests meet new villagers and expand their community    In Petz Countryside players exchange sandy beaches and venture inland for fields of golden wheat and lush acres of green Petz Countryside also has 28 dog breeds six cat breeds more than 200 ingame collectibles and exclusive Petz at home on land such as a lion a tiger and a bear    Players with both games can transfer the unique Petz and items between the different titles Or players can visit a friends village with a wireless connection for the opportunity to buy and collect some of items not found in their version of the game,Missing,Missing
1414454400,"[12, 15, 16, 24]",7996,The Legend of Korra: A New Era Begins,[37],Korra and her friends attempt to stop an ancient evil in this TurnBased Strategy game based on the animated series,Missing,Missing
1412208000,"[5, 8, 12, 25, 31]",221998,Kingdom Hearts II Final Mix,"[6, 9, 48, 49, 130]",An HD remaster of Kingdom Hearts II Final Mix which was originally exclusive to Japan It was released globally for the first time as part of the collection Kingdom Hearts HD 25 ReMIX,Missing,93.09931345006399
1412985600,"[12, 25, 31]",6440,Monster Hunter 4 Ultimate,[37],Monster Hunter 4 Ultimate called Monster Hunter 4G in Japan is the newest installment in the popular Monster Hunter series which has sold more than 28 million units worldwide to date In Monster Hunter 4 Ultimate players will take on the role of a hunter that joins up with a traveling caravan to explore new lands and towns along the way This grand adventure will include hundreds of quests to take on a variety of extraordinary creatures that yield valuable resources used for weapons and equipment Launching on Nintendo 3DS Monster Hunter 4 Ultimate represents the biggest leap forward ever for the series with more new content and exciting features than ever before Also for the first time ever for the Monster Hunter series on a handheld system players will be able to join up with friends over the internet via the Nintendo WiFi Connection as well as the previously available local wireless option,Missing,90.99156541074107
1412553600,[31],4754,Alien: Isolation,"[3, 6, 9, 12, 14, 48, 49, 130]",Alien Isolation is a survival horror game based on the Alien franchise As Amanda Ripley daughter of Ellen Ripley you will navigate through an increasingly volatile world as you find yourself confronted on all sides by a panicked population and an unpredictable Alien You must scavenge resources improvise solutions and use your wits not just to succeed in your mission but to simply stay alive In addition to the main story mode theres Survivor mode in which the player needs to escape from a specially designed map fulfilling secondary objectives along the way while being aggressively hunted by the alien This mode includes online leaderboards,Fifteen years after the events of Alien Ellen Ripleys daughter Amanda enters a desperate battle for survival on a mission to unravel the truth behind her mothers disappearance,85.15595470213466
1413936000,"[8, 12, 31, 32]",8430,Shantae and the Pirate's Curse,"[6, 37, 41, 48, 49, 130, 167, 170]",Embark on a brand new adventure with Shantae the hairwhipping belly dancing genie When she loses her magic Shantae must team up with her nemesis the nefarious pirate Risky Boots in order to save Sequin Land from an evil curse As a pirate Shantae gains new weapons to advance her quest slay monsters battle epic bossesand hopefully get her magic back in the bargain But can she really trust her deadliest enemy  The third Shantae game is the biggest yet Beyond Sequin Land lie cursed islands and labyrinths each hiding a new piece of Pirate Gear  Flintlock Pistol Pirate Hat Scimitar Riskys Boots and even a Cannon Upgrade Shantaes hair and weapons or unlock advanced Fighters Moves Locate maps return lost Heart Squids collect rare loot and laugh out loud at the weird wild and wonderfully humorous cast of characters Incredible stereoscopic visuals unlockable PirateMode multiple endings and an unforgettable soundtrack make this one game you wont want to miss,Missing,81.70038656152728
1414540800,"[31, 33]",52178,"Don't Die, Mr. Robot!","[46, 48, 130]",Mr Robot loves fruit But whenever he tries to eat one it explodes,Missing,81.04113228199199
1413936000,"[4, 5, 12, 15, 31, 32, 33]",33309,Ace of Seafood,"[6, 34, 39, 41, 48, 130]",In the seas of the distant future humans have all but disappeared In your current newly awakened state you are no more than a piece of seafood But you have also been blessed with talent in leading your allies in battle Do whatever it takes to become the Ace of Seafood,Missing,80.0
