first_release_date,genres,id,name,platforms,storyline,summary,rating
1287705600,"[8, 31]",275630,Mario in Japan,[19],Mario and Luigi are bored at home and decide to take a vacation trip to Japan The problem is that Bowser will ruin their vacation or one of them at least,A rom hack with just 1 level made for SMW Centrals Chocolate Level Design 2010 contest,Missing
1288224000,"[13, 15]",275628,Wan Nyan Doubutsu Byouin,[20],Play as a veterinarian,Wan Nyan Doubutsu Byouin is a Simulation game developed and published by Columbia Music Entertainment which was released in Japan in 2010,Missing
1287964800,"[8, 31]",275325,Mario Superstar,[19],Missing,This rom hack only has one level but it features different mechanics that allow Mario to absorb the powers of some enemies in a similar way to Kirby  This rom hack was made to participate in SMW Centrals Chocolate Level Design 2010 contest and came in first place,Missing
1287100800,Missing,272794,Lost Identities,[20],Missing,In this mysterythemed adventure game FBI agents Alice Holloway and Derek Chase are sent undercover to the little town of Hearts Gate Hearts Gate became a model neighborhood but problems began to surface Social workers have seen teen runaways develop a 180degree shift in their personalities after they returned home,Missing
1287014400,Missing,272088,Tokyo Twilight Busters,[20],Missing,Missing,Missing
1288310400,Missing,269744,Diercke: Junior-Quiz Geographie,[20],Missing,Missing,Missing
1288224000,Missing,269617,Tokutenryoku Gakushuu DS: Chuugaku Junbi Tokubetsu-hen Shougakkou 4 Kyouka Youten Matome - Chuugaku eigo Sakidori,[20],Missing,Missing,Missing
1288051200,[13],248566,The Sims 3,[20],Missing,Nintendo DS port of The Sims 3,Missing
1288483200,[8],222842,Hallow Eve,[19],Missing,Hallow Eve is a short Halloweenthemed ROM hack of Super Metroid It is a major game overhaul in oneroom form with heavily modified intro title screen menus maps colors gameplay and sounds,Missing
1286409600,"[12, 31]",222824,Hallow's End,[19],Can you help Sally Clyde and Craig solve the problems in this strange world before school starts in the morning,Hallows End is a Halloweenthemed ROM hack of EarthBound This full length hack contains new areas sprites enemies items and music,Missing
1287446400,Missing,208346,Survivor,[20],Missing,16 adventurous men and women and you With rudimentary equipment and limited resources you must tame the environment find your place in the team and pass the tests that await you Survivor is a challenge an adventure in 3D with challenges inspired by the hit YV show and an island to explore,Missing
1288051200,[7],206953,Rock Band 3,[20],Missing,Rock Band 3 adds 83 new songs to the Rock Band library and for the first time supports a keyboardkeytar peripheral,Missing
1287273600,[34],206023,Tenkaichi: Sengoku Lovers DS,[20],The protagonist is a beautiful princess that has lived her whole life wanting for nothing But one day Oda Nobunagas army attacks her kingdom and it falls into ruin She escapes and starts her life on the run along with her childhood friend and meets many famous figures of the Sengoku Period,A port of Tenkaichi Sengoku Lovers for Nintendo DS,Missing
1287014400,"[25, 31]",188105,Gormiti: The Lords of Nature!,[20],Missing,Missing,Missing
1287964800,[35],186723,Monopoly,[20],Missing,Experience Monopoly one of the worlds favorite family game brands right on your Nintendo DS Up to four players can play this new version of the board game classic together via a wireless Nintendo DS connection New features such as property auctions add new excitement to the classic play From the cheap motels on Baltic Avenue to the luxurious Boardwalk suites there is excitement around every corner,Missing
1287619200,Missing,124062,"Strike Witches 2: Iyasu, Naosu, Puni-Puni suru",[20],Missing,Strike Witches 2 Iyasu Naosu PuniPuni suru was developed by Kadokawa Games for the Nintendo DS The story is based on Strike Witches Season 2,Missing
1287705600,[12],123139,Cosmos Chaos!,[20],Missing,With Cosmos Chaos players are in for an exciting and challenging role playing adventure where theyll need to apply the knowledge and skills they acquire on their travels to conquer a universe of out of this world characters and unbelievable places,Missing
1288483200,[7],122508,Camp Rock: The Final Jam,[20],Missing,Create and play as your very own rocker and join Mitchie Shane and other Camp Rockers back at the music camp Meet some new campers as you explore the camp and help them out as they go against their rival Camp Star Rock out to songs from both Camp Rock films using your stylus to play guitar bass and drums You can even put down some hot dance moves wearing cool outfits for your avatar,Missing
1286236800,Missing,122206,Littlest Pet Shop 3: Biggest Stars - Pink Team,[20],Missing,Get ready to go for the gold Its time to hit the arena for the LITTLEST PET SHOP Biggest Stars competitionand this time your pets are in the spotlight Ten fun and challenging mini games are your pets tickets to the big time Practice makes perfect as you help your pets become the best gymnasts models ice skaters dancers flyers fashion designers and more Then pack up their cute team uniforms and the dozens of superfun accessories youve customized because its time to hit the road The Biggest Stars competition is the event of year when the pettriplet judges look for teams that are a triple threat cute peppy and totally talented Good thing that with your help all your LITTLEST PET SHOP pets Biggest Stars dreams really can come true,Missing
