filename,number of rows
Xbox_games_rating_between_1180670400_1183176000.csv,22
Xbox_games_rating_between_1183262400_1185854400.csv,11
Xbox_games_rating_between_1185940800_1188532800.csv,13
Xbox_games_rating_between_1188619200_1191124800.csv,23
Xbox_games_rating_between_1191211200_1193803200.csv,44
Xbox_games_rating_between_1193889600_1196398800.csv,36
Xbox_games_rating_between_1196485200_1199077200.csv,19
Xbox_games_rating_between_1199163600_1201755600.csv,9
Xbox_games_rating_between_1201842000_1204261200.csv,20
Xbox_games_rating_between_1204347600_1206936000.csv,18
Xbox_games_rating_between_1207022400_1209528000.csv,11
Xbox_games_rating_between_1209614400_1212206400.csv,11
Xbox_games_rating_between_1212292800_1214798400.csv,30
Xbox_games_rating_between_1214884800_1217476800.csv,15
Xbox_games_rating_between_1217563200_1220155200.csv,14
Xbox_games_rating_between_1220241600_1222747200.csv,27
Xbox_games_rating_between_1222833600_1225425600.csv,44
Xbox_games_rating_between_1225512000_1228021200.csv,46
Xbox_games_rating_between_1228107600_1230699600.csv,22
Xbox_games_rating_between_1230786000_1233378000.csv,12
Xbox_games_rating_between_1233464400_1235797200.csv,25
Xbox_games_rating_between_1235883600_1238472000.csv,32
Xbox_games_rating_between_1238558400_1241064000.csv,17
Xbox_games_rating_between_1241150400_1243742400.csv,25
Xbox_games_rating_between_1243828800_1246334400.csv,26
Xbox_games_rating_between_1246420800_1249012800.csv,15
Xbox_games_rating_between_1249099200_1251691200.csv,26
Xbox_games_rating_between_1251777600_1254283200.csv,45
Xbox_games_rating_between_1254369600_1256961600.csv,50
Xbox_games_rating_between_1257048000_1259557200.csv,41
Xbox_games_rating_between_1259643600_1262235600.csv,28
Xbox_games_rating_between_1262322000_1264914000.csv,26
Xbox_games_rating_between_1265000400_1267333200.csv,32
Xbox_games_rating_between_1267419600_1270008000.csv,38
Xbox_games_rating_between_1270094400_1272600000.csv,28
Xbox_games_rating_between_1272686400_1275278400.csv,33
Xbox_games_rating_between_1275364800_1277870400.csv,32
Xbox_games_rating_between_1277956800_1280548800.csv,25
Xbox_games_rating_between_1280635200_1283227200.csv,17
Xbox_games_rating_between_1283313600_1285819200.csv,39
Xbox_games_rating_between_1285905600_1288497600.csv,61
Xbox_games_rating_between_1288584000_1291093200.csv,65
Xbox_games_rating_between_1291179600_1293771600.csv,38
Xbox_games_rating_between_1293858000_1296450000.csv,19
Xbox_games_rating_between_1296536400_1298869200.csv,24
Xbox_games_rating_between_1298955600_1301544000.csv,37
Xbox_games_rating_between_1301630400_1304136000.csv,31
Xbox_games_rating_between_1304222400_1306814400.csv,33
Xbox_games_rating_between_1306900800_1309406400.csv,44
Xbox_games_rating_between_1309492800_1312084800.csv,30
Xbox_games_rating_between_1312171200_1314763200.csv,23
Xbox_games_rating_between_1314849600_1317355200.csv,52
Xbox_games_rating_between_1317441600_1320033600.csv,55
Xbox_games_rating_between_1320120000_1322629200.csv,58
Xbox_games_rating_between_1322715600_1325307600.csv,39
Xbox_games_rating_between_1325394000_1327986000.csv,24
Xbox_games_rating_between_1328072400_1330491600.csv,28
Xbox_games_rating_between_1330578000_1333166400.csv,47
Xbox_games_rating_between_1333252800_1335758400.csv,31
Xbox_games_rating_between_1335844800_1338436800.csv,34
Xbox_games_rating_between_1338523200_1341028800.csv,29
Xbox_games_rating_between_1341115200_1343707200.csv,32
Xbox_games_rating_between_1343793600_1346385600.csv,26
Xbox_games_rating_between_1346472000_1348977600.csv,52
Xbox_games_rating_between_1349064000_1351656000.csv,76
Xbox_games_rating_between_1351742400_1354251600.csv,57
Xbox_games_rating_between_1354338000_1356930000.csv,45
Xbox_games_rating_between_1357016400_1359608400.csv,17
Xbox_games_rating_between_1359694800_1362027600.csv,25
Xbox_games_rating_between_1362114000_1364702400.csv,49
Xbox_games_rating_between_1364788800_1367294400.csv,36
Xbox_games_rating_between_1367380800_1369972800.csv,45
Xbox_games_rating_between_1370059200_1372564800.csv,41
Xbox_games_rating_between_1372651200_1375243200.csv,32
Xbox_games_rating_between_1375329600_1377921600.csv,34
Xbox_games_rating_between_1378008000_1380513600.csv,34
Xbox_games_rating_between_1380600000_1383192000.csv,53
Xbox_games_rating_between_1383278400_1385787600.csv,67
Xbox_games_rating_between_1385874000_1388466000.csv,34
Xbox_games_rating_between_1388552400_1391144400.csv,18
Xbox_games_rating_between_1391230800_1393563600.csv,40
Xbox_games_rating_between_1393650000_1396238400.csv,23
Xbox_games_rating_between_1396324800_1398830400.csv,35
Xbox_games_rating_between_1398916800_1401508800.csv,38
Xbox_games_rating_between_1401595200_1404100800.csv,28
Xbox_games_rating_between_1404187200_1406779200.csv,34
Xbox_games_rating_between_1406865600_1409457600.csv,26
Xbox_games_rating_between_1409544000_1412049600.csv,52
Xbox_games_rating_between_1412136000_1414728000.csv,74
Xbox_games_rating_between_1414814400_1417323600.csv,59
Xbox_games_rating_between_1417410000_1420002000.csv,35
Xbox_games_rating_between_1420088400_1422680400.csv,52
Xbox_games_rating_between_1422766800_1425099600.csv,38
Xbox_games_rating_between_1425186000_1427774400.csv,52
Xbox_games_rating_between_1427860800_1430366400.csv,34
Xbox_games_rating_between_1430452800_1433044800.csv,37
Xbox_games_rating_between_1433131200_1435636800.csv,49
Xbox_games_rating_between_1435723200_1438315200.csv,59
Xbox_games_rating_between_1438401600_1440993600.csv,56
Xbox_games_rating_between_1441080000_1443585600.csv,66
Xbox_games_rating_between_1443672000_1446264000.csv,87
Xbox_games_rating_between_1446350400_1448859600.csv,50
Xbox_games_rating_between_1448946000_1451538000.csv,41
Xbox_games_rating_between_1451624400_1454216400.csv,38
Xbox_games_rating_between_1454302800_1456722000.csv,52
Xbox_games_rating_between_1456808400_1459396800.csv,57
Xbox_games_rating_between_1459483200_1461988800.csv,61
Xbox_games_rating_between_1462075200_1464667200.csv,61
Xbox_games_rating_between_1464753600_1467259200.csv,47
Xbox_games_rating_between_1467345600_1469937600.csv,49
Xbox_games_rating_between_1470024000_1472616000.csv,80
Xbox_games_rating_between_1472702400_1475208000.csv,87
Xbox_games_rating_between_1475294400_1477886400.csv,96
Xbox_games_rating_between_1477972800_1480482000.csv,65
Xbox_games_rating_between_1480568400_1483160400.csv,70
Xbox_games_rating_between_1483246800_1485838800.csv,44
Xbox_games_rating_between_1485925200_1488258000.csv,55
Xbox_games_rating_between_1488344400_1490932800.csv,82
Xbox_games_rating_between_1491019200_1493524800.csv,68
Xbox_games_rating_between_1493611200_1496203200.csv,81
Xbox_games_rating_between_1496289600_1498795200.csv,71
Xbox_games_rating_between_1498881600_1501473600.csv,60
Xbox_games_rating_between_1501560000_1504152000.csv,88
Xbox_games_rating_between_1504238400_1506744000.csv,108
Xbox_games_rating_between_1506830400_1509422400.csv,113
Xbox_games_rating_between_1509508800_1512018000.csv,81
Xbox_games_rating_between_1512104400_1514696400.csv,114
Xbox_games_rating_between_1514782800_1517374800.csv,51
Xbox_games_rating_between_1517461200_1519794000.csv,77
Xbox_games_rating_between_1519880400_1522468800.csv,104
Xbox_games_rating_between_1522555200_1525060800.csv,51
Xbox_games_rating_between_1525147200_1527739200.csv,104
Xbox_games_rating_between_1527825600_1530331200.csv,82
Xbox_games_rating_between_1530417600_1533009600.csv,72
Xbox_games_rating_between_1533096000_1535688000.csv,89
Xbox_games_rating_between_1535774400_1538280000.csv,121
Xbox_games_rating_between_1538366400_1540958400.csv,120
Xbox_games_rating_between_1541044800_1543554000.csv,102
Xbox_games_rating_between_1543640400_1546232400.csv,118
Xbox_games_rating_between_1546318800_1548910800.csv,69
Xbox_games_rating_between_1548997200_1551330000.csv,92
Xbox_games_rating_between_1551416400_1554004800.csv,86
Xbox_games_rating_between_1554091200_1556596800.csv,81
Xbox_games_rating_between_1556683200_1559275200.csv,101
Xbox_games_rating_between_1559361600_1561867200.csv,70
Xbox_games_rating_between_1561953600_1564545600.csv,69
Xbox_games_rating_between_1564632000_1567224000.csv,91
Xbox_games_rating_between_1567310400_1569816000.csv,131
Xbox_games_rating_between_1569902400_1572494400.csv,129
Xbox_games_rating_between_1572580800_1575090000.csv,82
Xbox_games_rating_between_1575176400_1577768400.csv,105
Xbox_games_rating_between_1577854800_1580446800.csv,69
Xbox_games_rating_between_1580533200_1582952400.csv,80
Xbox_games_rating_between_1583038800_1585627200.csv,116
Xbox_games_rating_between_1585713600_1588219200.csv,72
Xbox_games_rating_between_1588305600_1590897600.csv,97
Xbox_games_rating_between_1590984000_1593489600.csv,90
Xbox_games_rating_between_1593576000_1596168000.csv,89
Xbox_games_rating_between_1596254400_1598846400.csv,123
Xbox_games_rating_between_1598932800_1601438400.csv,128
Xbox_games_rating_between_1601524800_1604116800.csv,150
Xbox_games_rating_between_1604203200_1606712400.csv,148
Xbox_games_rating_between_1606798800_1609390800.csv,124
Xbox_games_rating_between_1609477200_1612069200.csv,66
Xbox_games_rating_between_1612155600_1614488400.csv,130
Xbox_games_rating_between_1614574800_1617163200.csv,122
Xbox_games_rating_between_1617249600_1619755200.csv,81
Xbox_games_rating_between_1619841600_1622433600.csv,117
Xbox_games_rating_between_1622520000_1625025600.csv,128
Xbox_games_rating_between_1625112000_1627704000.csv,96
Xbox_games_rating_between_1627790400_1630382400.csv,144
Xbox_games_rating_between_1630468800_1632974400.csv,183
Xbox_games_rating_between_1633060800_1635652800.csv,149
Xbox_games_rating_between_1635739200_1638248400.csv,147
Xbox_games_rating_between_1638334800_1640926800.csv,102
Xbox_games_rating_between_1641013200_1643605200.csv,64
Xbox_games_rating_between_1643691600_1646024400.csv,79
Xbox_games_rating_between_1646110800_1648699200.csv,111
Xbox_games_rating_between_1648785600_1651291200.csv,111
Xbox_games_rating_between_1651377600_1653969600.csv,118
Xbox_games_rating_between_1654056000_1656561600.csv,126
Xbox_games_rating_between_1656648000_1659240000.csv,139
Xbox_games_rating_between_1659326400_1661918400.csv,131
Xbox_games_rating_between_1662004800_1664510400.csv,146
Xbox_games_rating_between_1664596800_1667188800.csv,168
Xbox_games_rating_between_1667275200_1669784400.csv,146
Xbox_games_rating_between_1669870800_1672462800.csv,93
Xbox_games_rating_between_1672549200_1675141200.csv,76
Xbox_games_rating_between_1675227600_1677560400.csv,113
Xbox_games_rating_between_1677646800_1680235200.csv,129
Xbox_games_rating_between_1680321600_1682827200.csv,106
Xbox_games_rating_between_1682913600_1685505600.csv,113
Xbox_games_rating_between_1685592000_1688097600.csv,114
Xbox_games_rating_between_1688184000_1690776000.csv,69
Xbox_games_rating_between_1690862400_1693454400.csv,104
Xbox_games_rating_between_1693540800_1696046400.csv,139
Xbox_games_rating_between_1696132800_1698724800.csv,173
Xbox_games_rating_between_1698811200_1701320400.csv,72
