filename,number of rows
Nintendo_games_rating_between_1633060800_1635652800.csv,253
Nintendo_games_rating_between_1635739200_1638248400.csv,242
Nintendo_games_rating_between_1638334800_1640926800.csv,200
Nintendo_games_rating_between_1641013200_1643605200.csv,163
Nintendo_games_rating_between_1643691600_1646024400.csv,173
Nintendo_games_rating_between_1646110800_1648699200.csv,211
Nintendo_games_rating_between_1648785600_1651291200.csv,217
Nintendo_games_rating_between_1651377600_1653969600.csv,179
Nintendo_games_rating_between_1654056000_1656561600.csv,197
Nintendo_games_rating_between_1656648000_1659240000.csv,217
Nintendo_games_rating_between_1659326400_1661918400.csv,202
Nintendo_games_rating_between_1662004800_1664510400.csv,209
Nintendo_games_rating_between_1664596800_1667188800.csv,269
Nintendo_games_rating_between_1667275200_1669784400.csv,281
Nintendo_games_rating_between_1669870800_1672462800.csv,204
Nintendo_games_rating_between_1672549200_1675141200.csv,178
Nintendo_games_rating_between_1675227600_1677560400.csv,196
Nintendo_games_rating_between_1677646800_1680235200.csv,257
Nintendo_games_rating_between_1680321600_1682827200.csv,235
Nintendo_games_rating_between_1682913600_1685505600.csv,230
Nintendo_games_rating_between_1685592000_1688097600.csv,226
Nintendo_games_rating_between_1688184000_1690776000.csv,216
Nintendo_games_rating_between_1690862400_1693454400.csv,223
Nintendo_games_rating_between_1693540800_1696046400.csv,256
Nintendo_games_rating_between_1696132800_1698724800.csv,302
Nintendo_games_rating_between_1698811200_1701320400.csv,150
