first_release_date,genres,id,name,platforms,storyline,summary,rating
1572220800,"[13, 15, 32]",265912,Five Nights at Freddy's 2,"[34, 39, 48, 49, 130]",Freddy Fazbears Pizzeria is a familyfriendly restaurant themed around lovable animatronics that sing during the day a place of fun and joy for children and parents alike At night however the restaurant takes a dark turn and those same animatronics take to roaming the halls of the pizzeria As the new night shift security guard Jeremy Fitzgerald has to work the night shift from 126 AM for 5 days Jeremys job as the night guard is to watch over the animatronics via cameras around the pizzeria using a flashlight to see inside dark areas  including the shadowed doorless hallway that leads into the office,Welcome back to the new and improved Freddy Fazbears Pizza  In Five Nights at Freddys 2 the old and aging animatronics are joined by a new cast of characters They are kidfriendly updated with the latest in facial recognition technology tied into local criminal databases and promise to put on a safe and entertaining show for kids and grownups alike  What could go wrong  As the new security guard working nights your job is to monitor cameras and make sure nothing goes wrong afterhours The previous guard has complained about the characters trying to get into the office he has since been moved to dayshift So to make your job easier youve been provided with your very own empty Freddy Fazbear head which should fool the animatronic characters into leaving you alone if they should accidentally enter your office  As always Fazbear Entertainment is not responsible for death or dismemberment,Missing
1571443200,Missing,227093,Surviving Franchise Bundle,[49],Missing,From the cold regolith of Mars to the remains of a ruined Earth these two survival colony builder hits from Paradox Interactive will test your mettle Are you ready Your colony awaits your command,Missing
1572480000,"[5, 12, 25]",198498,Warframe: The Old Blood,"[6, 48, 49, 130]",Missing,The introduction of Kuva Liches brings a special new kind of Relic  Requiem Relics There are four Relics in total that contain Requiem Mods the Exilus Weapon Adaptor and more,Missing
1572307200,"[10, 13]",187548,Police Chase,"[48, 49]",Missing,In Police Chase thrilling missions powerful cars and fighting crime will be your routine Meet with informers shadow suspects chase perps and handle timecritical missions,Missing
1571875200,[31],168484,Just Cause 4: Brawler Mech,"[6, 48, 49]",Missing,The Brawler Mech is built for delivering swift destruction Smash your way through Black Hand strongholds with the Brawler Mechs powerful punch,Missing
1571788800,Missing,165836,Caretaker Game,[49],Missing,Caretaker is a immersive firstperson horror experience You are hungry for truth and perhaps this caretaker is hungry for something else,Missing
1570492800,[12],164823,Conan Exiles: Debaucheries of Derketo Pack,[49],Missing,Surrender to your baser desires of lust and excess through the Debaucheries of Derketo Pack,Missing
1571788800,[13],164586,Ace Combat 7: Skies Unknown - Anchorhead Raid,"[6, 48, 49]",Missing,The 5th addon included in the season pass for ACE COMBAT 7 SKIES UNKNOWN This addon allows you to play the new mission Anchorhead Raid,Missing
1572307200,[13],164017,Pinball FX3: Williams Pinball - Universal Monsters Pack,"[49, 130]",Missing,Two scarily authentic tables based on the Universal MonstersMONSTER BASH and CREATURE FROM THE BLACK LAGOON Play in their perfectly simulated original form or as remastered tables with updated graphics animated toys and a host of new features,Missing
1570752000,"[8, 31]",154556,Yooka-Laylee: Buddy Duo Pack,[49],Missing,YookaLaylee is an openworld platform adventure from genre veterans Embark on an epic adventure to thwart corporate creep Capital B  YookaLaylee and the Impossible Lair is a new 2D platform adventure from some of the key creative talent behind Donkey Kong Country,Missing
