first_release_date,id,name,platforms,summary,genres,storyline,rating
1456185600,227091,The Escapists DLC Bundle,[49],For a great value price The Escapists DLC Bundle contains the 4 DLC packs for the hit title The Escapists Note you will need to own the base game The Escapists sold separately in order to play the 4 DLC packs in this bundle,Missing,Missing,Missing
1455580800,166990,Lords of the Fallen: Complete Edition,[49],In the Time of the Ancients the Worldly Realm was ruled by a God of pure evil who enslaved all humankind under his Dominion But fear turned to anger as rebellion grew in the hearts of men  until the dawn of the Great Rising when the fight for freedom began After a glorious victory that cast aside the Fallen God humans dictated a new order a world where no sin can ever be forgiven and redemption was not an option,[31],Missing,Missing
1456185600,164669,The Escapists & The Escapists: The Walking Dead,[49],This amazing value pack contains the award winning The Escapists as well as The Escapists The Walking Dead our homage to the world wide phenomenon The Walking Dead,Missing,Missing,Missing
1454457600,150307,Splash Cars,"[6, 34, 39, 48, 49, 130, 167, 169]",Paint the world a better place one neighborhood at a time,"[10, 32]",Start each race in a drab isometric neighborhood rev your engines and get rolling Paint oozes from your vehicle restoring color to the streets grass trees surrounding buildings and more as you speed around the map Team up for cooperative multiplayer fun or progress solo Choose your style from a range of original cars and use custom paint jobs to stand out from the pack Use powerups to sabotage your pursuers or supersize your car Splash Cars is casual freestyle fun for players of all ages,Missing
1455580800,128866,Street Fighter V: Collector's Edition,"[48, 49]",This special collectors edition comes fully loaded with digital comics a hard bound art book and an over 9 tall Ryu statue sporting his iconic Street Fighter V pose  Includes  Street Fighter 5 game disc  10 inch fully painted Ryu  48page hardcover art book  SFV soundtrack sampler  Digital street fighter comics from UDON  DLC cards for extra goodies Twitch onemonth Subscription to Capcom Fighters channel,[4],Experience the intensity of headtohead battle with Street Fighter V Choose from 16 iconic characters each with their own personal story and unique training challenges then battle against friends online or offline with a robust variety of match options  Earn Fight Money in Ranked Matches play for fun in Casual Matches or invite friends into a Battle Lounge and see who comes out on top PlayStation 4 and PC players can also play against each other thanks to crossplay compatibility,Missing
1454976000,121022,The Sims 4: Romantic Garden Stuff,"[6, 14, 48, 49, 167, 169]",Build a lush Victorian garden for your Sims and get ready for romance with The Sims 4 Romantic Garden Stuff a stuff pack for The Sims 4 Set the mood with romantic floral fashions for your Sims and share a playful moment by the magnificent water fountain Then head over to the Wishing Well toss in a coin and see if your Sims deepest desires come true,"[12, 13, 31]",Use a variety of stunning flowers moss covered statues and ivywrapped arches to create a romantic garden space for your Sims  Toss in a coin and make a wish With a bit of luck Sims could be granted eternal youth extravagant riches or even the love of their life But be careful Sims may not always get what they wish for  This magnificent garden centerpiece is also a great spot for your Sims to enjoy each others company Feeling playful Jump in and splash around or add soap for a bubbling good time  Add a touch of floral fun to your Sims wardrobe with romantic modern fashions and hairstyles,Missing
1456185600,95005,The Walking Dead: Michonne - Episode 1: In Too Deep,"[6, 9, 12, 14, 34, 39, 48, 49]",The Walking Dead Michonne stars the iconic bladewielding character made famous by Robert Kirkmans bestselling comic books The story explores the period in the comic book timeline where Michonne leaves Rick their group and her katana behind in order to deal with emotional demons from her past Players will discover what took Michonne away from her trusted allies and what brought her back to them,"[2, 31]",The premiere episode In Too Deep finds Michonne aboard The Companion a sailing ship captained by Pete and his crew as they look for survivors and supplies along the coast of the Chesapeake Bay When a desperate radio signal calling for help draws them to the scene of a horrific massacre Michonne and the crew of the Companion are led to the floating survivors colony of Monroe which just may be harboring those responsible for the carnage,Missing
1456185600,89843,Mega Man Legacy Collection: Special Edition,"[48, 49]",An Amazon exclusive limited Edition for PS4 and Xbox One that includes a 9 Mega Man Statue and a 4 ETank powered by a USB cord and AC adapter illuminating Mega Mans helmet and Buster weapon when poweredup,[8],Missing,Missing
1456185600,81997,Plants vs. Zombies: Garden Warfare 2 - Deluxe Edition,"[6, 49]",The battle for Suburbia grows to crazy new heights in Plants vs Zombies Garden Warfare 2 Deluxe Edition includes   Plant class custom accessories pack  Zombie class custom accessories pack  Mystery character variant pack  PvZ Coins starter pack,"[5, 15]",Missing,Missing
1455580800,58355,Elite: Dangerous - Arena,"[6, 49]",A spin off of Elite Dangerous by Frontier Developments this is the Close Quarters Combat CQC arenabased PvP mode from the main game but as an independent downloadable title,[13],Missing,Missing
1454544000,52119,XCOM 2: Digital Deluxe Edition,"[6, 48, 49]",The XCOM 2 Digital Deluxe Edition includes the full base game XCOM 2 Reinforcement Pack and the digital soundtrack,"[14, 15, 16, 24]",Earth has changed Twenty years have passed since world leaders offered an unconditional surrender to alien forces and XCOM the planets last line of defense was left decimated and scattered Now the aliens rule Earth building shining cities that promise a brilliant future for humanity on the surface while concealing a sinister agenda below and eliminating all who dissent from their new order  Only those who live at the edges of the world have a margin of freedom Here a force gathers once again to stand up for humanity Always on the run the remnant XCOM forces must find a way to rise from the ashes expose the insidious truth behind the occupation and eliminate the alien threat once and for all,Missing
1456272000,52083,Spiral Splatter,"[3, 6, 14, 34, 39, 46, 48, 49, 130]",Spiral Splatter is a brainbending arcade puzzle game that will push your handeye coordination to the limit with nonstop mindboggling puzzles  Put your problemsolving skills to the test as you navigate over 100 levels and 11 different stages full of perplexing puzzles Watch out for moving obstacles as you maneuver through each level Think fast if youre too slow the ghost may catch up to you Hustle to reach the finish before your time is up  Each stage of gameplay adds a new challenge with an everincreasing difficulty Dont be fooled by appearances Spiral Splatter will stump even the most adept puzzle game aficionado  Stay calm relax and see if you can take on Spiral Splatter,"[9, 32, 33]",Missing,Missing
1454976000,24499,Tom Clancy's Rainbow Six Siege: Operation Black Ice,"[6, 48, 49]",Operation Black Ice is the first expansion released for Tom Clancys Rainbow Six Siege All content released is for free to players It adds two new Operators from the Joint Task Force 2 CTU featuring new weapons abilities and gameplay upgrades,"[5, 24]",Missing,Missing
1454889600,21321,Blast 'Em Bunnies,"[37, 46, 48, 49]",Defend your burrow from a horde of evil bunnies,"[5, 31, 33]",Missing,Missing
