first_release_date,id,name,platforms,summary,genres,storyline,rating
1518134400,53438,Overdriven Reloaded: Special Edition,"[49, 130]",Overdriven Reloaded Special Edition  The HD shoot em up vertical fast  fun  Relive the pleasures of arcade shootem ups in plenty of GameModes from 1 to 4 Players in Local Coop Destroy Huge Bosses and dodge thousand of bullets  Its time to save the universe one more time   7 Modes   Story with 4 Difficulties EASY  NORMAL  HARD NIGHTMARE  Arcade  Manic no healthbar for player  The Line  7 Challenges  56 PuzzleMaps  ColorReflex Mode  A Match 3 with bullets  and a BossRush   2 spaceships   1 unlockable  50 alien artifacts to collect  10 space cows to find  70 Xbox Live achievements  Dedicated Leaderboards for all modes and difficulties  A great original instrumental rock soundtrack ,"[5, 33]",Missing,90.0
1519171200,19150,Vagante,"[3, 6, 14, 48, 49, 130]",Vagante is an actionpacked platformer that features permanent death and procedurally generated levels Play cooperatively with friends or adventure solo in this challenging roguelikeinspired game,"[8, 12, 31, 32]",A recent rumor has it that a certain cave at the edge of the woods guards an unfathomable treasure While a handful of intrepid adventurers have ventured into the cave already none have returned Undeterred by the potential danger you set out by caravan to investigate,83.65766123503712
1519257600,90095,Stellaris: Apocalypse,"[3, 6, 14, 48, 49]",Stellaris Apocalypse redefines stellar warfare for all players with a host of new offensive and defensive options Destroy entire worlds with terrifying new planetkiller weapons fight against or alongside ruthless space pirates and maybe discover a few nonviolent game features as well,"[11, 13, 15]",Missing,83.23069381326262
1519776000,27134,Deep Rock Galactic,"[6, 48, 49, 167, 169]",Deep Rock Galactic is a firstperson cooperative scifi shooter for up to 4 players featuring fully procedural and destructible environments to explore mine and explode your way through to reach your objectives As a team of veteran dwarven space miners you must take on perilous missions for the interplanetary mining corporation Deep Rock Galactic and go where noone else dares into the deepest most dangerous cave systems of the most hostile planet ever discovered,"[5, 31, 32]",Missing,81.73671190130185
1518480000,91311,Tom Clancy's Rainbow Six Siege: Advanced Edition,"[48, 49]",om Clancys Rainbow Six Siege is the latest installment of the acclaimed firstperson shooter franchise developed by the renowned Ubisoft Montreal studio for the next generation of consoles and PC  Inspired by the reality of counterterrorist operatives across the world Rainbow Six Siege invites players to master the art of destruction Intense closequarters confrontations high lethality tactics team play and explosive action are at the centre of the experience  The multiplayer gameplay of Rainbow Six Siege sets a new bar for intense firefights and expert strategy in the rich legacy of past Rainbow Six games  Tom Clancys Rainbow Six Siege Advanced Edition Includes   Rainbow Six Siege  10 x Outbreak Collection Packs  600 x Rainbow Six Credits,"[5, 24]",Missing,80.0
1519430400,88000,Demon Hunter 4: Riddles of Light,"[6, 48, 49, 130, 167, 169]",Dawn Ashmoore is about to uncover the dark mysteries of ancient Egypt The old gods step into our world,"[9, 31]",Missing,80.0
1517875200,84923,Mercenary Kings: Reloaded Edition,"[3, 6, 14, 46, 48, 49, 130]",In this frantic 2D action game you are part of the Mercenary Kings the most skilled team of warriorsforhire on Earth but when your comrades have fallen and the fearsome forces of CLAW have seized an islandwide top secret Laboratory Base you must do what it takes to stop them,"[5, 8, 33]",Missing,80.0
1518048000,55035,Final Fantasy XV: Pocket Edition,"[6, 34, 39, 48, 49, 130]",FINAL FANTASY XV in your pocket  With a cute art style that will appeal to mobile and existing players alike and casual touch control optimized for mobile devices allowing anyone to play with ease The main story is told across ten thrilling episodes,"[4, 12, 25, 31]",The story of Final Fantasy XV follows Prince Noctis and his friends as he embarks on a journey to reclaim his kingdom that has been invaded by the empire of Niflheim He discovers he is on a quest to combat the powers of darkness with the powers of light only the Lucian lineage of kings can wield,80.0
1517529600,53419,Nightmares from the Deep Collection,"[6, 11, 49]",Delve into the extraordinary pirate trilogy Step into the shoes of fearless Caribbean museum custodian Sarah Black and begin a series of the biggest adventures of your life Save your daughter from the clutches of the undead Captain Remington rescue the inhabitants of Kingsmouth from a terrible fishy curse and find a way to break a dark pact beating the Sea Devil himself at his own game,"[9, 31]",Missing,80.0
1519776000,27103,RiftStar Raiders,"[6, 48, 49]",A cooperative space shoot em up from Climax Studios,"[5, 32]",Missing,80.0
1519257600,18280,Them's Fightin' Herds,"[3, 6, 14, 48, 49, 130, 167, 169]",Thems Fightin Herds is an indie fighting game featuring a cast of adorable animals designed by acclaimed cartoon producer Lauren Faust Beneath the cute and cuddly surface a mechanicallydeep GGPOpowered fighter awaits,"[4, 32, 33]",Missing,80.0
1518480000,4843,Kingdom Come: Deliverance,"[6, 48, 49, 130]",Storydriven openworld RPG that immerses you in an epic adventure in the Holy Roman Empire Avenge your parents death as you battle invading forces go on gamechanging quests and make influential choices Explore castles forests villages and other realistic settings in medieval Bohemia,"[12, 31]",The years is 1403 the region Bohemia located in the heart of Europe rich in culture silver and sprawling castles The game is based on a true story  a story of kings heirs a kingdom castle sieges and bloody battles  The King is dead and his eldest son Wenceslas IV becomes the new King of Bohemia  Wenceslass enraged halfbrother Sigismund imprisons Wenceslas and invades the country with his mighty army Unfortunately in the midst of this chaos your character Henry suffers The mercenary army destroys your home and kills your family you are the sole survivor of the bloodbath and it is here that your road to redemption starts Enjoy the detailed reconstruction of the 15th century landscape Use weapons that were used by knights Take part in epic historical battles that happened in Middle Europe and in castle sieges,79.24310833744133
