first_release_date,id,name,platforms,genres,summary,storyline,rating
1445299200,9179,Sword Coast Legends,"[3, 6, 48, 49]","[12, 31]",Set in the lush and vibrant world of the Forgotten Realms Sword Coast Legends offers an allnew way to enjoy the timetested magic of playing Dungeons  Dragons as a shared storytelling experience With a deep narrative developed by a team of longtime industry veterans and a partnership with Wizards of the Coast the single player campaign of Sword Coast Legends brings the world of Faerûn home like never before    Sword Coast Legends also brings the roleplaying dynamic between players and Dungeon Masters to life with DM Mode a firstofitskind realtime experience in which Dungeon Masters guide players through unique customizable adventures In DM Mode the Dungeon Master engages players and empowers them to have fun in a way that suits the party best while creating a tailored nonadversarial 4 with 1 experience that any RPG or penandpaper fan will enjoy    As of 25 July 2018 multiplayer servers for the game were taken offline and all stored player data deleted Players owning the game on Steam will still have access to any offline content including the single player campaign,Missing,69.45320067179904
1444694400,13192,Paint the Town Red,"[3, 6, 14, 48, 49, 130, 167, 169]","[5, 12, 31, 32, 33]",Paint the Town Red is a chaotic first person melee combat game set in different locations and time periods The voxelbased enemies can be punched bashed kicked stabbed and sliced completely dynamically using almost anything that isnt nailed down,Missing,67.86823421862715
1444262400,22092,WRC 5 FIA World Rally Championship,"[6, 9, 12, 46, 48, 49]","[10, 13, 14]",Find all the cars all the drivers and all the official rallies of the 2015 FIA World Rally Championship in THE racing simulation standard Realistic driving on different road surfaces dynamic damage daynight system weather Experience all the sensations of rally racing in WRC 5,Missing,65.9943117852699
1445904000,11649,The Park,"[6, 48, 49, 130]",[31],The Park is a psychological horror experience and Funcoms first singleplayer game since its awardwinning adventure Dreamfall The Longest Journey Releasing on the PC in October this year The Park puts you in the shoes of a mother whose son goes missing When night falls and the lights go out what follows is an intense story set against the backdrop of an amusement park where a dark and sinister secret is just waiting to be uncovered,Amusement parks are happy places filled with the innocent joys of childhood and the exhilarating rush of hairraising but safe adventure Balloons cotton candy and fantastic rides to be dared Perhaps that is how Lorraine pictured it too when she brought her son Callum to one just before it descended into the most terrifying nightmare of her life,65.29975436835932
1445299200,19340,Just Dance: Disney Party 2,"[5, 12, 41, 49]","[7, 14]",Just Dance and Disney are back together bringing the greatest dance game for the whole family with music from the hottest Disney Channel shows and movies in Just Dance Disney Party 2 Dance like the stars from the most popular Disney Channel shows and movies With a great selection of family favorite songs fun dances and kidfriendly gameplay children of all ages can dance along with family friends,Missing,65.0
1444089600,11562,Skyhill,"[3, 6, 14, 34, 39, 48, 49, 130]","[12, 13, 15, 31, 32]",Skyhill is a roguelike story about staying alive when there is no reason to You are a resident of Skyhill hotelwho survived biological catastrophe Goal  is to get out of your penthouse in search of other people and salvation But all elevators in the building are off and floors are flooded with hazards You are not sure is there any other survivors as far as you know everyone in the building died or changed beyond recognition Those who provided room service and pushed buttons in elevators for you not so long ago well now all they want is to rip off your flesh to get to your tasty insides So much for customer service You face the dilemma on the one hand you have to get out from the damn building on the other hand your hotel suite is your only Fort that protects from the horrors of postapocalyptic reality,Missing,64.06670820131167
1444262400,15853,Armored Warfare,"[6, 48, 49]","[5, 10, 13, 15, 24, 31]",Armored Warfare is a freetoplay massively multiplayer online tactical military video game that puts you in control of some of the most incredible modern destructive machines to grace a battlefield Drive modern tanks armored vehicles and more  MODERN MILITARY HARDWARE Use steel giants to wipe the enemy from the face of the earth Operate the most powerful tools of destruction invented by mankind heavily armed tanks and artilleryIn Armored Warfare you will be able to drive and do battle in the mightiest armored vehicles from dozens of countries around the world  JOIN COOP MISSIONS Team up with friends to carry out the most difficult missions sent down to you by command These missions will differ depending on the vehicle selected Only well coordinated squads will be able to outwit the enemy The enemys superior forces controlled by artificial intelligence will present a serious obstacle to victory  MODERN GRAPHICS Armored Warfare uses CryENGINE 3 technology which ensures the feeling of complete immersion in the game See the glare in the crosshairs the spray from water hazards drops of rain shrouding the enemy smoking ruins and other obstacles  step into a virtual world that is in no way inferior to reality  LARGESCALE BATTLES Engage in challenging fastpaced player versus player combat Collaborate with your allies and execute clever tactics and maneuvers to emerge from battle victorious and your enemies ground beneath your treads Armored Warfare is easy to learn but challenging to master  MODERN BATTLEFIELD Fight in hotspots around the world from frozen tundras to sunscorched deserts Do battle in locations that might be the focus of a modern military conflict such as oil refineries port facilities and population centers Bring the fight to the 21st Century,At the beginning of the 21st century few could imagine the conflagration sparked by a myriad of local flashpoints spanning every corner of the globe Europe was overwhelmed by refugees tens of millions fleeing from conflicts fueled by anger greed and years of financial crisis and stagnation which started in the least stable regions and inexorably spread  Greeces final complete economic collapse triggered a chain reaction that threw Europe into chaos Bulgaria took the worst of it  as the Bulgarian Greekowned banks collapsed with Greece The entire region was swept into a maelstrom of havoc ruining countless lives and destroying any semblance of a status quo but providing opportunities for those unscrupulous enough to exploit the situation The remnants of the European Union were paralyzed by the growing gap between the governments and their people and violent antigovernment protests became commonplace giving birth to numerous anarchist movements Weapon caches from the crumbling governments of the thirdworld became the armories of the insurgencies  In the Middle East the Syrian crisis spilled into the entire region shattering Syria into multiple warring regions with Kurdish militias attempting to carve their own territories out of the chaos frequently clashing with Turkish forces in a conflict that rapidly became a fullblown civil war As Europe reeled from these blows the newly elected American president decided to turn towards isolationism by bringing home most of the troops serving abroad fearing another Iraq would happen if the American soldiers were further involved in the Middle East This was supported by new technologies that allowed the USA to be energy independent The new American strategy of providing military support to USfriendly countries relied heavily on the use of Americanbacked PMCs as demonstrated by the 2018 War of the Precipice between Israel and its neighbors This strategy had major repercussions leading to the loss of direct influence in many parts of the world especially South America This in turn led to the rise of the Alianza de Sangre a multinational criminal drug cartel that gradually gained direct control over a large part of Mexico and Central America The cartel funded guerrillas all across South America starting multiple civil wars and profiting immensely from the turmoil South American governments were powerless to stop this wellfunded criminal organization without assistance and lawlessness south of the American border gave rise to many American nationalist militias that gradually gained influence across the South  Asias largest superpower China entered the late 2010s with a series of economic spasms caused by currency fluctuations oil shortages and increased separatist tendencies in several of its regions China put policies in place that bordered on martial law with extensive crackdowns and brutal methods of control and managed to keep the situation in hand but just barely In Europe NATO now in decline was put to test for the first time in years as nationalist guerrillas appeared in Estonia The entire Baltic region plummeted into conflict and the chronically underfunded NATO was petitioned to respond Due to the lack of resources lack of American backing and fear of starting another global war armed response was vetoed and NATO for all intents and purposes ceased to exist as an effective structure by 2020 The global tensions also spurred violence on the IndianPakistani border Amidst the chaos five nuclear warheads were stolen from the Pakistani complex at Khushab and one of them was detonated in the Indian city of Hyderabad leading to the death of millions and to staggering economic losses The world held its breath waiting for someone to step forward and announce they were responsible for the attack This announcement never happened and the unexplained senseless violence of this heinous crime served as the final wakeup call for the nations to act Weakened by insurgency and internal strife the worlds powers  China the European Union Russia and the United States came together to discuss how to fight the new multinational threats After extensive negotiations a treaty was signed that would change the world forever The treaty stipulated that the internal affairs of all the countries participating in the talks would be left to their own militaries but major threats to entire regions or continents would be handled by a newly formed independent international body the International Security Department The ISD would use Private Military Companies freely formed according to the principle of exterritoriality The ISD would dictate the operations of the PMCs but in return would support them both logistically and politically Each PMC would be established with its own rules ranging from ragtag bands of mercenaries to private armies equipped with modern weaponry but they all would have to adhere to the ISD code lest they become branded as renegades and prosecuted de facto by other PMCs  The size of the PMCs could vary from small bands of mercenaries to entire brigades or divisions and their equipment was just as varied  from antiquated vehicles mothballed even by third world militaries to cutting edge machines purchased from those arms dealers approved by the ISD For these dealers the contract with the ISD was very beneficial for their promise not to supply anyone considered to be the enemy of the ISD the authorities tended to look the other way when it came to the means the dealers employed when acquiring their stock The most successful of these dealers signed exclusive contracts with the largest private forces making them some of the richest men and women on Earth Unfortunately this system brought its own pitfalls with it Cases of mercenary units going rogue or switching sides were not uncommon and for years it took the combined might of the ISD and the loyalists to crush such rebels completely and to make examples of them Nevertheless the system has proven effective and by early 2030s the PMCs were already the dominant and in reality only force capable of dealing with major crises in contested regions As we approach the middle of the 21st century it is no longer in question the world is on fire The combined strength of the loyal PMCs is now the only hope for keeping the earth from returning to another dark age Whether they will be successful remains to be seen,64.05782905077184
1444694400,85612,Minecraft: Story Mode - Episode 1: The Order of the Stone,"[6, 9, 12, 14, 34, 39, 41, 48, 49]",[31],As Jesse youll embark on a perilous adventure across the Overworld through the Nether to the End and beyond While at EnderCon in hopes of meeting Gabriel the Warrior you and your friends discover that something is wrong something dreadful,Missing,64.0
1444608000,19081,The Jackbox Party Pack 2,"[3, 6, 9, 14, 34, 39, 48, 49, 130, 132]","[7, 9, 15, 26, 32]",The sequel to the party game The Jackbox Party Pack featuring 5 new party games Phones or tablets can be used as controllers For up to 8 players plus an Audience of up to 10000 Games included Earwax Fibbage 2 Bidiots Quiplash XL Bomb Corp,Missing,61.53053307355823
1445385600,100761,Distraint: Deluxe Edition,"[6, 34, 39, 46, 48, 49, 130]","[9, 31]",Distraint It is a 2D psychological horror adventure for PC To secure a partner position in the famous company he works for Price seizes the property of an elderly woman In that moment he finds the price of his humanity,Missing,60.04603919489828
