first_release_date,id,name,platforms,summary,genres,rating,storyline
1384819200,264468,Grand Theft Auto Online: Beach Bum,"[48, 49]",Beach Bum Update  Content update introducing two new weapons the Broken Bottle and the SNS Pistol three new cars the BF Bifta the Canis Kalahari and the Bravado Paradise and a new boat the Pegassi Speeder as well as additional beachthemed clothing tattoos hairstyles and jobs The weapons and vehicles are also available in GTA Vs story mode,Missing,Missing,Missing
1383609600,240504,Call of Duty: Ghosts Digital Hardened Edition,"[6, 48, 49]",Buy the Call of Duty Ghosts Digital Hardened Edition and enhance your multiplayer experience with a digital download of Call of Duty Ghosts and an assortment of bonus digital content including   Call of Duty Ghosts Season Pass Get four epic DLC Map Packs each delivering a collection of fresh Call of Duty Ghosts multiplayer content Plus youll receive the Team Leader digital content pack a Season Passbonus that includes a unique MP character head weapon camo reticle player patch player card and player background playable ingame upon purchase  Digital Hardened Edition InGame Item Pack Stand out from the crowd with a unique ingame player patch player card  player background a collection of content only available in the Digital Hardened Edition  Ghosts Insignia Pack Show your enemies what you stand for with an ingame Ghosts insignia player patch player card  player background,Missing,Missing,Missing
1384473600,240422,FIFA 14,"[48, 49]",Nextgen version of FIFA 14 featuring a new engine Ignite Engine,[14],Missing,Missing
1384905600,233961,Minecraft: Dragonborn Mash-up,"[6, 9, 12, 34, 39, 41, 46, 48, 49, 74, 130, 132, 388]",The Dragonborn meets Minecraft in a clash of epic proportions Build your own worlds in the land of Tamriel and experience adventure with many of its most iconic characters Fus Ro Dah,[31],Missing,Missing
1383955200,102079,Call of Duty: Black Ops - Prestige Edition,"[6, 9, 12]",Call of Duty Black Ops takes place during the 1960s in the Cold War It focuses on CIA clandestine black operations carried out behind enemy lines Missions take place in various locations around the globe such as the Ural Mountains in central Russia Cuba Kazakhstan Hong Kong Laos Vietnam and the Arctic circle The singleplayer campaign revolves around an experimental chemical weapon codenamed Nova6,[5],Missing,Missing
1383609600,102078,Call of Duty: Ghosts - Prestige Edition,"[9, 12, 48, 49]",Call of Duty Ghosts takes place following a catastrophic event that changed the global balance of powers in the world As a result the United States is no longer recognized as a superpower Ten years after the event an unseen enemy emerges as a threat but the remnants of US special forces from every branch came together to create an elite group of soldiers known as the Ghosts who are determined to eradicate all threats to protect the weak and the remains of America,[5],Missing,Missing
1384473600,101063,LEGO Marvel Super Heroes: Asgard Character Pack,"[6, 9, 12, 14, 48, 49]",Wreak havoc as the vengeful Malekith and the villainous Big LEGO Figure Kurse Play as the shieldmaiden of Asgard Sif and Thors Earthly love interest Jane Foster Defend the Universe with Odin and the Warriors Three Volstagg Hogun and Fandral,[31],Missing,Missing
1385510400,75534,Batman: Arkham Origins - Black Mask Challenge Pack,"[6, 9, 12]",Take on Gotham Citys most notorious criminal kingpin in the Black Mask Challenge Pack Unlock two allnew Black Maskthemed challenge maps Lot Full and Hidden Facility Play as either Batman or Deathstroke and show Black Mask who really runs Gotham  Note To play as Deathstroke you must own the Deathstroke Challenge Pack,"[25, 31]",Missing,Missing
1385510400,75533,Batman: Arkham Origins - Infinite Earths Skin Pack,"[6, 9, 12]",Customize Batman and Robin with these exclusive skins   Earth 2 Dark Knight  Long Halloween Batman  Batman Dark Knight of the Round Table  Thrillkiller Batman  Earth 2 Batman  Classic Tim Drake Robin  Batman Skins can be used in the story campaign upon completion of the main story in the challenge maps and online The Robin Skin can only be used online,"[25, 31]",Missing,Missing
1384214400,75532,Batman: Arkham Origins - New Millennium Skins Pack,"[6, 9, 12]",Customize Batman and Robin with these exclusive skins Included are  Red Son Batman Blackest Night Batman New 52 Graphic Batman Batman Noel 1st Appearance Batman One Year Later Robin  The Batman Skins can be used in the story campaign upon completion of the main story in the challenge maps and online The Robin Skin can only be used online,"[25, 31]",Missing,Missing
1385769600,62576,FarmFury!,[12],FarmFury is a multiplayer farm simulation game where animestyle farmers try to sabotage each other,[13],Missing,Missing
1385596800,59728,Hellhounds,[12],An Xbox Live Indie Games firstperson shooter,[5],Missing,Missing
1384819200,52431,Assassin's Creed IV: Black Flag - Gold Edition,"[6, 9, 12, 48, 49]",The immersive world of Assassins Creed Black Flag drops you into the heart of an explosive reimagining of maritime history Play as young privateer Edward Kenway fighting side by side with the most notorious Caribbean pirates of the 18th century As captain of the Jackdaw Master Assassin and ruthless pirate seek adventure on both sea and land in the biggest world that Assassins Creed has yet conceived Through raging waters lush jungles and sunbaked cities seek and destroy scheming Templars and oppressive colonial powers while enriching yourself and your outlaw compatriots with ships and gold  Download Black Flag Gold Edition and enrich the gameplay experience with exclusive island treasure hunts Unlock multiplayer options weapons ships and valuable relics in these bonus packs making yourself a richer stronger and more formidable foe Follow paths set by great pirates who came before and discover the wealth they left behind Captain Morgans ship and silver pistols are yours for the taking in the Black Island pack while the shallows of Sacrifice Island yield treasures left by Captain Drake in the Sacrificed Secrets Pack Find the ship and other items left behind by Blackbeards friend Stede Bonnet on St Lucia in the Hidden Mystery Pack Other exclusive packs include Captain Kenways Legacy Pack the Pirates Bounty Pack and the Trove of Mystery Pack,[31],Missing,Missing
1385683200,44665,Assassin's Creed IV: Black Flag - Skull Edition,"[6, 9, 12, 41, 48, 49]",This edition contains   Jumbo steel case  Artbook  Two lithographs  Official soundtrack  Single player missions Hidden Mystery and Sacrificed Secrets  Ingame content Captain Kenways Legacy,[31],Missing,Missing
1385337600,43020,Batman: Arkham Origins - Collector's Edition,"[6, 9, 12]",Developed by WB Games Montreal Batman Arkham Origins features an expanded Gotham City and introduces an original prequel storyline set several years before the events of Batman Arkham Asylum and Batman Arkham City the first two critically acclaimed games of the franchise Taking place before the rise of Gotham Citys most dangerous criminals the game showcases a young and unrefined Batman as he faces a defining moment in his early career as a crime fighter that sets his path to becoming the Dark Knight As the story unfolds players will meet many important characters for the first time and forge key relationships The Batman Arkham Origins Collectors Edition will include the following extensive bonus content 1 Exclusive Arkham Origins premium statue featuring LED effects produced by TriForce 2Beautifully rendered and highly detailed statue measuring approx 9 x 13 x 115 3 80page fullcolor hardcover art book measuring approx 75 x 1075 x 5 4Two key pieces of evidence taken directly from the Gotham City Police Department crime lab Batman Wanted Poster Batwing Prototype Schematic  Anarchy logo stencil GlowInTheDark map of Gotham City Wayne Family Photo Assassins Intel Dossier which includes files on the 8 assassins as well as Black Masks contract 1st Appearance Batman Skin Look just like Batman did during his first appearance in Detective Comics 27 released in 1939,"[4, 25, 31]",Missing,Missing
1383782400,43015,Assassin's Creed: Heritage Collection,"[6, 9, 12]",Assassins Creed Heritage Collection is a compilation consisting of the main games in the Assassins Creed series similar to the previous Anthology bundle released in 2012 the Heritage Collection includes Assassins Creed Assassins Creed II Assassins Creed Brotherhood Assassins Creed Revelations and Assassins Creed III  Unlike the Anthology bundle the Heritage Collection includes no special packaging extras or DLC for any of the games and is sold at a much cheaper price,[31],Missing,Missing
1384819200,42911,Assassin's Creed IV: Black Flag - Limited Edition,"[6, 9, 12, 48, 49]",Assassins Creed IV Black Flag  Limited Edition contains the essential items for gamers to Unite under the Black Flag  Along with a copy of the game customers will receive A stunning 18 assassin statue An embroidered 28X 48 flag An exclusive 80page art book Steelbook gamae case and an epic soundtrack,[31],Missing,Missing
1385683200,41639,Killer Instinct: Pin-Ultimate Edition,[49],Missing,[4],Missing,Missing
1384819200,26091,Assassin's Creed IV Black Flag: Crusader & Florentine Pack,"[6, 9, 12, 48, 49]",Sail with Altaïr and Ezios colors with 4 customisation items for your ship and 2 new weapons for Edward Ezios Iconic Figurehead Ezios Unique Sails Ezios Swords Altaïrs Iconic Figurehead Altaïrs Unique Sails Altaïrs Sword,[31],Missing,Missing
1384473600,26090,Assassin's Creed IV Black Flag: Time Saver - Technology Pack,"[6, 9, 12, 48, 49]",Obtain a technology advantage that removes the requirement to find the 18 Upgrade Plans to be able to buy the higher ship upgrades gameplay and cosmetic upgrades,[31],Missing,Missing
1384473600,26088,Assassin's Creed IV Black Flag: Time Saver - Activities Pack,"[6, 9, 12, 48, 49]",This pack will save you time by revealing all of the activity locations on your map,[31],Missing,Missing
1384473600,26085,Assassin's Creed IV Black Flag: Death Vessel Pack,"[6, 9, 12, 48, 49]",Give a fearsome look to your ship with those 3 unique customization items The Death Vessel Figurehead Death Vessel Sails and Death Vessel Wheel,[31],Missing,Missing
1384214400,26084,Assassin's Creed IV Black Flag: Time Saver - Resources Pack,"[6, 9, 12, 48, 49]",Increase your Ships cargo storage limit to 2500 and obtain 500 additional Metal wood cloth sugar and rum resources,[31],Missing,Missing
