first_release_date,id,name,platforms,summary,genres,rating
883526400,93962,Fight 'N' Jokes,"[13, 14, 49, 130, 169]",This aint your granddaddys fighting game  Fightn Jokes tells the adventures of Jokes a group of fighters who combat to free their planet from an evil entity It is a 2D fighting game with handdrawn cartoonstyle graphics and a quirky sense of humor that pokes fun at the more serious sides of the genre,Missing,Missing
881625600,286,Quake II,"[3, 4, 6, 7, 12, 14, 16, 240]",Quake II is a firstperson shooter video game developed by id Software and published by Activision It is not a direct sequel to Quake id decided to revert to an existing trademark when they were unable to agree on a new name that did not violate another companys trademark,[5],83.42126189523265
883526400,39299,Strikers 1945 II,"[6, 7, 32, 34, 39, 48, 49, 52, 130]",Continuing where the last game ended the forces of CANY had been demolished by the previous Strikers lineup However a small group known as the FGR stole the sources and technology responsible for the last events and planned to continue CANYs work by initiating worldwarfare with massive mech technology Once again the Strikers are called into action,"[5, 33]",83.0
