first_release_date,genres,id,name,platforms,storyline,summary,rating
1335225600,"[2, 31]",1871,The Walking Dead: Season One,"[3, 6, 9, 12, 14, 34, 39, 46, 48, 49, 130]",Play as Lee Everett a convicted criminal who has been given a second chance at life in a world devastated by the undead With corpses returning to life and survivors stopping at nothing to maintain their own safety protecting an orphaned girl named Clementine may offer him redemption in a world gone to hell,The Walking Dead Season One also known as The Walking Dead The Game is an episodic interactive drama graphic adventure video game developed and published by Telltale Games Based on Robert Kirkmans The Walking Dead comic book series the game consists of five episodes released between April and November 2012 It is available for Android iOS Kindle Fire HDX Microsoft Windows Mac OS X PlayStation 3 PlayStation Vita Xbox 360 PlayStation 4 and Xbox One The game is the first of The Walking Dead video game series published by Telltale,85.65646193907666
1334620800,"[12, 31]",22319,The Witcher 2: Assassins of Kings - Dark Edition,[12],Missing,Compared to the initial award winning PC release the Xbox 360 edition will feature lots of new and exciting content  Additional hours of gameplay for the Xbox 360 New major adventures set in previously unseen locations expanding the story and introducing new characters mysteries and monsters  New Game Introduction and cinematic All new animations and cut scenes including a new three and a half minute prerendered cinematic depicting the assassination of King Demavend of Aedirn BAFTA Award winner and Academy Award nominee Tomasz Baginski brings this key historical event to life setting the stage for the story told in The Witcher 2  Upgraded interface designed specifically for the Xbox 360 Game camera and targeting have been redesigned for the Xbox and with upgraded pad controls players will now be able to experience fully The Witcher 2s spectacular and thrilling combat  Dark Edition content  The Witcher 2 Assassins of Kings game on 2 DVDs  MAKINGOF DVD All the cinematic materials related to game  trailers dev diaries gameplay footage interviews and makingof exclusive video  WORLD MAP A map of the games world  THE WITCHER MEDALLION A wolf head metal medallion on a chain  QUEST HANDBOOK The Witcher 2 quest handbook for both novice and experienced roleplaying fans  GAME MANUAL A rulebook and interface explanation to help you get started  ARTBOOK Extensive 232 pages documentary of games graphical assets with descriptions Including concept arts cover renders and stories behind Art of The Witcher 2  STICKERS Three stickers with Witcher 2 graphics  DARK EDITION BOX An elegant thick cardboard box to hold all your valuable Dark Edition contents,82.36445192696296
1334275200,"[8, 9, 31, 32]",1991,Fez,"[3, 6, 9, 12, 14, 39, 46, 48, 130]",Missing,Gomez is a 2D creature living in a 2D world Or is he When the existence of a mysterious 3rd dimension is revealed to him Gomez is sent out on a journey that will take him to the very end of time and space Use your ability to navigate 3D structures from 4 distinct classic 2D perspectives Explore a serene and beautiful openended world full of secrets puzzles and hidden treasures Unearth the mysteries of the past and discover the truth about reality and perception Change your perspective and look at the world in a different way,80.57147743352475
1335225600,[2],114940,The Walking Dead: Season One - Episode 1: A New Day,"[6, 9, 12, 14, 34, 39, 46, 48, 49, 130]",The world has suddenly turned into chaos with no explanation or reason The dead walk the earth to send the living down to hell One man Lee Everett struggles to survive and do what is right in this world gone mad Can he make the best of his new life,A New Day is the first episode of the first season of a fivepart series based on the AMC TV series and the original The Walking Dead comic book series The game is set in the United States at the start of a zombie outbreak It takes place in the original universe but does not rely on characters or locations from the comic book or the TV series,79.67737884893174
1334707200,"[8, 10]",2149,Trials Evolution,"[6, 12]",In Trials Evolution the player controls a rider on a physicsbased motorcycle from the start of the level to the end while navigating a number of obstacles The objective is to complete the course as fast as possible and with as few crashes as possible,Trials Evolution is a downloadable 25D platform racing game developed by RedLynx and published by Microsoft Studios Successor to 2009s critically acclaimed Trials HD  The game uses 3D graphics but is played on a 2D plane so the rider can only move forwards and backwards Players can also control the bikes pitch at slow speeds or while in the air  Players can also design and share their own maps utilizing the ingame editor As with its predecessor Trials HD,78.61136529537427
1334016000,"[4, 32, 33]",9425,Skullgirls,"[3, 6, 9, 12, 14, 34, 39]",Skullgirls takes place in the fictional Canopy Kingdom a country reminiscent of 1940s postwar America In a corrupt and wartorn world several individuals and organizations seek to obtain an artifact known as the Skull Heart Once every seven years the Skull Heart grants one womans wish However if a woman with an impure soul attempts to use the Heart her wish will be corrupted and she will be transformed into a monster known as the Skullgirl Hundreds have sought after the Skull Heart yet none of its wielders have been deemed worthy and spared of its curse  Seven years following the Grand War a battle fought between three nations the newest Skullgirl Marie has emerged and begun to terrorize the Canopy Kingdom The game follows several fighters and their journeys to confront Marie and claim the Skull Heart Each character has their own motive for seeking the Heart whether to destroy the artifact or use its power for their own interests,Skullgirls is a fastpaced 2D fighting game that puts players in control of fierce warriors in an extraordinary Dark Deco world Featuring allnew game systems which test the skills of veteran fighting game fans while also making the genre enjoyable and accessible to newcomers Skullgirls is a modern take on classic arcade fighters with a handdrawn highdefinition twist Its a oneofakind actionpacked competition complete with awesome combos and an intriguing backstory,77.46903125192566
1334880000,[10],47381,Dirt 3: Complete Edition,"[6, 12]",Missing,Dirt 3 Complete Edition includes 2011s rally racing game as well as four expansion packs previously available as downloadable content In addition to the Dirt 3 base game players will receive the following car and track packs the Monte Carlo Rally Pack the X Games Asia Track Pack the Power and Glory Car Pack and the Mud and Guts Car Pack Featured vehicles in the bonus content include the Saturn Sky Ford Mustang GT Lancia Delta S4 BMW M3 Rally and Lancia Stratos among others,74.29251686751132
1335744000,"[5, 24]",3078,Sniper Elite V2,"[6, 9, 12, 41]",The main character is Karl Fairburne an OSS officer who is inserted into Berlin in 1945 during the final days of World War II It references Operation Paperclip and its predecessor Operation Overcast the plan by the USA to recruit the scientists of Nazi Germany Fairburne comes up against both Nazi and Soviet opponents as he tracks key individuals involved with the development of the V2 ballistic missile,Sniper Elite V2 is the eagerlyawaited sequel to the highlyacclaimed Sniper Elite giving gamers the most authentic World War II sniping experience available You are elite US sniper Karl Fairburne Parachuted into Berlin amidst the Germans final stand your mission is to prevent Nazi V2 rocket program technology from falling into the hands of the besieging Red Army You must aid key scientists keen to defect to the US and terminate those who would help the Russians  Take advantage of authentic weaponry learn how to stalk your targets fortify your position set up the shot use your skill patience and cunning to achieve your mission Stealth gameplay is the key as you find yourself trapped between two desperate armies in a race against time Watch as the celebrated bullet cam from Sniper Elite returns bloodier and more gruesome than ever  skilful shots are rewarded with a slowmotion flight of the bullet then targets are graphically rendered in XRay as the bullet enters and destroys your victim Organs shred bones splinter teeth shatter as the true impact of the snipers bullet is brought to life  As World War Two ends and the Cold War begins every shot counts Use it wisely,71.49139557837798
1335225600,[12],3802,Risen 2: Dark Waters,"[6, 9, 12]",Missing,Set several years after the end of Risen raging titans have devastated the world and pushed humanity to the brink of existence Subsequently monstrous creatures have risen from the watery depths of the sea and their attacks have brought all seafaring to a grinding halt,71.28754310871074
1335225600,"[8, 25, 31]",2988,Prototype 2,"[6, 9, 12, 48, 49]",Two years after the events of the original game Sergeant James Heller after returning from touring in Iraq discovers his wife and daughter to be declared dead causing him to rejoin the military in the fight for NYZ against the Blacklight virus Heller is briefed on the previous outbreaks in Idaho in the 60s and in NYZ in the events of the first game He later finds Mercer and begins chasing him  Pursuing Mercer for vengeance Heller is infected by Mercer with a strain that imbues him with similar superhuman abilities After blacking out Heller awakens in a Yellow Zone lab where Gentek scientist Dr Anton Koenig and Blackwatch Col Douglas Rooks are experimenting on him Heller escapes from the Gentek base when Mercer confronts him and claims Gentek and Blackwatch are responsible for recreating and cultivating the Blacklight virus making them responsible for the second infection and the deaths of Hellers family Revealing his plans to take down Gentek and Blackwatch Mercer offers a truce to Heller Unsure of Mercers intentions Heller goes to his local pastor Father Luis Guerra for advice and help  Using information supplied by Guerra Heller hacks into Blacknet Terminals to find out about and sabotage a number of their operations Gradually consuming his way through Blackwatch Heller eventually finds and confronts Koenig who claims to be on his side and reveals Blackwatchs supersoldier program codenamed Orion Heller prevents Project Orions progress by killing a supersoldier who was injected with his DNA After consuming one of the head scientists Heller discovers that Koenig was observing him in order to find his weaknesses Enraged at Koenigs betrayal Heller tracks him down only to discover that he has powers similar to he and Mercer and is one of several Evolved agents planted in Gentek and Blackwatch by Mercer After defeating and consuming the doctor Mercer reveals to Heller that he intends to recruit him in an attempt to control NYZ His doubts growing Guerra then shows Heller a video tape of Mercer releasing the virus for the second time in Penn Station the same place Mercer originally released and contracted the virus  Enraged at Mercers deception Heller sets off to the Green Zone to hunt down Mercers henchmen including an Evolved agent in Gentek named Sabrina Galloway upon confronting Galloway however Heller reluctantly teams up with her when she reveals she can help him take down Mercer With Galloways help Heller soon finds that Mercer plans to infect the entire world through Whitelight a contaminated vaccine released by Gentek that actually serves to accelerate infection and evolution rather than prevent it  Frustrated with Heller sabotaging his plans Mercer kills Father Guerra upon finding his corpse however a grieving Heller uses Guerras phone to reach Athena Guerras contact who is revealed to be Dana Mercer Dana explains that Hellers daughter Maya is still alive prompting Heller to head for the Red Zone to take down Mercer and save Maya After preventing Blackwatchs second attempt to level Manhattan Island Rooks helps Heller reach his daughter only for Galloway to betray him and take Maya to Mercer Upon confronting Mercer he reveals that he plans to solve international conflicts and world problems by infecting the entire human race effectively creating a Superorganism with Maya at the center After Mercer absorbs Galloway and the remaining Evolved the two engage in a bloody duel only for James to emerge victorious and to kill and consume Mercer  Subsequently Heller wipes out the infected in NYZ along with most of the Blacklight Virus then using Mercers absorbed memories Heller locates and frees Maya and Dana from a vault The story then ends with the three overlooking New York before Dana questions what to do next,Prototype 2 is an openworld action game published by Activision and developed by Radical Entertainment Its a direct sequel to Prototype and was announced at the 2010 Spike Video Game Awards  The events of Prototype 2 takes place in New York City now known as New York Zero NYZ following Sgt James Heller on his quest to destroy Alex Mercer after having lost everything and everyone he loved to the Blacklight virus,70.03720584004108
1334707200,"[5, 11, 15, 16]",4710,Battleship,"[5, 6, 9, 12, 20, 37]",Missing,Battleship is a game based off of the film based off of the board gametoy  The PS3X360 version are a morder first person shooter while the wiiDS3DS versions take a turn based strategy gameplay approach instead,70.0
1334880000,[7],41591,Country Dance Kinect,[12],Missing,Americas hottest country music stars are headed to your living room for a brand new interactive dance experience with bonus singalong features thats packed with dozens of hits from your favorite country charttoppers Country Dance All Stars features more than 35 tracks from the best names in country music including 18 CMA 2011 award winners like Male and Female Vocalists of the Year Blake Shelton and Miranda Lambert Album of the Year winner Jason Aldean and Vocal Duo of the Year Lady Antebellum Songs from mega stars Brad Paisley Carrie Underwood Zac Brown Band BrooksDunn and Eric Church will also headline the dance party See below for a partial list of the ingame soundtrack revealed today,65.0
1333411200,"[4, 7, 15, 31, 32]",8560,Kinect Star Wars,[12],Missing,Kinect Star Wars brings Star Wars to life like never before Harnessing the controllerfree power of Kinect for Xbox 360 Kinect Star Wars allows fans to physically hone their Jedi skills wield the power of the Force in their hands pilot iconic starships and vehicles rampage as a vicious rancor monster or even dance with iconic Star Wars characters Using full body motions players can live out the ultimate Star Wars fantasy to use the Force battle with a lightsaber and more  no controller required,53.05362054150352
1334102400,"[13, 15, 26, 35]",16749,Pure Chess,"[6, 9, 37, 41, 46, 48, 49]",Missing,Chess One of the worlds most popular games has just got even better Pure Chess Grandmaster Edition is a stunning celebration of the greatest strategy game of all time,50.0
