first_release_date,id,name,platforms,summary,genres,storyline
1699315200,268093,Devil Engine: Complete Edition,"[48, 49, 130, 167, 169]",Lightning Strikes Again Take control of the AI ship Andraste and blast through hordes to destroy the Devil Engine  Devil Engine is a highoctane classicstyled sidescrolling shootemup heavily influenced by the best in the genre from the 32bit era featuring a variety of incredible locations handdrawn pixel art and a bloodpumping soundtrack that brings the dark future to life,"[5, 33]",Missing
1699488000,266719,Tales of Arise: Beyond the Dawn,"[6, 48, 49, 167, 169]",The new expansion pack taking place a year after the war between Dahna and Rena,"[12, 31]",Missing
1699228800,266382,Football Manager 2024,"[6, 49, 130, 167, 169]",Progress never stops when youre pursuing footballing greatness Gameplay upgrades empower you to develop a blueprint for success on and off the pitch Preorder for 10 off and Early Access,"[13, 14, 15]",Missing
1700092800,266209,Mortal Kombat 1: Omni-Man,"[6, 130, 167, 169]",Announced for the Mortal Kombat 1 Kombat Pack OmniMan is a guest character from the comic book and television series Invincible,Missing,Missing
1699920000,263462,Turok 3: Shadow of Oblivion Remastered,"[6, 48, 49, 130, 167, 169]",Turok 3 Shadow of Oblivion Remastered is a faithful restoration of the classic firstperson shooter originally released in 2000 for the Nintendo 64 upgraded through Nightdive Studios proprietary KEX Engine for play on modern gaming devices with up to a 4K resolution at 120FPS  It joins Nightdive Studios Universal Games and Digital Platforms popular Turok and Turok 2 Seeds of Evil remasters capping off the trilogy Turok 3 Shadow of Oblivion Remastered features upgraded gameplay highresolution textures enhanced lighting and rendering and support for console gamepads with platformspecific features  Finish the hunt in this epic finale to the Turok Trilogy Pick up immediately after the events of Turok 2 Seeds of Evil with dual protagonists Joseph and Danielle Fireseed of the Turok family tree as they battle the titular antagonist Oblivion and its followers the Flesh Eaters,"[5, 31]",Missing
1699920000,262704,Age of Empires IV: The Sultans Ascend,"[6, 49, 169]",The Sultans Ascend  the biggest expansion for Age of Empires IV yet Step into history as you explore new territories lead powerful armies and immerse yourself in the rich history of the Middle East,"[11, 15]",Missing
1700179200,262261,The Walking Dead: Destinies,"[6, 48, 49, 130, 167, 169]",Begin your journey as Rick Grimes waking alone in a hospital surrounded by the dead Assemble allies and fight your way through the walker apocalypse across iconic locations from The Walking Dead including Atlanta the Greene family farm the prison and Woodbury In crucial choicedriven moments youll forever shape the destiny of your team of characters from the series Heroes and villains living and dead  its up to you to decide whether to stay the course of history or forge your own path through the world of AMCs The Walking Dead,[31],Missing
1699315200,261154,Let's Sing 2024,"[130, 167, 169]",Missing,[7],Missing
1699574400,260780,Call of Duty: Modern Warfare III,"[6, 48, 49, 167, 169]",The game brings open combat  offering players more choices in approaching the singleplayer missions Makarov returns as the chief villain of the new campaign  The newly introduced Carry Forward system will let players keep their progression and inventory from Modern Warfare II Multiplayer fans can expect 16 maps at the launch and at least 12 coming later Zombies mode will also return and should offer the largest zombie map to date,[5],Missing
1700092800,260221,Smoots Pinball,"[6, 48, 49, 130, 167, 169]",Enjoy an exciting and fun multiplayer pinball experience with Smoots Pinball Play on 5 tables based on our popular Smoots games complete missions and unlock extras Can you score 1000000 points Play solo or with friends and show off your pinball skills,"[13, 30, 32, 33]",Welcome to Smoots Pinball the ultimate multiplayer pinball experience In this thrilling game youll enjoy classic pinball action on 5 unique and exciting tables each based on our popular Smoots games  Are you ready to take on the challenge and reach a score of 1000000 points Flip the paddles and launch the balls with precision to rack up as many points as possible But thats not all each table has special missions for you to complete unlocking extras and additional challenges
1699315200,259206,Nickelodeon All-Star Brawl 2,"[6, 48, 49, 130, 167, 169]",Nickelodeon AllStar Brawl 2 is bigger and better than ever with all new gameplay campaign characters voiceover modes and more,"[4, 8]",Missing
