first_release_date,genres,id,name,platforms,summary,storyline,rating
1429747200,"[8, 31]",244001,Project Spark: Conker's Big Reunion,[49],Missing,Missing,Missing
1428364800,"[12, 31]",224465,Neverwinter: Elemental Evil,"[6, 49]",Neverwinter Elemental Evil is the 6th campaign expansion module for the Neverwinter massivemultiplayer roleplaying game Released in April 2015 the expansion added a new class increased level cap expansion of the games profession system a new campaign and several new adventure zones,Missing,Missing
1428969600,Missing,224326,Dragon Ball: Xenoverse - GT Pack 2 + Mira and Towa,"[9, 12, 48, 49]",Extend your experience in the unique universe of Dragon Ball Xenoverse with this DLC GT Pack 2   4 Playable characters Eis Shenron Nuova Shenron Mira Towa  Episodes and Quests  Masters and Masters Quests  Skills Costumes and accessories  Zsouls,Missing,Missing
1428883200,"[12, 16, 31]",141917,Pathos: Nethack Codex,"[6, 34, 39, 49, 74]",Pathos is a roguelike adventure game inspired by the rule set from Nethack Choose from 13 classes and journey deep into the dungeon Descend to hell to defeat your nemesis before escaping the dungeon with all the loot you can carry,Missing,Missing
1428969600,Missing,141052,Mortal Kombat X: Goro,"[6, 48, 49]",Fight as Goro fully playable character,Missing,Missing
1428969600,[4],140997,Mortal Kombat X: Special Edition,"[6, 48, 49]",Mortal Kombat X is the tenth main game in the oneonone fighting series and a sequel to the 2011 title Mortal Kombat which was a complete reboot of the series The plot is set about 20 years after the events of the previous game where the ending revealed that Shinnok used the void after Shao Kahns death to attack Earthrealm with his army of Netherrealm forces,Missing,Missing
1429228800,"[12, 25, 31, 32]",51823,Hand of Fate: Wildcards,"[3, 6, 14, 48, 49]",Welcome to the Wildcards update for Hand of Fate This update adds different Fates that you can select in order to change the way the game plays Each Fate provides different modifiers to play and allows you to play any or all of the game with a new Fate and a new ruleset  Each Fate has its own custom chain of encounters and its own potential rewards along with new Achievements  Will you take on the challenge of the Alchemist and be bound by Iron Hunger Take the Fate of the Monk and his Holy Quest Or be struck by the Curse of the Lion Prince,Missing,Missing
1429401600,"[12, 13, 15, 31, 32]",38988,Alphadia Genesis 2,"[6, 34, 39, 48, 49, 130, 167, 169]",While claiming to protect its citizens the Empire has launched a ruthless campaign against the Atramian populationthose said to be infected with black energi and whose existence they deem to be a threat to the world Discover the true face of evil in this next chapter of the Alphadia series a story filled with belief sacrifice revenge and ultimately hope,Celesia a world once rich and abundant with a source of power known as energi This same energi was not only the foundation but also the origin of all life And from its blessing Celesia grew bright and prosperous Everyone had believed its radiant white light would never dim However their faith was shattered when another energi appeared in the world and began to alter everything as they knew it Its darkness of blackest black obliterated the light and beckoned only chaos and destruction Its influence like the gloaming was called black energi and both feared and hated And under the ruling Emperor of the time it was ordered purged from the face of Celesia Along with those infected by it,Missing
1429056000,"[12, 13, 15, 31]",38980,Asdivine Menace,"[6, 34, 46, 48, 49, 130]",Taking place one hundred years after the events of the first chapter Asdivine Menace sets the stage for an adventure of epic proportions Crisscross the galaxy visiting new worlds along with Izayoi the deity of Asdivine and his band of spirit sidekicks in the followup to the recent bestselling Asdivine Dios A traditional turnbased JRPG with enough content to satisfy even the hungriest of gamers out there  With plenty of quests and challenges to boot Asdivine Menace comes jampacked with a consolequality experience Just be sure not get caught up in all the sidecontent and forget about saving the world Plus with the option to woo and pursue the ladies how will your pick change the future of Asdivine,Missing,Missing
1429660800,Missing,20948,Pinball FX2: Marvel's Avengers - Age of Ultron,"[6, 12, 49]",Missing,Missing,Missing
1430352000,[5],20890,Call of Duty: Advanced Warfare - Ascendance,"[6, 9, 12, 48, 49]",Prepare for Ascendance the second downloadable content pack for Call of Duty Advanced Warfare Ascendance comes with four multiplayer maps and one Exo Zombies coop map It also includes a new Exo Ability in a special playlist for Ascendance maps Exo Grapple,Missing,Missing
1430179200,"[13, 14]",20862,The Golf Club: Collector's Edition,"[6, 48, 49]",The Golf Club is a visually stunning golf simulation that features procedurally generated courses a fully featured course editor asynchronous online play and outstanding gameplay Create and share courses with your friends and compete with both friends and rivals in this fresh take on golf  The Golf Club Collectors Edition features the finely detailed Greg Norman Course Designer and new Season Mode to take you though five tour levels as you advance in your career Compete in full tournaments and shave strokes off our handicap with intensely calculated swings Zero loading times between holes Also features an exclusive Collectible eBook,Missing,Missing
1429142400,Missing,16130,Mortal Kombat X: Kombat Pack,"[6, 12, 48]",Kombat Pack grants early access to 4 upcoming playable characters and skin packs Slash your opponents as Horror Icon Jason Voorhees or play as Predator the Ultimate Hunter Klassic characters Tanya and Tremor complete the offer Each fighter comes with a themed skin pack including three new skins for select characters Also includes The Samurai Pack available April 14,Missing,Missing
1430092800,"[13, 32]",3102,Kerbal Space Program,"[3, 6, 14, 41, 48, 49, 130]",In Kerbal Space Program take charge of the space program for the alien race known as the Kerbals You have access to an array of parts to assemble fullyfunctional spacecraft that flies or doesnt based on realistic aerodynamic and orbital physics Launch your Kerbal crew into orbit and beyond while keeping them alive to explore moons and planets in the Kerbol solar system constructing bases and space stations to expand the reach of your expedition,Missing,88.95303746718467
1430352000,"[12, 13, 15, 16, 31, 32]",9046,Chroma Squad,"[3, 6, 14, 48, 49, 130]",Chroma Squad is a tactical RPG about five stunt actors who decide to quit their jobs and start their own Power Rangersinspired TV show Cast actors purchase equipment and upgrades for your studio craft weapons and giant Mechas out of cardboard and duct tape,Chroma Squad is a tactical RPG about five stunt actors who decide to quit their jobs and start their own Power Rangersinspired TV show  Cast actors and purchase upgrades for your studio craft weapons and giant Mechas out of cardboard Once the cameras are rolling you will control your cast of five coloredjumpsuitclad warriors in dramatic turnbased battles,84.27783723322248
1427932800,"[12, 31]",8222,Dark Souls II: Scholar of the First Sin,"[6, 9, 12, 48, 49]",Dark Souls II Scholar of the First Sin is an upgrade and bundle of Dark Souls II that brings the game to Playstation 4 and Xbox One as well as DX11 features on PC It also bundles all previous DLCs and provides additional features and content,Missing,82.98789304260053
1430352000,"[5, 8, 32, 33]",13187,"Guns, Gore & Cannoli","[6, 14, 41, 48, 49, 130]",Welcome to Thugtown circa 1920 the height of Prohibition Prepare yourself for a nonstop actionpacked completely overthetop fastpaced platform game Set against the gangster heyday of the roaring twenties Lose yourself in an exciting elaborate tale of the underground and underworld Experience friendship betrayal vengeance and witness first hand the rise and fall of a criminal mastermind This is survival horror wiseguy style Capiche,The game tells the story of Vinnie Cannoli and his mob family set in the fictional Thugtown circa 1925 the height of prohibition Beneath the city overrun by zombies theres a dark story of conspiracy and betrayal Unravel the sneaky mafia ways and government conspiracy while you try to look for your lost pal and for answers about the zombieoutbreak,81.886028121887
1428883200,[4],7292,Mortal Kombat X,"[6, 48, 49]",Mortal Kombat X is the tenth main game in the oneonone fighting series and a sequel to the 2011 title Mortal Kombat The game stays close to the visual style and the mechanics of the 2011 reboot The main controls are still based on two types of punches and kicks and blocking to form combos with uppercuts teleports special moves that incorporate weapons and fatalities The threetiered energy from the previous title returns making available XRay moves powered up EX moves and combo breakers As introduced in Injustice Gods Among Us characters can use the environment to reposition themselves or optionally use parts as weapons Each character now has three variations with different moves and weapons There is once again a sprinting gauge returning from Mortal Kombat 4,The plot is set about 20 years after the events of the previous game where the ending revealed that Shinnok used the void after Shao Kahns death to attack Earthrealm with his army of Netherrealm forces Several characters work together to steal Shinnoks amulet and imprison him inside but eventually Mileena hatches a plan to release Shinnok by bringing the amulet to Quan Chi who escaped when Shinnok was imprisoned The gap in years is mainly used to introduce the new characters to the cast such as Cassie the daughter of Johnny Cage and Sonya Blade who married and divorced Kotal Kahn as the new emperor of the Outworld and Takeda the son of Kenshi,79.90728191977196
1429142400,"[12, 31, 32]",8904,Westerado: Double Barreled,"[6, 14, 49]",Westerado Double Barreled is Ostrich Banditos homage to Spaghetti Westerns about dirty pasts consequences and taking a hold of your future When your family is murdered by a mysterious desperado you set out into the world to take revenge Take control of your own fate and that of others all using your trusty shooting iron If words arent enough to persuade a character draw your revolver and see what happens You can shoot whomever whenever you like Be an outlaw or a saint explore the open world meet a varied cast of characters and decide how you want your revenge story to unfold,Missing,76.77804258103669
1429747200,"[7, 12, 31, 32]",7886,Crypt of the NecroDancer,"[3, 6, 14, 39, 46, 48, 49, 130]",Crypt of the NecroDancer is a hardcore roguelike rhythm game Can you survive this deadly dungeon of dance slay the NecroDancer and recapture your still beating heart Or will you be a slave to the rhythm for all eternity,In the main game the player controls Cadence the daughter of a famed treasure hunter who has gone missing In searching for him she falls into a crypt controlled by the NecroDancer who steals Cadences heart and forces her to challenge his minions to retrieve it She is forced to fight through the crypts dungeon with her actions tied to the beat of the music and her heart so as to stay alive and defeat the NecroDancer  Near the heart of the crypt Cadence finds one of the NecroDancers minions named Dead Ringer She defeats him revealing that it was her missing father and frees him from the NecroDancers control allowing him to help her defeat the NecroDancer They take the NecroDancers magical golden Lute and use it to kill him and then use its power to resurrect Cadences dead mother Melody However they discover that the lute is cursed Melody must keep playing it forever to sustain her life but the lute will gradually consume her humanity just as it did to the NecroDancer Melody enters the crypt in search of answers and a way to break the curse of the lute  When Melody reaches the end of the crypt she uses the Golden Lute to resurrect the NecroDancer and find answers but he attacks and Melody defeats him The NecroDancer tries to flee but is cast into a crevice by Aria Melodys mother who was lying in a coffin with a dagger in her chest and is brought back to life by the Lute Aria reveals that she knows how to break the curse of the lute but was betrayed by the NecroDancer and left for dead Intending to finish what she started she begins her ascent out of the crypt in search of a shrine that will destroy the lute once and for all  When Aria reaches the shrine she is attacked by the lute itself which mutates into a large monster in an attempt to save itself from destruction After defeating the lutes monster form Aria sacrifices her life to destroy the cursed instrument returning Melody to full life and allowing her to return to her family who later bury Aria together,75.77103440606092
1430092800,"[5, 12, 13, 15, 31]",7710,State of Decay: Year-One Survival Edition,"[6, 49]",State of Decay along with major AddOns Breakdown and Lifeline is now fully remastered in stunning 1080p New missions weapons and extra content along with improved lighting textures animations and combat mechanics will pull you even deeper into the postoutbreak world How will you survive the zombie apocalypse,Missing,71.95704769209061
1429574400,"[12, 31]",20945,The Evil Within: The Consequence,"[6, 9, 12, 48, 49]",The Consequence is the second DLC for The Evil Within as well as the second and final part of the twopart DLC the first being The Assignment It revolves around Juli Kidman continuing the plot from The Assignment as well as revealing more from Julis past Along the way she will encounter disturbing new enemies discover new mysteries and uncover new horrors,The Consequence give fans of The Evil Within the perfect opportunity to continue discovering detective Kidmans hidden motivations and her mysterious connection to Mobius the shadowy group thought to be behind the gruesome events of The Evil Within,70.55424955916867
