first_release_date,id,name,platforms,summary,genres,rating,storyline
1283472000,267621,Assassin's Creed II: Game of the Year Edition,[12],An edition of Assassins Creed II that includes both DLC made available for Xbox 360 Effectively the Xbox 360 equivalent of the PS3s ultimate edition,Missing,Missing,Missing
1283817600,232809,Transformers: War for Cybertron Map and Character Pack 2,"[9, 12]",The new playable TRANSFORMERS characters joining the roster will include ZETA PRIME and DEAD END Players will have access to both characters in the games heartpounding fourplayer coop Escalation mode and will be able to select their chassis to create their own TRANSFORMERS character in the traditional competitive multiplayer modes  In addition five brand new multiplayer maps will extend the diverse array of battlefields on which players can wage war with their friends  Two new Escalation mode maps include  Pulse is an AUTOBOT map and allows players to take a journey inside the DECEPTICON giant TRYPTICON challenging fans to explore his twisted interior corridors to overload the central power core located within  Static is a DECEPTICON map that thrusts players into a bevy of multilevel rooms riddled with environmental traps that can be used for their advantage  Three new competitive multiplayer maps include  Horizon is a picturesque statuary overlooking the wartorn AUTOBOT home city of Iacon complete with wide open courtyards and tight spaces for close quarters combat  Sector is an old maintenance facility used by the DECEPTICONS during the legendary war and allows for open vehicle navigation especially divebombing jets and those with long range weapons  Metropolis is set high above the clouds and drops players straight into the bombed out ruins of a high rise Iacon city building Liquid energon drips from broken pipes and sparking electricity crackles from severed wires as it was once served as a fierce central battleground on Cybertron,"[5, 31]",Missing,Missing
1285718400,210061,Hydrophobia,[12],In Hydrophobia the player takes the role of engineer Kate Wilson who works on the cruise ship Queen of the World Unfortunately terrorists took over and placed bombs all over the ship and after detonating them chaos breaks loose Now Kate has to fight for her life  In this environment water plays an important role and it emphasizes realistic water representation Water is the main component in many of the games puzzles in which Kate uses her kinetic powers gained in the second half Other puzzles involve using an universal device to hack security installations as a minigame or find out codes to open doors Those are written in an invisible font on walls and have to made visible with her tool The rest of the game consists of climbing sections and shoot outs with terrorists Here the game uses a traditional cover system and five ammo types,"[5, 31]",Missing,Missing
1285027200,114990,Red Dead Redemption: Liars and Cheats,"[9, 12]",The Liars and Cheats pack exends the Red Dead Redemption multiplayer experience with horse races multiplayer poker Liars Dice and a new Stronghold competitive mode,"[5, 31]",Missing,Missing
1283990400,98814,360 Mega Pack HD Remix,[12],A collection of titles such as Super Button Mashing Bros Ultra Clock TwinStick Shooter Omega Calculator Masters of Memory Rumble Lounge Arrow Panic Fortuitous Fortune Cookie Fantastic Flashlight Ping and Gravity Dash,[15],Missing,Missing
1283731200,66236,Techno Kitten Adventure,[12],Control a jetpackequipped kitten over a rainbow background synced with DJ Hixxys Sea of Love Techno Kitten Adventure is an Xbox Indie Game for 240 MSP and is also available on iOS iPhone iPod iPad for free download,"[7, 8]",Missing,Missing
1284163200,62516,Action Arcade Wrestling,[12],Action Arcade Wrestling is an Xbox 360 indie game,"[4, 14]",Missing,Missing
1284422400,43954,Halo: Reach - Legendary Edition,[12],Halo Reach tells the tragic and heroic story of Noble Team a group of Spartans who through great sacrifice and courage saved countless lives in the face of impossible odds The planet Reach is humanitys last line of defense between the encroaching Covenant and their ultimate goal the destruction of Earth If it falls humanity will be perched on the brink of destruction,[5],Missing,Missing
1283904000,27477,Dance It's Your Stage,"[5, 6, 9, 12]",In Dance Its your Stage players perform 20 dance routines on eight spectacular stages Besides Career mode with its own success story players can cut to the chase and attempt Quickstart mode and plunge headlong into the game,[7],Missing,Missing
1284422400,25217,Truth or Lies,"[5, 9, 12]",In Truth or Lies which is set for release this fall players join family and friends in a roundtable style game play answering an astonishing array of thoughtprovoking questions Utilizing a proprietary voice calibration system that works in conjunction with either the Xbox 360 Wireless Microphone or USB microphone Truth or Lies measures stress levels in a players voice to reveal the honesty of their answers,"[12, 26]",Missing,Missing
1283990400,23658,Animal Jam,"[6, 14, 48, 49]",An online game from National Geographic,[12],Missing,Missing
1285632000,21740,Rapala Pro Bass Fishing,"[5, 8, 9, 12, 41]",With Rapala Pro Bass Fishing you get the ultimate fishing experience Compete against real life pro fishermen in authentic tournament action and prove youre the best of the best,[14],Missing,Missing
1283817600,782,Mass Effect 2: Lair of the Shadow Broker,"[6, 9, 12]",Liara TSoni is tracking down the mysterious Shadow Broker and no one is safe Shell do anything to recover the man the Broker kidnapped and the Shadow Brokers agents will do anything to stop her Team up with Liara and chase clues from the luxurious heights of Illium to the Shadow Brokers own secret lair This DLC adds the Shadow Broker intel center new research and five new achievements  and the chance to continue a relationship with Liara,[12],88.32269041827314,Missing
1284422400,990,Halo: Reach,"[6, 12, 49]",Experience the story before the events of Halo Combat Evolved as you fight to defend the planet Reach from a harrowing Covenant invasion In this firstperson shooter you can customize your own Spartan with armor and accessories to experience both a pulsepounding campaign and addictive multiplayer mode Reach will fall but it wont go down without a fight,[5],85.1257526738174,Missing
1285632000,24317,Greg Hastings Paintball 2,"[5, 9, 12]",As the next iteration in the highly successful paintball franchise Greg Hastings Paintball 2 features PlayStationMove technology thrusting players into the middle of the action like no other paintball game has,"[5, 13, 14]",80.0,Missing
