first_release_date,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1296691200,269614,"Shin Maru Goukaku: Shikaku Dasshu! IT Passport Shiken, Kihon Jouhou Gijutsusha Shiken, Ouyou Jouhou Gijutsusha Shiken",[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1298678400,250320,Nintendo 3DS Sound: Soccer,[37],"[14, 33]",Nintendo 3DS Sound Soccer is an easter egg game built into the Nintendo 3DS Sound application,Missing,Missing,nan,nan,nan,nan,nan,nan
1298678400,230572,Find Mii,[37],[12],Find Mii is a roleplaying game In this game the players Mii has been captured and it is up to the player to save himher by battling their way through a series of rooms containing different enemies Players use the Miis they have encountered but can also use Play Coins to summon additional wanderers Each Mii has a standard attack and a magic spell based on their color For example red Miis can cast flame spells whilst light blue Miis can freeze their opponents Certain colored Miis are required to clear certain rooms such as using a yellow Mii to break an enemys yellow shield If a Mii is encountered on StreetPass several times their level in StreetPass Quest will increase making them stronger but only up to level 7 As the player progresses through the game they can earn hats for their Mii to wear,Missing,Missing,nan,nan,nan,nan,nan,nan
1298678400,230571,Puzzle Swap,[37],Missing,Puzzle Swap is a game in which players aim to complete a 3D animated picture of a Nintendo video game by gathering its pieces If a player encountered on StreetPass possesses any pieces the player does not have the player can choose one of their pieces to add to their own The player may also use Play Coins to buy random pieces for their existing panels although it wont always be a new piece After the December 2011 update new puzzles became available which included four or eight pink squares in the center Pink pieces are distributed to players via SpotPass and can only be gathered via StreetPass they cannot be bought using Play Coins Some puzzles have more pieces than others making them harder to complete,Missing,Missing,nan,nan,nan,nan,nan,nan
1298678400,222328,Nintendogs + Cats: Shiba Inu & New Friends,[37],[13],One of the versions of Nintendogs  Cats This version was only released in Japan and China being replaced by Golden Retriver  New Friends worldwide,Missing,Missing,nan,nan,nan,nan,nan,nan
1297900800,221014,Hakuoki Zuisouroku DS,[20],[34],Port of Hakuoki Zuisouroku for the Nintendo DS  Zuisouroku fills in the gaps in the Hakuouki story You can see the everyday lives of Chizuru and the Shinsengumi members Discover secrets that the men didnt tell you in the original game and unlock scenarios that are only mentioned briefly in the main story,Zuisouroku fills in the gaps in the Hakuouki story You can see the everyday lives of Chizuru and the Shinsengumi members Discover secrets that the men didnt tell you in the original game and unlock scenarios that are only mentioned briefly in the main story  Retrace the routes and see new scenes for yourself This game contains more heart melting moments delicately drawn CGs and fully voiced scenes Come meet the Shinsengumi swordsmen and tame the bloodthirsty monster within them,Missing,nan,nan,nan,nan,nan,nan
1298332800,207100,De Blob 2,[20],"[8, 9, 31]",De Blob 2 is a platformerpuzzle game Despite it having the same name as the Wii PlayStation 3 and Xbox 360 versions it has a completely different story and landmarks It is set just after de Blob but before the home consoles version of de Blob 2,Missing,Missing,10.84,17.78,22.23,70.0,42.0,46.0
1296604800,173086,Jet Force Gemini Trainer and Co-Op Hack,[4],[5],Jet Force Gemini Trainer and CoOp Hack is a mod for Jet Force Gemini which adds cheats and support for coop multiplayer for up to 4 players,Missing,Missing,nan,nan,nan,nan,nan,nan
1297296000,105066,Dengeki Gakuen RPG: Cross of Venus Special,[20],[12],Its an enhanced remake produced in commemoration of the fifteenth anniversary of ASCII Media Works light novel imprint Dengeki Bunko    The player assumes the role of an unnamed protagonist attending Dengeki Academy who stumbles into a fight between heroines from Dengeki Bunko novel worlds and the evil organization Zetsumu The realitybased world of Dengeki Academy and the novel worlds have become connected and the player is able to help the Dengeki Bunko heroines fight the Zetsumu by going between the worlds,Missing,Missing,nan,nan,nan,nan,nan,nan
1298332800,85444,Tincan! Escape,[20],Missing,Plot your strategy and put your plan in action in TINcan,Missing,Missing,nan,nan,nan,nan,nan,nan
1297641600,85328,Panda Craze,[159],Missing,Guide TikLing the panda through caves forests mountains and deserts on the way to her home the bamboo forest,Missing,Missing,nan,nan,nan,nan,nan,nan
1298851200,85270,Magnetic Joe,[159],Missing,Take control of Magnetic Joe everyones favorite little magnetic sphere,Missing,Missing,nan,nan,nan,nan,nan,nan
1297987200,85131,Faceez: Monsters!,[159],Missing,Faceez is back and this time you will have a whole raft of new features at your disposal to help scare your friends with some ghoulish pictures,Missing,Missing,nan,nan,nan,nan,nan,nan
1298246400,84830,Remote Racers,[159],Missing,Select one of eight vehicles Speeder Monster Candy Dozer Tank Stunt Mantis and Rocket,Missing,Missing,nan,nan,nan,nan,nan,nan
1297987200,84792,Puzzle to Go Planets and Universe,[159],Missing,Puzzle to Go Planets and Universe is the jigsaw puzzle for people on the move,Missing,Missing,nan,nan,nan,nan,nan,nan
1298246400,84758,Arctic Escape,[159],Missing,Take control of a bunch of penguins that are always getting into all sorts of trouble,Missing,Missing,nan,nan,nan,nan,nan,nan
1298246400,84649,G.G Series: Drift Circuit,[159],Missing,Use your drifting technique to gracefully slide past the competition,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1298851200,84624,My Little Restaurant,[159],Missing,Welcome to My Little Restaurant Get in here and turn this place from a small diner into a crowded eating palace,Missing,Missing,nan,nan,nan,nan,nan,nan
1297382400,84606,Model Academy,[159],Missing,You play to advance from being the girl next door to a popular top model,Missing,Missing,nan,nan,nan,nan,nan,nan
1298851200,84602,Monster Buster Club,[159],Missing,Earth is about to be invaded by evil aliens and their first stop is Singletown,Missing,Missing,nan,nan,nan,nan,nan,nan
