,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[10],268101,Super Mario Kart Reversed,[19],Missing,Missing,Missing,,,,,,
1,[8],191911,Driar,[18],Driar is a free homebrew platformgame designed for PAL 50Hz systems but was tested to work well on NTSC 60Hz systems aswell Take control of Driar and collect all the stars on each level to progress The game features 38 levels in total,Missing,Missing,,,,,,
2,Missing,141692,Fishing 3D,[37],Missing,Missing,Missing,,,,,,
3,[14],132110,Mario & Sonic at the London 2012 Olympic Games,[37],The 3DS version of Mario  Sonic at the London 2012 Olympic Games has some key differences from the Wii version While it shares many events it has more It also features an exclusive Story Mode The protagonists from the Mario and Sonic series team up to defeat Bowser and Dr Eggman who along with their underlings have taken over London There are different parts to the story depending on the character played The player must win events against the antagonists Playable characters consist of all 20 playable characters from the previous installments Nintendo DS version and are split into five groups of four,Missing,Missing,7.66,10.59,17.98,66.0,83.0,30.0
4,[9],85197,iSpot Japan,[159],iSpot Japan takes you on a journey across the land of the rising sun explaining facts and curiosities about Japanese culture while you play the classic Spot the Difference game in the countrys most beautiful locations,Missing,Missing,,,,,,
5,Missing,85081,Denpa Ningen no RPG,[37],Missing,Missing,Missing,,,,,,
6,Missing,85005,Box Pusher,[159],There are a whole range of options to make this classic puzzle game even better,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
7,"[2, 9, 31]",84900,Secret Mysteries in London,[37],1920 When a politician is found murdered in the park the local police make the unconventional decision to ask Oscar Gaebelein a young forensic scientist for help Motivated by his desire to prove his value to the investigating team Oscar throws himself head first into the investigation But soon he and his colleagues find out that this first murder is only the beginning of a sinister bread crumb trail,Missing,Missing,,,,,,
8,[31],79261,One Piece: Unlimited Cruise SP2,[37],Monkey D Luffy and his crew continue their journey in this Europeexclusive One Piece game,Missing,Missing,,,,,,
9,[35],65145,3D Game Collection: 55 in 1,[37],55 games in one  loads of fun and plenty of new challenges Discover a huge variety of games set in three atmospheric themes space an idyllic meadow and a pirate bay Marvel at the fascinating 3D animations which make this game collection a special experience,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
10,[9],60481,Jewel Match 2,"[6, 20]",More jewels to match,Missing,Missing,,,,,,
11,"[4, 12, 13, 15, 32, 33]",19814,Dungeon Village,"[6, 34, 39, 48, 49, 130, 169]",Welcome to an epic RPG world in which the town you build can grow from humble hamlet into a mecca for the lands most ambitious adventurers  The enterprising warriors that stop by your blossoming burg will defeat monsters and earn you money Conquering dungeons and clearing out hordes of monsters will bag you loot to stock your shops And if your hamlet flourishes adventurers will want to set up house and settle down  Build training facilities like Combat Schools and Magic Labs to hone your heroic denizens skills and boost your villages Popularity The more faces that flock to your cause the bigger the baddies you can beat  An allnew Cauldron feature also allows you to test your alchemic expertise Toss items obtained from quests or shops into the Cauldron and your armory might receive a rare addition  No dungeon is too deep Make your village the crown estate of this bold RPG narrative,Missing,Missing,8.87,11.26,14.29,72.0,16.0,22.0
12,"[5, 15, 31]",21073,Metal Gear Solid: Snake Eater 3D,[37],Metal Gear Solid Snake Eater 3D is a stealth action game for the Nintendo 3DS It is a rerelease of Metal Gear Solid 3 Snake Eater The game was released on February 21 2012 in North America and on March 8 2012 in Japan and Europe It is also the first Metal Gear game to be released on a Nintendodeveloped portable system since Metal Gear Ghost Babel back in 2000 A digital download version was released in Japan via the Nintendo eShop function on the Nintendo 3DS on December 16 2014 exactly a decade after the initial release of the original title The download includes a Snake Eater theme which included a FOX logo wallpaper the theme song for the game cursor sound effects from the Metal Gear series and folders modeled after the cardboard boxes from the series Both the digital download for the game itself as well as the 3DS theme were later released in both Europe and North America on December 18 with the game itself costing 1999 A patch was released a day later to fix a glitch occurring in the WIG area that freezes the game and corrupts save data when using the Circle Pad Pro,97.97405499563601,Missing,17.01,22.11,28.33,85.0,81.0,102.0
13,"[2, 9, 31, 34]",6614,Zero Escape: Virtue's Last Reward,"[6, 37, 46]",The second game in the Zero Escape series Zero Escape Virtues Last Reward is a mysterythriller visual novel It is story focused with multiple endings that use player choices and puzzle rooms to progress  Additions to the game include an autoadvance text mode so players can listen to the voice acting without clicking through dialog a memo function that allows players to note anything they feel is useful and a flow chart that shows how alternate choices unfold The ingame calculator has been removed,88.09756283770751,He awoke in an elevator  Across the room was a strange girl hed never met before even though she seemed to know him  Sigma  How do you know my name he asked but before she could answer a rabbit appeared This elevator is about to fall  Sigma and the girl left the elevator only to find themselves in a massive room with seven other strangersnine people in all  The strange rabbit told them that they would have to play the Ambidex Gamea game of betrayal  The penalty for losing was death  Could these nine strangers trust one another long enough to escape their prison alive,27.73,34.7,36.04,87.0,687.0,990.0
14,"[8, 9, 32]",5893,Tales from Space: Mutant Blobs Attack,"[3, 6, 9, 12, 14, 46, 130]",Tales from Space Mutant Blobs Attack is a scifi puzzleplatformer of cataclysmic proportions Youre a Blob of alien origin with mutant powers and an insatiable appetite To the great horror of your former captors and all of humanity you have escaped into the world,80.85383831229393,Missing,3.77,4.82,7.2,73.0,134.0,173.0
15,"[7, 12]",6902,Theatrhythm Final Fantasy,"[37, 39]",Theatrhythm Final Fantasy features a hybrid of music rhythm gameplay with RPG elements Adorably redesigned heroes from the catalogue of FINAL FANTASY titles will set out on an adventure to combat memorable villains with the rhythmic taps of the players stylus,79.88391798159934,Missing,6.19,22.37,55.33,80.0,168.0,201.0
