,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[8, 31]",247183,'The,[19],Mario goes on another quest to save the kingdom What obstacles will he be facing this time,Mario goes on another quest to save the kingdom What obstacles will he be facing this time  the also known as Coronation Day is a Horror themed Super Mario World ROM Hack released in January 2016 The hack features Mario in a forest like environment with various messages coming from a strange disembodied voice but theres something more to it than that,Missing,,,,,,
1,"[9, 15]",147957,Slice It!,[37],Missing,Braintickling geometric puzzles are the name of the game with Slice It Use the stylus to draw straight lines through a shape to make smaller identical shapes within a limited number of tries Easy to learn but hard to master become one with your stylus to cut those extra tricky shapes down to size Variety is the slice of life with hundreds of different stages to slice through Special themes music and other unlockables keep you coming back for more Japanese styled theme will be available as an original bonus for the Nintendo 3DS version Developed by Arc System Works and COM2US,Missing,0.0,0.0,0.0,45.0,2.0,0.0
2,[35],118741,Tarot Readings Premium,"[6, 34, 48, 130, 167]",Missing,Use our tarot reading cards adviser to learn about your future and fate,Missing,,,,,,
3,[9],114133,Marble Power Blast,"[34, 48, 130]",Missing,Play Marble Power Blast a Match3 Bubble shooter game Get beautiful HD backgrounds in 50 levels and 7 different locationsthemes Unlock the shuffle gaming mode and generate your own levels with random calculated difficulty marble waves length and number of colors,Missing,,,,,,
4,[33],99762,Arcade Archives: Bubble Bobble,"[48, 130]",Missing,Arcade Archives Bubble Bobble is a port of the action game Bubble Bobble Players control the twin Bubble Dragons that are called Bubblun and Bobblun and travel through one hundred different stages The game became popular and led to a long series of sequels and spinoffs The main goal of the game is to rescue their girlfriends from the Cave of Monsters,Missing,,,,,,
5,[13],85341,Pet Inn 3D,[37],Missing,Become the manager of a hotel for cats and dogs and take care of your pets,Missing,,,,,,
6,"[5, 13]",84909,RV-7 My Drone,[37],Missing,At some point on the news or in documentaries weve all seen the different applications that these devices have from humanitarian to military,Missing,,,,,,
7,[13],84716,My Pets,[37],Missing,Take care of pets at your home,Missing,,,,,,
8,[15],41759,Crazy Train,[159],Missing,The player is a lineman for the Crazy Train railroad The player has to switch the tracks before the train derails or crashes Further more the player must avoid enemy trains and try to get them crash headon,Missing,,,,,,
9,"[13, 15]",17003,Romance of the Three Kingdoms XIII,"[6, 48, 130]",Missing,The ultimate depiction of the Three Kingdom A heroic drama of a gathering of Legends Based on this concept for Romance of the Three Kingdoms 13 we have compiled an experience that will immerse the player deep into the historically turbulent world of the Three Kingdoms with human drama seen through daily interactions both on the battlefield and off between the many heroic characters of the time all playable spectacular battles shown in majestic battle scenes dynamism expressed across the great land of China in full 3D as each character plots and battles to expand their territory and much more  Players will become one of the heroes that lived during the time of the Three Kingdoms and through their actions and decisions will forge their own unique history in that turbulent yet period,Missing,48.0,0.0,0.0,68.0,5.0,1.0
