first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1415836800,51139,Captain Toad: Treasure Tracker - Special Edition,"[41, 130]",Explore over 70 tricky sandboxstyle levels in Captain Toad Treasure Track down the Power Stars by yourself or have a friend join you for the adventure in twoplayer coop  The Special Edition includes  The Game  Toad Amiibo,"[8, 9]",Playing as Captain Toad you get to solve puzzles to save Toadette  who was abducted by a big bird Later in the game the roles are reversed  The Super Mario series Toad amiibo will unlock a bonus game on almost every course where the player has to find Pixel Toad Any other amiibo will give the player a 1Up Mushroom or randomly two 1Up Mushrooms,Missing,nan,nan,nan,nan,nan,nan
1415232000,50966,Planes: Fire & Rescue,[37],Help Dusty and his fearless fighters battle massive fires and learn what it takes to become a true hero Battle fires and save lives in over 30 Fire  Rescue Missions Protect Piston Peak Park with eight playable characters including Dusty Lil Dipper and Blade,[31],Missing,Missing,4.58,0.0,0.0,20.0,1.0,1.0
1416873600,50738,Penguins of Madagascar,"[5, 37, 41]",Help Skipper Kowalski Rico and Private defeat Dr Octavius Brines plan for world domination  Game Features  Go on stealth operations in topsecret locations from the movie and beyond Master each Penguins unique skill like Ricos Explosive Slide and Skippers Stun Slap Solve puzzles crack codes and hunt for Cheezy Dibbles,[8],Missing,Missing,3.12,7.6,0.0,50.0,2.0,2.0
1415145600,48561,Mother 25th Anniversary Edition,[18],Mother 25th Anniversary Edition,"[12, 31]",Missing,Missing,8.49,0.0,0.0,83.0,3.0,3.0
1415232000,44006,I Love my Horse,[37],Raise your horse and win all the competitions  Open your own horse resort then raise and train your horse to win the agility racing and showjumping competitions Can you train the greatest champion  Look after the horses placed in your care and keep them happy and in good health through a variety of available activities Feed them brush them care for them and pet them,[31],Missing,Missing,nan,nan,nan,nan,nan,nan
1415664000,35243,Hello Kitty and Sanrio Friends Racing,"[6, 37]",Come and join Hello Kitty with her best friends in this actionpacked Family Racing Party never before available on Steam,"[10, 14]",Missing,Missing,0.74,1.08,2.0,28.0,4.0,5.0
1417305600,31472,Revenant Saga,"[6, 9, 14, 34, 41, 46, 48, 49, 130]",Become a Revenant and find the truth beyond revenge in this gothic fantasy RPG with stunning 3D battles Boasting a story that blurs the lines between good and evil a refined 3D battle system and plenty of content to go around this is one title not to be missed,"[12, 13, 15, 31, 32]",Missing,Missing,14.81,18.58,21.34,57.0,6.0,10.0
1417046400,14709,Etrian Odyssey 2 Untold: The Fafnir Knight,[37],The Fafnir Knight is the second game in the Untold series which are to be remakes of the original Etrian Odyssey games The games are first person RPG dungeon crawlers where you create a map of the labyrinth as you explore and complete quests  The game features two game modes The story mode has a premade party with a more indepth story that has voice acting and animated cutscenes and a classic mode customize a party of 5 to explore the Yggdrasil labyrinth  The game also has some DLC that was free the first week of its release for those who had the game the first month The DLC is available in individual parts for 13 dollars It costs a total of 23 US or 30 Canadian for all the DLC,"[12, 31]",Missing,90.19859524788744,42.78,56.53,88.38,82.0,41.0,46.0
1415059200,41595,BioShock Infinite: The Complete Edition,"[6, 9, 12, 14, 48, 49, 130]",BioShock Infinite The Complete Edition is a rerelease of BioShock Infinite including all its downloadable content exclusively for Xbox 360 and PlayStation 3 platforms,"[5, 31]",Missing,89.71714257155182,nan,nan,nan,nan,nan,nan
1417046400,8254,Resident Evil,"[6, 9, 12, 48, 49, 130]",The hugely popular Resident Evil series returns to its roots with a remastered version of the critically acclaimed masterpiece Resident Evil The story takes place in Raccoon City players will choose to take on the role of either STARS Special Tactics and Rescue Service team member Chris Redfield or Jill Valentine who have been sent into the city to find the missing Bravo team When the team is suddenly attacked by a ferocious group of mutated dogs desperate for an escape they take shelter in the Mansion but will they ever get out alive again Players will need to be brave as they adventure through the dark enclosed spaces searching out the horrors that await them With limited ammo and survival items available gamers will need to keep their wits about them to survive the various traps and puzzles that greet them at every stage,"[5, 31]",On July 24 1998 a series of bizarre murders occur on the outskirts of the Midwestern town of Raccoon City The Raccoon City Police Departments Special Tactics And Rescue Service STARS are assigned to investigate After contact with Bravo Team is lost Alpha Team is sent to investigate their disappearance Alpha Team locates Bravo Teams crashed helicopter and land at the site where they are attacked by a pack of monstrous dogs killing one of the team After Alpha Teams helicopter pilot Brad Vickers panics and takes off alone the remaining members Chris Redfield Jill Valentine Albert Wesker and Barry Burton seek refuge in an abandoned mansion where they split up  The player character Chris or Jill finds several members of Bravo Team including Kenneth J Sullivan being eaten by a zombie Richard Aiken who is either killed by a giant venomous snake or eaten by a shark Forest Speyer who is found dead and revived as a zombie and Bravo Team leader Enrico Marini who reveals that one of Alpha Teams members is a traitor before being killed by an unseen shooter Bravo Team survivor Rebecca Chambers joins Chris The player character learns that a series of illegal experiments were undertaken by a clandestine research team under the authority of a biomedical company Umbrella Corporation The creatures roaming the mansion and its surrounding areas are the results of these experiments which have exposed the mansions personnel and animals to a highly contagious and mutagenic biological agent known as the Tvirus  The player character discovers a secret underground laboratory containing Umbrellas experiments There they find Jill or Chris in a cell and encounter Wesker programming a Tyrant a humanoid bioweapon Wesker reveals that he is a double agent working for Umbrella and plans to use the Tyrant to kill the STARS members In the ensuing confrontation Wesker is apparently killed and the player character defeats the Tyrant After activating the labs selfdestruct system the player character reaches the heliport and contacts Brad for extraction The ending changes depending on the players actions at key points in the best ending the surviving team members escape by helicopter after defeating the Tyrant again in the worst ending the mansion remains intact and the player character is the sole survivor,87.66391349358102,11.25,13.38,20.54,87.0,427.0,351.0
1415059200,7789,The Binding of Isaac: Rebirth,"[3, 6, 14, 37, 39, 41, 46, 48, 49, 137]",The Binding of Isaac Rebirth is a top down procedurallygenerated roguelike game remade based on the original game The Binding of Isaac You play as Isaac a little boy who is chased to the basement by his mother who intends to kill Isaac for her savior You explore different levels collect items and try to defeat your mother and whatever other evil awaits you If you die you restart with none of your items you collected and you must explore the basement and beyond again,"[5, 9, 12, 31, 32, 33]",Missing,87.2651588224773,5.33,88.64,298.79,85.0,620.0,503.0
1415664000,18967,Valkyria Chronicles Remastered,"[6, 48, 130]",Valkyria Chronicles is a tactical roleplaying game developed and published by Sega for the PlayStation 3 in 2008 A Microsoft Windows version was released on November 11 2014 A remastered version for PlayStation 4 was released in Japan on February 10 2016 with a Western release planned for May 2016 Both PC and PS4 versions include previously released DLC  The game is set in fictional Europa loosely based on Europe during the early years of World War II Because of its abundance of Ragnite ore which takes the place of petroleum in the game setting the neutral nation of Gallia comes under attack from the East Europan Imperial Alliance which is itself engaged in war with the Atlantic Federation Players take control of a unit of the Gallian Militia dedicated to repelling the invasion The games visuals which use Segas CANVAS graphics engine resemble pencil drawn paintings in motion,"[12, 15, 16, 24]",In the year 1935 EC the continent of Europa is dominated by two superpowers The autocratic East Europan Imperial Alliance in the east and a commonwealth of loosely allied democracies known as the Atlantic Federation in the west The economies of both powers depend on a precious multipurpose mineral called Ragnite Its growing scarcity results in the Empire declaring war on the Federation sparking the Second Europan War The Empire uses its military superiority to quickly put the Federation on the defensive Emboldened by their progress and momentum the Empire decides to invade the neutral Principality of Gallia in order to seize its rich Ragnite deposits  When Imperial forces launch an attack on the Gallian border town of Bruhl Welkin Gunther son of late Gallian national hero General Belgen Gunther is forced to fight for his life alongside the town watch captain Alicia Melchiott Together with Welkins adopted sister Isara and using Belgens prototype tank from the first war the Edelweiss they escape to Gallias capital Randgriz and subsequently join the countrys militia forces Welkin is given the rank of lieutenant and assumes command of the newlyformed Squad 7 with Alicia acting as his noncommissioned officer Initially members of the squad question Welkins qualifications due to a lack of combat experience however he quickly earns their trust and loyalty with his tactical genius Welkin and Alicia soon become romantically engaged,86.65539252274738,nan,nan,nan,nan,nan,nan
1416873600,6707,Tales from the Borderlands,"[6, 9, 12, 14, 34, 39, 48, 49, 130]",Tales from the Borderlands is a five part episodic game series Set on the unforgiving world of Pandora after the events seen in Borderlands 2 this is a story full of Borderlands trademark humor following two adventurers on their quest for greatness,"[2, 9, 31]",Youll play as Rhys a Hyperion suit with dreams of being the next Handsome Jack and Fiona a Pandoran con artist looking to score her biggest ever swindle Thrown together as unwilling partners in an adventure to recover cash they both think is theirs their journey will take you on a wild ride where gangsters bandit lords and Vault Hunters are just some of the obstacles youll encounter in this new take on the awardwinning universe created by Gearbox Software,85.58487079174627,10.58,11.06,11.56,83.0,1092.0,1404.0
1416528000,6897,Pokémon Omega Ruby,[37],During your adventure you will battle Team Magma in Pokémon Omega Ruby and Team Aqua in Pokémon Alpha Sapphire Team Magma seeks to increase the land while Team Aqua wishes to increase the seas In order to bring about these grand plans each will turn to the power of a Legendary Pokémon Groudon or Kyogre Team Magma pursues Groudon while Team Aqua goes after Kyogre What could be driving them to such lengths,"[12, 15, 16, 31]",Missing,82.60828912465753,nan,nan,nan,nan,nan,nan
1416528000,6898,Pokémon Alpha Sapphire,[37],During your adventure you will battle Team Magma in Pokémon Omega Ruby and Team Aqua in Pokémon Alpha Sapphire Team Magma seeks to increase the land while Team Aqua wishes to increase the seas In order to bring about these grand plans each will turn to the power of a Legendary Pokémon Groudon or Kyogre Team Magma pursues Groudon while Team Aqua goes after Kyogre What could be driving them to such lengths,"[12, 15, 16, 31]",Missing,80.85010566599959,nan,nan,nan,nan,nan,nan
1415577600,8596,Elliot Quest,"[3, 6, 37, 41, 48, 49, 130]",Elliot Quest is an adventureRPG where players explore the mysterious Urele island in search of an ancient demon With 5 dungeons to conquer 16 bosses to defeat and countless treasures to discover and hidden areas Wellbalanced gameplay easy to pick up but challenging to master,"[8, 12, 31, 32]",Missing,79.0,13.8,16.9,19.75,68.0,16.0,17.0
1415318400,20054,Ultimate NES Remix,[37],Take on a rapidfire onslaught of challenges and mashups from 16 of Nintendos finest 8bit games Test your skills on a gauntlet of quick tricky challenges and remix stages that combine parts of different games The best mix of titles from the NES Remix and NES Remix 2 games is on Nintendo 3DS Now youre playing with PORTABLE power  Link vs Donkey Kong Kirby vs Boo Its mashup mania in this celebration of all things NES Race through to earn stars on increasingly tough tasks like beating Ridley from Metroid or making Princess Peach save herself Compete in Championship Modes blitz of challenges from the Super Mario Bros Super Mario Bros 3 and Dr Mario games then compare scores with others in your region via online leaderboards  Features actionpacked challenges from 16 classic 8bit Nintendo games Dominate exciting chunks of retro Nintendo games from NES Remix such as Super Mario Bros The Legend of Zelda Excitebike and Donkey Kong Challenges from NES Remix 2 include bitesized chunks of Super Mario Bros 3 Zelda II The Adventure of Link Metroid Kid Icarus and Kirbys Adventure among many others Test your skills in a series of altered 8bit challenges and improve your times to unlock more challenges Take on 3 unique challenges from the Nintendo World Championships and Nintendo Campus Challenge then check your score on online leaderboards to see how you stack up Connect to the Nintendo eShop to download full versions of your favorite classic games,[33],Missing,78.0,7.79,12.83,17.06,71.0,47.0,62.0
1416355200,9531,Gems of War,"[6, 34, 39, 48, 49, 130]",From the creators of Puzzle Quest play the new PuzzleRPGStrategy mashup GEMS OF WAR Match gems to power your spells and match skulls to smite your enemies Its easy to learn yet has tons of depth,"[9, 12, 15, 31]",Missing,75.86976828179186,91.15,139.38,3000.0,63.0,18.0,9.0
1415664000,8194,Tetris Ultimate,"[6, 37, 46, 48, 49]",Tetris Ultimate has six exciting modes fun new features and unique visuals the evolution of this iconic game is the ultimate musthave on nextgen consoles,[9],Missing,75.02878559181408,0.78,0.0,40.0,65.0,17.0,4.0
1416441600,77772,Battleminer,[37],In a world taken over by Ants the player must find resources and craft items in order to rescue the Survivors,[31],Missing,73.0,0.0,11.05,0.0,0.0,0.0,1.0
