first_release_date,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1522713600,255377,Lego Worlds Showcase Collection #1,[130],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1524700800,238259,Gear.Club Unlimited: Premium Cars Pack,[130],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1524700800,238247,Gear.Club Unlimited: Limited Edition Cars Pack 1,[130],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1524614400,230109,Splatoon 2: Version 3.0.0,[130],[5],Version 300 of Splatoon 2  Changes  Major content update Players can talk to Callie in Octo Canyon More than 100 new gear items New rank Rank X Two new music tracks Adjustments and bug fixes for multiplayer Salmon Run and Spectator Mode Balance adjustments for weapons and abilities,Missing,Missing,nan,nan,nan,nan,nan,nan
1524700800,227429,Doukoku Soshite...,"[46, 48, 130]","[31, 34]",Remastered version of the 1998 Sega Saturn game featuring high resolution art previously unused CGs additional writing by the original scenario writer and implementation of new features like a hint mode,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1524700800,220942,Class of Heroes: Anniversary Edition,[130],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1524528000,201267,Quickie World,[19],[8],Quickie World is a ROM hack of Super Mario World created by Valdio The hack features custom music and custom blocks but contains no secret exits Hence the name Quickie each level is short but full of various Kaizo tricks  A sequel titled Quickie World 2 was released on March 8 2019,Missing,Missing,4.0,0.0,5.4,85.0,2.0,4.0
1523318400,200426,Attack on Titan 2: Singular Target,[130],Missing,A new episode Singular Target is added to the Daily Life section in Story Mode and as a Scout Mission in Another Mode,Missing,Missing,nan,nan,nan,nan,nan,nan
1523923200,171698,Attack on Titan 2: A Titan Worth a Thousand,[130],Missing,A new episode A Titan Worth a Thousand is added to the Daily Life section in Story Mode and to the Scout Missions in Another Mode,Missing,Missing,nan,nan,nan,nan,nan,nan
1523923200,171696,Attack on Titan 2: Skill Demonstration,[130],Missing,A new episode Skill Demonstration is added to the Daily Life section in Story Mode and to the Scout Missions in Another Mode,Missing,Missing,nan,nan,nan,nan,nan,nan
1522713600,171694,Attack on Titan 2: White Out,[130],Missing,A new episode White Out is added to the Daily Life section in Story Mode and to the Scout Missions in Another Mode,Missing,Missing,nan,nan,nan,nan,nan,nan
