,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
22,63075,AKB48+Me,[37],"[7, 13]",A 3DS rhythm and simulation game where the player tries to join the Jpop group AKB48 or manages them in sim mode,Missing,Missing,,,,,,
23,59206,Drop Zone: Under Fire,"[5, 37]",[5],A Teyon developed rail shooter released across both WiiWare and the Nintendo 3DS eShop,Missing,Missing,,,,,,
24,47657,Sherlock Holmes and the Mystery of the Frozen City,[37],"[9, 31]",When a mysterious snowstorm falls on London so cold that even the Thames is starting to freeze Sherlock Holmes the most astute detective of all time is called in to investigate Explore amazing environments meet and interrogate many colorful characters and examine objects and clues in order to discover the evidence that will help solve this incredible case Many original puzzles and brainteasers will put your skills to the test during your investigation while you unveil the truth behind the Mystery of the Frozen City,Missing,Missing,6.07,0.0,0.0,50.0,1.0,1.0
25,47640,Lalaloopsy: Carnival of Friends,[37],Missing,Peanut Big Top is throwing the biggest Silly Funhouse carnival in Lalaloopsy Land for all to enjoy including a special treat at the end Its up to you to find all of the Lalaloopsy friends at the carnival to reveal the BIG surprise,Missing,Missing,,,,,,
26,44444,Super Road Blaster,[19],"[9, 10]",As with other laserdiscbased arcade games from the same time the gameplay consists of onscreen instructions overlaid over prerecorded full motion video animated footage of highspeed chases and vehicular combat The player controls the crosshair to steer their car toward the correct directions according to the green arrows flashing and beeping beside it while controlling the gas pedal brake and booster whenever they light up  The game has nine stages Upon successfully completing a level the player is graded on the reaction time Different difficulty levels can be selected In Normal Mode popup icons and audio tones signal when to turn left or right brake hit turbo or hit other cars In Hard Mode there are no onscreen icons to guide the player  The Snes version is a unofficial port that star releasing beta versions on 2011 However the game does not run on a stock SNES It relies heavily on the MSU1 Media Enhancement Chip a somewhat new chip which allows 4GB of additional storage space full motion video playback and stereo PCM audio,Missing,Missing,,,,,,
27,25166,Winx Club: Magical Fairy Party,[20],[9],Girls will embrace the magic within and discover their inner fairy in Winx Club Magical Fairy Party through the enchanting story and exciting minigames filled with fairies fashion friendship and pets that fans love Fans can star in the game as their own fairy interact with their favorite show characters and enroll in the enchanting Alfea School They will form new friendships perform spells and plan unforgettable events that include a wondrous ball,Missing,Missing,,,,,,
28,23586,Wreck-It Ralph,"[5, 20, 37]",[8],As a story extension to the highly anticipated upcoming blockbuster film of the same name from Walt Disney Animation Studios the WreckIt Ralph video game is set to inspire a whole new generation of young gamers as a classic arcadestyle side scroller featuring Ralph  the misunderstood villain of his own arcade game who sets out to prove he can be a hero too Debuting this fall tied to the movie release WreckIt Ralph will bring all the fun from the big screen right into the living room for the Wii system from Nintendo and the Nintendo 3DS and Nintendo DS handheld systems,Missing,Missing,2.1,2.79,6.1,48.0,6.0,5.0
29,21042,Spy Hunter,"[37, 46]","[5, 10]",Spy Hunter is a vehicular combat racing game developed by TT Fusion published by Warner Bros Interactive Entertainment and released for the PlayStation Vita and Nintendo 3DS The game was the second reboot of the Spy Hunter series following the first reboot of the franchise in 2001,Missing,Missing,4.4,4.87,0.0,66.0,15.0,12.0
30,19928,Crashmo,[37],"[8, 9]",Crashmo also known as Fallblox is the sequel to Pushmo and is available for the 3DS eShop,Missing,Missing,10.32,23.38,23.47,70.0,22.0,20.0
31,9752,The Trash Pack: The Gross Gang in Your Garbage,"[20, 37]",[31],Taking out the trash has never been so much FUN,Missing,Missing,,,,,,
32,7951,Imagine: Babies 3D,[37],[13],Imagine is introducing a 3D baby simulation game where players can interact with the most truetolife babies yet As a babysitter players travel the world caring for babies and helping them grow keeping both the babies and their parents happy in order to build their reputation and ultimately open their own dream day care business Experience the life of a successful babysitter with incredibly lifelike 3D visuals animations and baby reactions,Missing,Missing,,,,,,
33,7950,Imagine: Fashion Life,[37],[13],Imagine Fashion Life introduces a brandnew ultrarealistic fashion game on the Nintendo 3DS system where players can experience three fabulous fashion careers fashion design modeling and mall owner The 3D game features highquality realistic graphics and allows players with a love of all things fashion to truly unleash their creativity and business savvy Players can create original outfits and organize fashion shows as a fashion designer As a top model players can pose for glamorous photo shoots and set the catwalks ablaze with perfect runway walks As a successful mall owner players can open and arrange stores decorate the mall promote the trendiest cosmetics and fashion brands in stores and manage their budget to create a worldclass mall,Missing,Missing,,,,,,
34,7437,Hello Kitty: Picnic with Sanrio Friends,[37],"[13, 31]",Hello Kitty Picnic with Sanrio Friends invites players to join Hello Kitty and Sanrio friends as they prepare for a picnic adventure Play 10 minigames including Hidden Object Spot the Difference and Picnic Blanket Checkers to collect goodies for the party Explore and decorate whimsical environments including Hello Kittys bedroom kitchen and more Along the way earn apples to receive special outfits and accessories for Hello Kitty Interact directly with Hello Kitty using the 3DS touch screen and listen as the game guides you along Invite your friends to join the fun in a variety of multiplayer modes as you play with your favorite Sanrio characters including My Melody Keroppi Chococat BadtzMaru Little Twin Stars and many more,Missing,Missing,,,,,,
35,6904,Top Trumps: NBA All Stars,"[20, 37, 38]",[15],Top Trumps NBA All Stars is a Basketball game published by Giant Media Group which was released in 2012,Missing,Missing,,,,,,
