,genres,id,name,platforms,summary,main,extra,completionist,review_score,review_count,people_polled
0,"[5, 25]",93641,Hexen,[4],The Nintendo 64 version developed by Software Creations retains all of the graphical quality and scenery architecture has a consistent frame rate and includes high detail and smooth filtering  This version also has fourplayer splitscreen cooperative and deathmatch modes although they must be played in low detail mode Due to cartridge storage limitations the Nintendo 64 version is based on the original PC floppy version and lacks the FMV scenes and Redbook audio music introduced in the CDROM version although it has new narrative introductions to the levels,10.25,10.65,11.63,72,74,64
1,"[15, 35]",44036,Mahjong 64,[4],Mahjong 64 is a Mahjong simulation game released only in Japan in 1997,0.0,0.0,0.0,0,0,0
