first_release_date,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1246320000,[8],269874,Mega Man in Super Mario Bros.,[18],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1244678400,Missing,269816,Eikoh Seminar Koushiki DS Kyouzai: Koukou Eitango - Eitan Zamurai DS,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1245974400,Missing,269714,Le Bescherelle Pratique,[20],A french edutainment game,Missing,Missing,nan,nan,nan,nan,nan,nan
1245974400,Missing,269637,Ico Soccer,[20],Ico Soccer is a brand new way to play soccer on your Nintendo DS  Touchbased gameplay guide your players with the Nintendo DS Stylus  Icons every action is based on the use of icons for complete control  Formation and tactics dive deep into team management,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1245283200,Missing,269558,Asonde Igo ga Sara ni Tsuyokunaru: Ginsei Igo DS Chuukyuuhen,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1245974400,[8],268099,SMW2+3: The Essence Star,[19],After shipwrecking in a strange land Mario is on the journey to collect the five shards of the Essence Star said to benefit the world through peoples actions If it falls into the hands of evildoers though  SMW23 The Essence Star is an advanced romhack featuring detailed storytelling a shop system and several surprises,Missing,Missing,nan,nan,nan,nan,nan,nan
1244505600,Missing,259229,Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama!,[20],Step into the world of Johnny Bravo the most wellknown stud in cyberspace Compete against other rivals in various events to win a coveted date with a sultry siren on the ultimate dating show the HukkaMegaMightyUltraExtreme DateORama Will you emerge victorious and capture the heart of the lovely lady,Missing,Missing,nan,nan,nan,nan,nan,nan
1245024000,[9],252679,Sightseeing Puzzle: Echter Puzzlespass für Unterwegs,[20],Solve puzzles of interesting places on the world in different modes to collect stars and to unlock more images,Missing,Missing,nan,nan,nan,nan,nan,nan
1245024000,[9],252656,Underwater Puzzle: Echter Puzzlespass für Unterwegs,[20],Solve puzzles of underwater creatures in different modes to collect stars and to unlock more images,Missing,Missing,nan,nan,nan,nan,nan,nan
1246320000,Missing,243025,Neighbours from Hell,[20],Missing,Missing,Missing,3.4,4.0,5.42,75.0,98.0,78.0
1246320000,Missing,166354,Harry Potter and the Half-Blood Prince,"[20, 38]",The PSP and NDS versions are not a direct linear adaptation of the movie but instead take the player through a larger universe of the series with many unrelated characters and tasks eventually furthering the story through cutscenes At Hogwarts Harry the sole character controlled by the player has to perform many quests for other students such as stopping bullies collecting ingredients or even finding back Lunas accessories that have disappeared Hogwarts can be explored freely and quests are triggered through cutscenes or by talking to other characters These are stored in a Remembrall log where names or characters can be highlighted to find their location on the map,Missing,Missing,5.03,7.98,14.11,65.0,126.0,87.0
