first_release_date,id,name,platforms,genres,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1146009600,272090,Angelique Duet,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1144368000,248536,Tomb Raider: Legend,"[8, 11, 21]",[31],Heroine Lara is searching for a South American relic but her adventure takes a different course when rogue anthropologist Amanda Evert shows up Presumed dead along with a team of graduate students after an accident in a tomb in Peru where Lara was the only one to escape Amanda is back with a score to settle as they both race along with the shady James Rutland Jr to obtain an ancient artifact Many other characters both friends and foes will stir things up The story takes Lara through locations all over the world from the Himalayas to Ghana Kazakhstan Bolivia Japan and England including her famous mansion filled with secrets and collectibles Aside from current events Laras past is also revealed through flashbacks Among other things you will get to know how she lost her mother and why it is such a burden,Missing,Missing,7.19,9.05,15.22,72.0,525.0,599.0
1145491200,124108,Tsubasa Chronicle Vol. 2,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1144281600,92877,Tropix!,"[6, 20]","[9, 33]",Tropix is a unique blend of eleven different games all set within a sunny island paradise The game combines many classic gameplay ideas in one title delivering a large amount of variety and keeps the game experience fresh  The eleven games are all linked to a central theme  collecting sand dollars to enable you to travel to new islands buy toys and food for your Tamagotchistyle monkey and unlock even more games to play  Each mini game offers the player a different gameplay experience These are some of them  Puffer Popper With help from Crab the player must defend the sand castle by destroying bubbles as they snake towards the beach  A classic and instantly playable concept Puffer Popper requires the player to connect three bubbles of the same colour to win Use the left and right joystick or directional pad to aim the beam and press the action button to fire a bubble  The game can be increased in difficulty through the addition of multiple Puffer fish and by potentially removing the players aiming beam  Jungle Jump Jungle jump is a game of timing and skill Use the left and right buttons on the joystick or directional pad to guide the Monkey through increasingly difficult jungle levels  Shell Game The shell game is both a game of skill and observation coupled with a way to win more Sand Dollars Conceptually the Shell Game is extremely simple three shells that swap the user must pick the shell that hides the pearl  Due to the high expense of certain shop items and the cost of purchasing new islands the user can use the Shell Game to win the Sand Dollars required to make these large purchases  Sandoku The classic favorite Sudoku makes the transition to Tropix effectively with intuitive play  Cascade Cascade is a casual concept The game is a variation on the classic objective of connecting three of a kind This type of game can be controlled exclusively via the joystick or directional pad with the addition of the action button to make selections  The overall design is about linking these minigames into a world where you buy things look after a creature travel around and explore For casual gamers Tropix is simple to play and can be played in short bites or in long sessions,Missing,Missing,0.0,0.0,0.0,70.0,1.0,0.0
1145318400,67584,Blades of Thunder II,[20],"[5, 13]",A helicopter flying simulation for the DS with seventeen different missions to fly and shoot a helicopter through  Fly heavily armed helicopter gunships through more than 10 fastpaced actionpacked missions in Blades of Thunder 2 Fight a multiplayer FreeForAll dogfight with up to six players over wireless LAN Plot your attack via touch screen during premission planning stages where you can reinforce posts purchase intelligence armor and engine upgrades,Missing,Missing,1.71,0.0,0.0,0.0,0.0,1.0
1145577600,20527,Paradise,"[6, 20, 39]","[2, 31]",Paradise PC From the creator of the awardwining series Syberia comes Benoit Sokal s fascinating new work Paradise Sokal s latest adventure game masterpiece is set in four different worlds in the heart of darkest Africa From the arid lands of Madargane to the dense jungle of the Maurane river the world is both primitive and contemporary Fraught with political turmoil the lush landscapes are beautiful and dangerousYou play Ann Smith a young woman suffering from amnesia struggling to make her way home and avoid the conflict surrounding her To discover her true identity she must escort a strange black leopard back to the land where it was born Follow Ann through her journey as she finds clues to her identity and unravels the truth behind her mysterious past A benchmark in art direction Benoit Sokal creator of the awardwinning Syberia series contributes his unique vision in 4 visually dazzling worlds with over 360 backgrounds and Rembrandtstyle lighting      Unique Storyline Ann Smith estranged daughter of an African dictator loses her identity and must journey through uncharted Africa to unravel her past and the mysterious existence of her leopard companion  Unique Setting First Adventure game to feature landscapes of Africa as a backdrop    Play as the leopard When day turns to night players become the leopard and move in real time climbing trees leaping boundaries and frightening humans This option adds a realtime element to the traditional point and click gameplay    Puzzle solutions are seamlessly embedded into the story For example players must find a way to speak with the wellguarded prince so they must pose as one of his wives to gain access no gadgets or levers to pull,69.87048968638392,Missing,6.5,6.69,7.0,64.0,9.0,7.0
1145836800,5474,2006 FIFA World Cup,"[6, 8, 11, 21]",[14],Celebrating the 2006 FIFA World Cup Germany  the worlds largest sporting event  2006 FIFA World Cup brings you to the games with the worlds superstar players 12 official stadiums that will be used at 2006 FIFA World Cup Germany and stadiums from each qualifying region Gamers can play as their favorite team from qualification right through to a virtual reproduction of the tournament in Germany  In addition to enabling gamers to participate in the 2006 FIFA World Cup Germany by taking control of one of 127 national teams the game features new compelling modes of play including the Global Challenge that recreates classic moments in FIFA World Cup history Furthermore the game supports up to eightway multiplayer matches and boasts a plethora of ingame unlockable content such as legendary players and exclusive apparel,69.02817158359183,Missing,8.6,14.0,21.23,66.0,19.0,15.0
1144886400,85080,Densetsu no Starfy 4,[20],[8],Densetsu no Starfy 4 is a platforming video game developed by TOSE and published by Nintendo for the Nintendo DS It is the fourth game in the The Legendary Starfy series which first started on the Game Boy Advance As with the other games in the series Densetsu no Starfy 4 features Starfy as the main character He is joined by his sister Starpy and his friend Kyorosuke the clam The three of them help out other undersea creatures and fights numerous villains,67.0,Missing,nan,nan,nan,nan,nan,nan
1146096000,20704,Naruto: Ninja Council 3,[20],"[16, 25]",Naruto Ninja Council 3 is the fourth installment in the Ninja Council series for the Nintendo DS Characterrelated content such as Kimimaro the Sound 4s special attacks and their alternate forms themselves are changed or removed in the international versions The game includes a Naruto CCG card as an added bonus It features a Movie mode which allows players to watch secret techniques In Europe it was released by Nintendo as Naruto Ninja Council European Edition  Naruto Ninja Council 3 has similar gameplay to the last two games in the series The missions take place on a small map The touch screen serves as both a map and as a place to perform different jutsu Animals and ninjas are the typical opponents in the game On certain missions the player has to fight bosses which are usually the antagonists from the series including Ino During missions the player has to defeat the opponent under various conditions eg having the characters health cut in half protecting an ally using a certain move to KO the opponent etc,65.94338996650319,Missing,5.9,8.85,12.21,63.0,13.0,12.0
1145836800,2634,Rampage: Total Destruction,"[5, 8, 21]",[4],Total Destruction features four game modes The first is a campaign in which players work to progressively take out cities around the world King of the City and King of the World are competitive modes where up to four players compete In King of the City players strive to rule a city by dominating the most districts King of the World is a series of King of the City competitions across various cities The fourth mode is a time trial where players must complete all the districts of a city within a time limit,65.4536944906123,Missing,6.11,7.83,0.0,58.0,29.0,8.0
