,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
140,[12],172822,Atelier Sophie 2: The Alchemist of the Mysterious Dream,"[6, 48, 130]",The latest entry in the series follows the beloved alchemist Sophie Neuenmuller shortly after her adventures in 2016s Atelier Sophie The Alchemist of the Mysterious Book,Atelier Sophie 2 The Alchemist of the Mysterious Dream continues the story of Sophie and Plachtas many adventures After leaving Sophies hometown of Kirchen Bell the pair discovers a huge tree identical to one that Plachta had seen in a dream and as they get closer a mysterious vortex pulls them inside Sophie awakens alone in a curious new world called Erde Wiege and its not long before she hears about an alchemist named Plachta that lives on the outskirts of town Shockingly when Sophie arrives at the atelier she meets a young alchemy enthusiast named Plachta and even though the alchemist shares the same name as her friend she doesnt recognize Sophie What other surprises await Sophie on this journey As the adventure continues Sophie meets aspiring alchemist Ramizel Erlenmeyer who willingly agrees to help her in her time of need The narrative elegantly unfolds with a charming new visual style that combines the art of the Mysterious subseries with the highquality graphics and animations featured in 2021s Atelier Ryza 2 Lost Legends and the Secret Fairy,Missing,46.21,54.44,67.16,82.0,44.0,69.0
141,[34],172750,Killer and Strawberry Plus,[130],A story about dealing with various people from the underworld like contract killers smugglers and weapons merchants while solving a multilayered mystery and chasing after the sealed truth  The Switch version includes the same content from the PS Vita version plus a new fullyvoiced episode set after the games true love ending,In a city somewhere in modern day Japan the protagonist Ichigo is drugged put in a case and taken to a certain place When she wakes up she is somewhere normal people cant enter Cafe Tsukikage a cafe where people who deal in illegal business gather  Because it exists in the underworld even the owner and waiter at the cafe are contract killers While Ichigo is wary the owner of the cafe Tsukimi explains that he has accepted a certain request  This request isnt a kill contract its to protect you Thats why we brought you here Once weve taken on this request we will definitely protect you  Because of a certain past trauma Ichigo lost her voice and with no relatives or place to go she half doubtingly accepts a job as a waitress at the cafe  Who on earth is targeting me And who asked these killers to protect me What will  happen to me from now on,Missing,,,,,,
142,"[25, 31]",172433,Touken Ranbu Warriors,"[6, 130]",Touken Ranbu Warriors is an action console game for Nintendo Switch and PC via DMM Game Player,Missing,Missing,19.71,51.67,62.82,80.0,5.0,8.0
143,"[12, 31]",172429,Dying Light 2: Stay Human - Cloud Version,[130],You are a wanderer with the power to change the fate of The City But your exceptional abilities come at a price Haunted by memories you cannot decipher you set out to learn the truth and find yourself in a combat zone Hone your skills as to defeat your enemies and make allies youll need both fists and wits Unravel the dark secrets behind the wielders of power choose sides and decide your destiny But wherever your actions take you theres one thing you can never forget  stay human,The virus won and civilization has fallen back to the Dark Ages The City one of the last human settlements is on the brink of collapse  Over twenty years ago in Harran we fought the virus  and lost Now were losing again The City one of the last large human settlements is torn by conflict Civilization has fallen back into the Dark Ages And yet we still have hope,Missing,,,,,,
144,"[12, 25, 31]",171860,Dusk Diver 2,"[6, 48, 130, 167]",Dragon Vein is a type of special energy that spans throughout all dimensions Kunlun is the homeland of the higher dimensional beings who have developed advanced Dragon Vein technologies The story begins with a girl named Yang Yumo and her classmate Liu Yusha when they accidentally trespassed Youshanding and started an adventure,Missing,Missing,13.7,29.18,29.41,62.0,6.0,8.0
145,"[5, 31]",165054,PowerSlave: Exhumed,"[6, 48, 49, 130, 169]",PowerSlave Exhumed is a KEX Engine port of the classic console game perfectly blending both the PlayStation  Saturn versions,Missing,Missing,,,,,,
146,"[2, 9, 31]",159773,Inua: A Story in Ice and Time,"[6, 39, 130]",Inua is a mystical point  click adventure about three protagonists with intertwined fates living decades apart in the Great North Manipulate their minds and restore the original balance of life,Missing,Missing,,,,,,
147,"[5, 12, 31, 32]",158966,Die After Sunset,"[6, 130, 167, 169]",Die After Sunset is a 3rd person action roguelite shooter with a unique mechanic featuring light and darkness Battle for Earth and travel through time as you defeat hordes of enemies and complete random quests to create the best build possible Can you solve the mystery behind the Murkor invasion,Missing,Missing,0.0,0.0,0.0,55.0,1.0,0.0
148,"[5, 32, 33]",157973,Sophstar,"[6, 48, 49, 130, 167, 169]",A vertical arcade shootem up with an inventive teleport system lots of fastblazing action and explosions tons of boss fights a riskreward based score system and a proper challenge for both veteran and new players of the genre,Missing,Missing,2.0,20.5,0.0,70.0,2.0,3.0
149,"[12, 13, 15, 31, 32, 34, 35]",154036,Kardboard Kings: Card Shop Simulator,"[6, 130]",Open your own Card shop by the seaside in Kardboard Kings Card Shop Simulator Buy trade and sell Cards or keep them for your own collection Earn reputation with customers beat your shop goals unlock new decorations and host exciting events to bring everyone to the best Card shop in town,Missing,Missing,3.13,5.33,41.73,70.0,5.0,13.0
