,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[15, 31]",222335,Yoru no Majin to Ikusa no Kuni: Samayoeru Vampire,[37],You are a normal person by day and a vampire by night  Day or night various events will occur depending on the actions you choose,Yoru no Majin to Ikusa no Kuni Samayoeru Vampire is an Action game developed and published by Poisoft which was released in Japan in 2012,Missing,,,,,,
1,"[12, 31]",150080,"BS The Legend of Zelda ""MottZilla Patch""",[19],Missing,BS Legend of Zelda MottZilla Patch is a ROM hackmod for BS Zelda no Densetsu Map 2 It makes the game able to be played on a real SNES making it a single game with both BS Zelda games Maps 1 and 2 with a time limit of 50 minutes per week weeks on the Satellaview worked like timelimited episodes,Missing,,,,,,
2,[12],145626,Pokémon Sacred Gold,[20],Missing,Pokémon Sacred Gold is a hack of Pokémon HeartGold for the Nintendo DS Like Drayanos many other Pokémon hacks it makes all Pokémon available makes changes to a variety of different Pokémon to increase their viability increases the difficulty compared to the official games and makes some minor story changes,Missing,,,,,,
3,Missing,143765,Pokémon Storm Silver,[20],Missing,Pokémon Storm Silver is a hack of Pokémon SoulSilver for the Nintendo DS Like Drayanos many other Pokémon hacks it makes all Pokémon available makes changes to a variety of different Pokémon to increase their viability increases the difficulty compared to the official games and makes some minor story changes,Missing,,,,,,
4,Missing,141691,Minna no Ennichi,[37],Missing,Missing,Missing,,,,,,
5,"[5, 12]",92613,Guild 01,[37],Missing,Missing,Missing,,,,,,
6,"[9, 15]",85409,Sudoku by Nikoli,[37],Missing,50 Sudoku questions are collected Sudoku is the most famous puzzle in the world,Missing,0.0,60.0,0.0,40.0,1.0,1.0
7,Missing,85335,Paul's Shooting Adventure 2,[159],Missing,Paul and his twin brother join forces to smash the Insectians in this explosive sequel,Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,"[9, 15]",85224,Kakuro by Nikoli,[37],Missing,With the Nikoli puzzle series you can enjoy highquality Kakuro puzzles created by Nikoli who gave the worldfamous puzzle its name,Missing,,,,,,
9,Missing,85035,Chronicles of Vampires: Awakening,[159],Missing,Previously in Chronicles of Vampires Linda Hyde discovered a supernatural conspiracy threatening the world,Missing,,,,,,
10,Missing,84874,Snakenoid Deluxe,[159],Missing,The game is an unique blend of classic game concepts,Missing,,,,,,
11,[31],84691,99Seconds,"[41, 159]",Missing,The saga continues after 99Bullets,Missing,0.0,0.0,0.0,0.0,0.0,0.0
12,Missing,84590,Cat Frenzy,[159],Missing,Slide  Match adorable kittens to set them free in over 101 levels full of puzzles and purrs,Missing,,,,,,
13,"[13, 15]",84589,Cats and Dogs 3D: Pets at Play,[37],Missing,Pick from a wide range of both cats and dogs and take care of them and watch as they grow and develop into fully trained pets At playtime use one of the various toys to keep them entertained and healthy and teach them new tricks so they can compete in competitions,Missing,,,,,,
14,"[12, 31]",80596,Dragon Quest Monsters: Terry no Wonderland 3D,[37],Missing,Dragon Quest Monsters Terry no Wonderland 3D is the Nintendo 3DS 2012 remake of the 1999 Dragon Quest Monsters Published by Square Enix and developed by TOSE,Missing,,,,,,
15,[14],63566,Curling Super Championship,[159],Missing,A curling game by Cypronia for the DS and PC,Missing,,,,,,
16,"[12, 13, 15, 32]",61069,Kairobotica,"[6, 34, 39, 48, 130]",Missing,Kairobotica is a simulation game from Kairosoft CoLtd,Missing,0.0,13.27,0.0,70.0,1.0,2.0
17,"[5, 33]",47442,Mushihimesama HD,"[6, 12, 130]",Huge insectlike creatures called Koju roam the forest outside the village of Hoshifuri When Recos people fall to a mysterious sickness the young princess decides to leave the village and meet the God of the Koju who may provide a cure Riding her faithful Golden Beetle friend Kiniro Reco must traverse the wilds braving the hostile landscape and the aggressive Koju beasts on her journey through the Shinju Forest,An updated port of Caves bullet hell shoot em up Mushihimesama Features new Beginner and Arrange modes and a port of Mushihimesama Cave Matsuri Ver 15 as DLC,Missing,,,,,,
18,"[12, 35]",44073,Million Arthur,"[34, 37, 39, 46]",Missing,The games servers were taken down at different times across all platforms The iOSAndroid global versions shut down date is listed for offline date  Choose your Arthur and embark on the quest to collect rare cards and grow stronger in battle Explore the lands and defeat bosses to obtain cards and tickets which may yield rarer cards Strengthen your deck by leveling up your cards or even combining cards to trigger an evolution Combining two similar cards also activates a Limit Break which increases the cards max level making it more powerful  Build up your deck and battle bosses and fellow Arthurs to be the King of them all,Missing,,,,,,
19,"[5, 13, 33]",44012,Deer Drive Legends,"[5, 37, 130]",Missing,Go for the ultimate trophy Deer Drive Legends takes you to the far corners of the earth where you will go after wild animals rarely seen by the human eye some even believed to be extinct Captured in rich 3D environments these animals are both elusive and quick Stalk different species of elk deer big cats and more in the most exciting and realistic game available for Nintendo 3DS,Missing,,,,,,
20,"[9, 15]",21733,Amoebattle,"[20, 159]",Missing,Built from the ground up Amoebattle delivers a portable twist to the real time strategy genre and brings the experience to the palm of your hand Intuitively command your troops using the Touch Screen as you discover interesting types of amoebas journey through fantastic environments and lead your amoebas to victory in battleAmoebattle,Missing,0.0,0.0,12.65,70.0,1.0,1.0
21,"[13, 31, 34]",17906,If My Heart Had Wings,"[6, 9, 34, 39, 46, 130]",The story of the game is set in Kazegaura a suburb in Japan just outside of Tokyo  The main characters in this story are students at the Keifu Academy a technical school also known as a specialized vocational high school  The protagonist of the game Aoi Minase is a young boy who lost his dream in a bicycle racing accident and subsequently returns to his hometown There he meets Kotori Habane a young girl stuck with a wheelchair with a flat tire on a hill with windmills  They then spot large white wings traversing the sky over the hills a glider Both had yet to realize that everything would begin from this  Working together with Aois childhood friend Ageha Himegi they begin rebuilding the Soaring Club which was just about to be disbanded  In order to realise the dream everyone has as a child I want to soar up to the great sky and fly these beginners take hold of their passion overcoming failures and obstacles from the school to put their all into building a glider  They strive to fly through the morning glory a special weather phenomenon that enables a special type of rollshaped cloud that appears in the morning when the conditions are just right,This game is an animated visual novel based on a youthful dream filled high school life story This game portrays the player as Aoi the protagonist and brings the player through the feat of building the glider that will realise their dreams while bonding with the female characters,89.85929198434789,20.6,31.54,46.34,75.0,48.0,81.0
22,"[9, 15, 33]",47654,Art of Balance Touch!,[37],Missing,Grab your stylus and build a balanced stack in this physicsbased puzzler  Puzzle games must be addictive This was our top priority during the development of the game Thats why we designed 200 levels that not only challenge your skills but also your imagination With its perfect touch controls Art of Balance TOUCH is easy to pick up and hard to put away  Seeking a real challenge Then try out the new endurance mode and drive your score ever higher  Art of Balance TOUCH brings the ultimate just one more puzzle experience to your Nintendo 3DS,77.0,,,,,,
23,"[2, 9, 31, 32]",9048,The Journey Down: Chapter One,"[3, 6, 14, 39, 130]",Missing,In a shady corner of Kingsport Bay at the outskirts of St Armando Bwana and his trusted sidekick Kito struggle to make ends meet at their rundown gas station Little do they know that they are about to be thrown into a spinetingling adventure that will take them far from home and right into a twisting plot of corruption and danger  In the first chapter of The Journey Down the search for a lost journal leads to forgotten secrets of the mysterious Underland Follow Bwana and Kito as they puzzle their way forward and begin to uncover the true fate of their long lost father Captain Kaonandodo,69.55813636257456,,,,,,
24,"[13, 15]",85413,Sweet Memories Blackjack,[37],Missing,Sweet Memories Blackjack is a card game that allows you to play blackjack with a number of different girls,63.0,8.0,12.83,0.0,63.0,3.0,2.0
