first_release_date,genres,id,name,platforms,summary,rating,storyline
1000857600,"[13, 14]",8845,NFL 2K2,"[8, 11, 23]",NFL 2K2 is a complete football simulation giving you a variety of ways to play You can compete in a single exhibition game start up a franchise or move directly to the playoffs  NFL 2K2 uses a TVstyle presentation featuring telestration action replays sideline animations stadium lighting and a director feature that zooms in on the play  Included in NFL 2K2 are all the teams and plays from the 20012002 season including stadiums and uniforms,Missing,Missing
1000944000,"[10, 13, 14]",5829,EA Sports F1 2001,"[6, 8, 11]",Battle for position at every sweeping bend highspeed straightaway and hairpin turn within the worlds most glamorous sproting arena Engage in high stakes racing from Monaco to Monza and take on the most intelligent and daring racers to hit the Formula One circuit,Missing,Missing
1000684800,[10],3703,Arctic Thunder,"[8, 11, 52]",From the makers of Hydro Thunder comes the next mad racer by Midwaynow digging into frozen race fields and fully throttled with the PlayStation 2 12 outlandish winter tracksFrom the Swiss Alps to the Blizzard in DC to the lost city of Atlantis each track will challenge your skill and assault your senses Amazing air cool tricksPerform up to 62 tricks to get points Each character has unique moves WeaponsAtomic snowballs proximity missiles snow bombs and more are there to use as you battle your way to the finish line HandtoHand FightingPunch and kick your opponents off their sled,Missing,Missing
1000944000,"[5, 11, 15, 24, 31]",653,Commandos 2: Men of Courage,"[6, 8, 11, 14]",From the heart of the Third Reich to the most remote islands in the South Pacific Sergeant Jack Butcher OHara and his elite group of gritty soldiers must combine their expertise and venture deep into enemy territory in an attempt to change the course of the warFrom the deepest bunkers and artillery posts of the Third Reich or the dreaded Colditz castle prison to the bulkhead of an aircraft carrier at sea Commandos 2 features the most realistic and detailed gaming environments ever seen Once again players take command of the elite platoon utilising each of their unique abilities to complete missions deep in enemy territory Commandos 2 is the most immersive and realistic PC strategy gaming experience there is creating a new benchmark,86.35780967649582,Missing
1000684800,"[13, 14]",815,NHL 2002,"[6, 8, 11]",NHL 2002 is a video game released by EA Sports in 2001 It is the predecessor to NHL 2003 The games cover man is Pittsburgh Penguins superstar and owner Mario Lemieux who had just made a stunning comeback after being retired for three and a half years It was the first installment of the NHL series to be released on Xbox,85.8555052298248,Missing
999734400,"[12, 31]",1218,Shenmue II,"[6, 11, 23, 48, 49]",Yu Suzukis cinematic masterpiece returns with more spellbinding adventure and an even more immersive world The epic continues as Ryo Hazuki arrives in Hong Kong on his quest to avenge his fathers murder by the warlord Lan Di and unravel the mystery of the Phoenix mirror Set in Hong Kong Kowloon and Guilin youll travel through breathtaking scenery rich with mountainous wilderness traditional Taoist temples and stunning tropical landscapes As you move through massive highlydetailed 3D worlds youll interact with almost every facet of your environment as well as a whole new cast of characters  Originally released on Dreamcast in Europe and Japan this Xbox edition marks the sequels debut in the US and includes the Shenmue Movie chronicling the first episode in the series,81.26145892174708,Missing
1000252800,[14],3539,Madden NFL 2002,"[6, 8, 11, 21]",1 for a reason Return to glory Relive the golden days of 16bit Madden gameplay in Madden Classic mode Kick off the season with the newest NFL team Take the field with all 32 NFL teams including the expansion Houston Texans A game within a game Run or defend an improved 2Minute Drill now featuring HeadToHead Challenge BangBoomPow Perfect the Xs and Os with the help of John Madden in Training mode,80.0,Missing
1001289600,[14],4046,NHL Hitz 2002,"[8, 11, 21]",Midway introduces hockey with its norules twist that is seen in NFL Blitz Hockey may have fewer rules than football but NHL Hitz features hardhitting action and very simple 3on3 gameplay The game has franchise modes for a created team that you can design along with championship and exhibition modes You earn attribute points and credits that you can use to unlock items and improve your players along the way There are several minigames and extras hidden deep in the game for you to unlock NHL Hitz is Midways attempt at making the most actionpacked hockey game to ever hit consoles,72.23173083995076,Missing
1000944000,"[24, 25]",2984,Dynasty Warriors 3,"[8, 11]",It is third in the Dynasty Warriors series in North America and the second in the Shin Sangokumusou series in Japan It is a spinoff from the video game Romance of the Three Kingdoms and based around a series of books by the same name written by Luo Guanzhong It contains a number of fictional and nonfictional elements from the same era in Chinese history that Romance of the Three Kingdoms is set but follows the main events of part of the story which is to unify China under the single rule of a kingdom,70.31940156164401,Dynasty Warriors 3 is set across Ancient China in the time of the Three Kingdoms era The game begins at the fall of the Han Dynasty shortly after the death of the Emperor Ling when the leader of the Way of Peace Zhang Jiao led an uprising against the Empire  The game features a strong mix of fact and fiction from Chinese History and often exaggerates characters and their personalities for example Lu Bu is portrayed as a virtually unbeatable violent maniac Most of the events and stages are reported to have occurred in the Three Kingdoms era during the struggle of power The three kingdoms primarily involved Shu Wu and Wei each sought power enough to overthrow the other two and unify China under their rule Although the story in Dynasty Warriors is not perfect in the sense that it does not accurately follow the historical events it has been changed to make the game more playable and less repetitive For example a number of the characters in the game died in the time frame that the game is set but they still appear in later stages The game features environments resembling that of Ancient China and various items from the era such as Fairy Wine and Dim Sums  It also touches on Mysticism as some characters Zhuge Liang Sima Yi Pang Tong have either magical elements in their attacks or completely magical attacks
999648000,"[9, 15]",4200,Tetris Worlds,"[6, 8, 11, 21]",For over a decade the Tetris series has made an appearance on every game system Tetris Worlds continues that streak bringing their distinct brand of simple yet addictive gameplay to the current generation of systems Small shapes called Tetraminoes fall from the top of the screen to the bottom and you must rotate them and fit them together to complete lines The game features six different variations of the classic Tetris multiplayer mode for up to four players and six different worlds Sound easy Once you start you cant stop,61.0,Missing
