first_release_date,genres,id,name,platforms,rating,summary,storyline
747532800,"[5, 8, 33]",6405,Gunstar Heroes,"[3, 5, 6, 9, 12, 14, 29, 34, 39]",83.55401596368715,The Gunstar family are the protectors of the planet Gunstar 9 After many years of peace vicious dictator Colonel Red kidnapped the Gunstar twins older brother and used mind control to make him his slave,Missing
748742400,[8],5452,Sonic CD,"[3, 6, 9, 12, 34, 39, 72, 74, 78, 132]",73.16965385685448,Sonic travels to the distant shores of Never Lake for the onceayear appearance of Little Planet  a mysterious world where past present and future collide through the power of the Time Stones that lie hidden within it  Sonic arrives only to find the once beautiful world imprisoned beneath a twisted metallic shell His archnemesis Dr Eggman has come for the Time Stones and with them will soon have the power to control time itself  In order to put an end to Dr Eggmans nefarious schemes Sonic must use the power of Little Planet to travel through time breaking Dr Eggmans hold over the future by destroying his machines in the past and recovering the missing Time Stones,Missing
748137600,[4],5385,Fatal Fury Special,"[3, 5, 6, 12, 14, 19, 35, 52, 58, 77, 78, 79, 80, 118, 121, 136, 150]",70.13250073880137,The GRANDMOTHER of all battles 15 of the FATAL FURY series top stars gather in the match of the millenium Use the resurrected Geese Howard and Wolfgang Krauser in a dazzling arena All you have ever wanted in a fighting game is here in FATAL FURY SPECIAL,Geese Howard a man feared by the world as the dark ruler of South Town He shocked the land with his violent techniques and was confident that no one could ever top him To rid himself of the man Geese took the life the street champ Jeff Bogard However several years later three men arose to stop Geeses ambition They were the sons of the dead Jeff Terry and Andy Bogard and Muai Thai champ Joe Higashi  After Geese was defeated by them he was believed to be dead However as time passed a disturbing rumor began to float around the world  Geese is alive  His elder halfbrother Wolfgang Krauser took the reigns of the underworld after his younger brothers passing However the resurrected Geese deprives Krauser his seat of glory and the Bogard brothers burn with the flames of revenge Terry and Andy hear where Geese is located  Were coming for you Geese  A new legend is about to begin
