first_release_date,genres,id,name,platforms,summary,rating,storyline
741398400,"[2, 9, 31]",21868,Dust: A Tale of the Wired West,"[6, 14]",Dust is a pointandclick adventure game with integrated fullmotionvideo characters Players explore the town of Diamondback New Mexico in the 1880s solving mysteries and enacting vigilante justice,Missing,Missing
739324800,"[15, 24]",49,Syndicate,"[6, 13, 14, 118, 149]",The aim of the game is to spread the dark stain of your syndicates colour across the entire surface of the globe The world map is divided into various territories From your home base in europe you invade adjacent territories and through the violent subterfuge of your agents wrestle them from rival syndicates Having done so raise taxes on the locals to increase your profits and punish them for serving the wrong syndicate  But raising taxes can make you very unpopularand furious natives leading popular rebellions can eat into syndicate profits So keep an eye on foreign interests and pick off troublemakers with your teams of agents And while youre busy expanding your syndicates empire abroad rival agents are working in your own back yard to destabilise your syndicate Ensure agents are briefed to weed out traitors whose actions might bring about your downfall  By meeting all challenges destroying all targets and gaining control of all the territories your syndicate triumphs,83.50995765353099,Missing
739152000,"[9, 10, 14]",6564,Rock n' Roll Racing,"[6, 19, 24, 29]",The game pits four racers against each other with up to two of them being playercontrolled and the rest being AI opponents Each race consists of four laps around tracks viewed from an isometric perspective which enables players to discern the presence of frequent sloping sections spread throughout the games various tracks In addition to navigating the turns racers must also maneuver hills and dips without falling or jumping over the guard rail at the tracks edge,83.00131150404441,Missing
740966400,"[25, 31]",16369,Golden Axe III,"[5, 6, 29]",Chaos is spreading across the land once again as the Prince of Darkness arises to conquer the world To stop him and retrieve the legendary Golden Axe four heroes step forward to accept the challenge,78.89802489731315,Missing
740102400,"[2, 31]",2911,Leisure Suit Larry 6: Shape Up or Slip Out!,"[6, 13, 14]",Shape Up or Slip Out is the fifth game in Al Lowes Leisure Suit Larry series All the events from the previous games are forgotten Larry is once again single and again his goal is to capture the interest of various ladies By sheer coincidence Larry finds himself on a TV Game Show called Stallions He wins a weekend at the Spa Resort La Costa Lotta Naturally there are some beautiful women in the spa who are just dreaming about such a wonderful handsome man as Larry Uh or is it really so It is the players goal to find out  This instalment focuses more on conversations with women and puzzles than on the storyline The entire game is spent at La Costa Lotta There are plenty of traditional inventorybased puzzles to solve in the game Larry can die but the player is allowed to try again every time that happens without the need to restore a saved game This is also the first Larry game with SVGA graphics and voiceovers in the CD version,73.07692281942143,Larry Laffer is once again single at the outset of the game as his girlfriend Passionate Patti has been retconned out of the series After competing  and losing  on the television dating show Stallions Larry gets an allexpensespaid trip to La Costa Lotta a refined health spa Due to his status as nonpaying guest he is treated rudely by the staff and given the worst room on the premises As such none of the available women in the resort want anything to do with Larry though it is possible to change their minds with the right gifts
