genres,id,name,platforms,rating,summary,storyline
Missing,82416,Sniper Ghost Warrior 3: Season Pass Edition,[49],60.0,Buy now and get  Sniper Ghost Warrior 3 base game  Season Pass  Buy now and get ready for a full season of amazing content with the Sniper Ghost Warrior 3 SEASON PASS  The Season Pass gives you access to  Two major single player expansions  The Escape of Lydia  The Sabotage  Two multiplayer maps  All terrain vehicle  Sniper Rifle McMillan TAC338A  Compound Bow  Go behind enemy lines and expand Sniper Ghost Warrior 3 with the Season Pass,Missing
Missing,82404,"Voice Commander, a Microsoft Garage project",[49],60.0,Voice Commander a Microsoft Garage project is a fast paced space themed RTS and topdown shooter combo Pick up a controller and work with Vox using voice commands to try to stop relentless attacks Voice Commander can be played with up to eight controllers and anyone in the room can issue voice commands  Microsoft Garage turns fresh ideas into real projects Learn more at microsoftcomgarage,Missing
Missing,82384,Doodle God: Ultimate Edition,[49],60.0,UNLEASH YOUR INNER GOD AND CREATE A NEW UNIVERSE  In this addictive puzzle  world building game mix and match different combinations of elements to create an entire universe As you create each new element watch your planet come alive Of course the universe was not created in a day Youll have to work your up from a simple microorganism in order to create animals tools storms sky scrappers and even build armies before you have what it takes to build the universe But beware the power of creation may have unintended consequences inventing the wheel might just trigger a zombie plague  Dont worry you are not alone on this cosmic journey Every time you successfully create a new item youll be rewarded with the wit and wisdom of some of the greatest philosophers and comedians of all time The new Planet and PVP modes offer a new challenging way to create a universe of your dreams Available in 13 Languages Unleash your inner god with Doodle God,Missing
[14],64566,Top Hand Rodeo Tour,[12],60.0,A rodeo game for Kinect from D3 Publisher,Missing
Missing,64273,My Body Coach 3,[12],60.0,Third game in the series,Missing
"[7, 14]",57303,Beatsplosion! for Kinect,[49],60.0,A rhythm and fitness game for Xbox One Kinect by Virtual Air Guitar Company,Missing
[12],47473,Two Worlds II: Velvet Game of the Year Edition,[12],60.0,Two Worlds II Pirates of the Flying Fortress  Two Worlds II  Collectors Accessory  Trust might be said to be the rarest currency in Antaloor  An unknown and destructive power has invaded the world of Antaloor and threatens to set the seal of triumph to the dark lord himself But there is more than just evil here as the player gets some surprising aid from an unexpected allegiance from a bloodthirsty band of orcs Experience this epic story about the lust for power doubtable alliances and the mysterious Dragon Queen The RPG saga and its expansion Play the RPG hit Two Worlds II and then hoist the sails to the dangerous archipelago of pirates In the expansion Pirates of the Flying Fortress you will be overwhelmed by the extraordinary experience and adventure as you visit a brand new section of Antaloor See beautiful new environments and let yourself been drawn into the maelstrom of adventure far away from the mainland,Missing
"[9, 10, 32, 33]",20954,Squid Hero for Kinect,[49],60.0,Play as a Squid Hero in this singleplayerlocal coop Kinect game developed by Virtual Air Guitar Company,Missing
"[10, 12, 13, 15, 31, 32]",20951,Slice Zombies for Kinect,[49],60.0,Slice zombies using the Xbox One Kinect,Missing
[7],7053,Lips: Number One Hits,[12],60.0,Lips Number One Hits is a karaoke video game for the Xbox 360 console and the followup to the 2008 title Lips Like its predecessor the game was developed by iNiS and published by Microsoft Game Studios It was released on October 20 2009 in North America and October 23 in Europe and received generally average reviews Spinoffs of the game have also been released including Lips Deutsche Partyknaller and Lips Canta en Español    Lips Number One Hits features the use of motionsensitive microphones which is also compatible with other music video games such as The Beatles Rock Band1 The game is sold separately and in packages including one and two microphones    Each copy of Lips Number One Hits includes a redemption code for downloading one of three 5song track packs for free2,Missing
