,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[2],272811,Abandoned: Discovery Island,[6],Youre an intern for the SSA They gave you an assignment to spend the night monitoring Treasure Island an abandoned Disney resort But not everything is what it seems You wonder whats really there,Abandoned Discovery Island Five Nights at Treasure Island Found before V080 is a fanmade revival of Five Nights at Treasure Island a fangame based off of Five Nights at Freddys by Scott Cawthon and Abandoned By Disney by Christopher Howard Wolf,Missing,,,,,,
1,Missing,271169,DC Universe Online: Episode 23 - The Will of Darkseid and Brainiac's Bottle Ship,"[6, 48]",Missing,On April 6 2016 for members and April 13th 2016 for nonmembers the twentythird episode The Will of Darkseid and Brainiacs Bottle Ship was released The episode revolved around dealing with prisoners who had escaped from the Phantom Zone and a potential new invasion from Darkseids forces Some of the core features of this episode include one Tier 7 2PLayer Operation in The Will of Darkseid and one Tier 7 8Player Operation in Braniacs Bottle Ship,Missing,,,,,,
2,[31],259333,Harmonic Time-Bind Ritual Symphony,[6],Missing,A musicians manic episode binds fiction and reality into a joyful union,Missing,,,,,,
3,[32],252205,University,[6],Missing,In this horror game you get to guard a school where a previous killing was taken  Ever been to a haunted school well nows your chance,Missing,,,,,,
4,"[12, 31, 32]",249468,Tomb of Friends,[6],Missing,Tomb of Friends is a videogame in which you make lots of friends,Missing,,,,,,
5,"[5, 12, 31]",248317,Dying Light: Enhanced Edition,[6],Missing,Dying Light Enhanced Edition is all you need to start your adventure in the postapocalyptic world ruled by zombies Featuring an expansion with the buggyyour new ride an additional game mode two extra quarantine zones and two bundles,Missing,,,,,,
6,Missing,241156,Terraria: Fargo's Mod,[6],Missing,Fargos Mod is a mod for Terraria that adds a variety of content across all stages of the game and features crosscompatibility with many other prominent mods It is split into two main mods Fargos Mutant Mod and Fargos Soul Mod with the latter having two small addons,Missing,,,,,,
7,Missing,238872,Mordheim: City of the Damned - Hired Swords Bundle 2,[6],Missing,Missing,Missing,,,,,,
8,"[2, 15, 32]",238361,Final Nights 2: Sins of the Father,[6],Missing,That which you have created is now tormenting you The animatronics are burnt and beaten but theyre alive and they know what you did  In the sequel to the FNaF fangame Final Nights it is your duty to fix these abominations during the day and survive their torment during the night  After setting up your makeshift security system and other precautions you are ready to take on the terror and end this nightmare once and for all  Or are you,Missing,,,,,,
9,[13],227153,Rocksmith 2014 Edition: Remastered - Disturbed: Song Pack II,[6],Missing,Play Stricken Indestructible Inside the Fire The Night and Ten Thousand Fists by Disturbed on any electric guitar or bass Each song includes a new authentic tone,Missing,,,,,,
10,[32],225554,Luna and the Stars,[6],Missing,In the game players control the level headed and kind Luna as she rescues her friends from Soleil Soleil is tired of humans writing more poetry and songs about the night sky than the sun so shes stolen the stars brought about eternal daylight Its up to Luna to restore the beauty of the night sky and save her starry friends You must avoid Soleils fiery wrath while collecting stars in order to regain your magic and take her down,Missing,,,,,,
11,"[13, 32]",224304,Euro Truck Simulator 2: Wheel Tuning Pack,"[3, 6, 14]",Missing,Ultimate wheel customization is here Paint tune and customize your nuts discs hubs and hub covers exactly as you want,Missing,,,,,,
12,[34],223076,Dynamic Chord feat. Liar-S Append Disc,[6],The protagonist is a university student named Futaba Nina Raised by her overprotective parents and ignorant of the ways of the world Nina is a wealthy girl who had never properly fallen in love before  One day she is invited by a friend to a bar that hosts live music events Nina was captivated by the singing ability of Hinomiya Sakura and Suzuno Chiyas composition both of whom belongs to a certain band Around the time she left the bar and as her excitement of the live show cooled down she received a single SMS on her mobile phone It was from Yuisaki Seri a former acquaintance of hers  What will be the fate of the love between a wealthy girl who had lead a life without any association with rock bands and a band member,A disc appending Sakura Chiya and Seris individual routes with the Encore scenario which will contain an extra scenario and endings set after the events of the original LiarS game  The subcharacter Soutarou will have his own romance route and endings in addition to an Encore scenario,Missing,,,,,,
13,"[16, 31, 34]",198465,Dayshift at Freddy's,[6],You start working at a Freddys pizzeria and a mysterious purple man tells you to do some dirty work with him,Dayshift at Freddys is a satirical visual novel game parodying the franchise Five Nights at Freddys,Missing,1.19,2.67,0.0,80.0,2.0,5.0
14,[34],194477,Hara Katsu!: Ki ni Naru Ano Ko to Kozukuri Ecchi~,[6],Missing,Missing,Missing,,,,,,
15,[33],184324,Tonari no Totoro,[6],The game is a simple pixilated 4 MB game that places you in the shoes of Mei Mei You move back and forth and have to collect as many acorns as you can under a certain amount of time,Fan game based on the movie My Neighbor Totoro,Missing,,,,,,
16,"[7, 10]",182830,Dire,[6],Missing,A survival car chase about a single mother in a dying world,Missing,,,,,,
17,[34],181945,Kyokujitsu ni Kokoro Arawasu Ni: Haruhi to Nisshin,"[6, 14, 34]",Missing,A maiden game set in the Navy during the RussoJapanese War The number of captures is three There is a quiz in the minigame Playtime is about 7 hours Live performances are also welcome,Missing,,,,,,
18,"[2, 9, 31]",171847,The Man From Fugue State,[6],Missing,A stranger arrives in the sleepy town of Tumbleweed with no memory of his identity only to find the residents suffering at the hands of feared outlaw El Marcado the marked one Soon he finds himself caught up in a plot to defeat the outlaw once and for all But who is this stranger and why is the mysterious El Marcado so interested in Tumbleweed,Missing,,,,,,
19,[31],171321,Koala Quest: Parenthood Prevention,"[3, 6]",Missing,Koala recently got knocked up but shes not at all enthused about giving birth and raising a kid Its up to her and her neighbors to find the herbs necessary to end pregnancy  Action Diplomacy Adventure Elemento This multigenre game has it all Or maybe just those four things,Missing,,,,,,
20,Missing,168175,Dariusburst: Chronicle Saviours - Fantasy Zone,[6],Missing,Fantasy Zone is famous for its free scrolling and shop system Similar to the original shooting down enemies will drop coins which you can use to buy stronger attacks,Missing,,,,,,
21,Missing,168174,Dariusburst: Chronicle Saviours - Space Harrier,[6],Missing,Space Harrier is an alltime SEGA classic and pioneer in pseudo3D graphics With Harrier you can set up fixed bursts and shoot all around,Missing,,,,,,
22,Missing,168171,Dariusburst: Chronicle Saviours - Galaxy Force II,[6],Missing,An extreme motion game in a fantastic universe Galaxy Force II was a pioneer in pseudo3D graphics Use your evasion roll while shooting missiles to down enemies,Missing,,,,,,
23,[31],168159,Naruto Shippuden: Ultimate Ninja Storm 4 - Gaara's Tale Extra Scenario,[6],Missing,Gaaras Tale Extra Scenario Pack includes  Adventure Scenario Bonds of the Sandy Sea 3 New Linked secret techniques  SasukeRinne SharinganItachi  LeeNejiTenten  LeeGuy  1 new costume  Sasuke Wandering Ninja  Costumes from previous series Matching voices Ninja Info Cards Ninja Treasure,Missing,,,,,,
24,[31],167130,Shoujo Gidan,[6],Missing,Waking up in a strange prison you will work with a girl who is also there to escape from the building  A sequel to Shoujo Kidan,Missing,,,,,,
25,[13],162037,Train Simulator: DB BR 648 Loco Add-On,[6],Missing,Expand your collection of modern German passenger trains with the introduction of the DB BR 648 to Train Simulator The DB BR 648 is a twocar diesel multiple unit DMU built by Alstom as part of their Coradia family of multiple units The BR 648 for Train Simulator is available in Deutsche Bahn Traffic Red livery and recreates the DMU as it operates today for DB on the HamburgLuebeck Railway route,Missing,,,,,,
