,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
32,"[10, 13]",65339,Speed Dreams,"[3, 6, 14]",Speed Dreams is a Racing Motorsport Simulator featuring highquality 3D graphics and an accurate physics engine all targeting maximum realism It mainly aims to implement exciting new features cars tracks and AI opponents to make a more enjoyable game for the player,Missing,Missing,,,,,,
33,"[9, 31]",65205,Mystery P.I.: The London Caper,[6],Mystery PI The London Caper is another entry in the hidden object series,Missing,Missing,,,,,,
34,[34],63875,Cure Mate Club,"[6, 39, 46, 82]",Missing,Missing,Missing,,,,,,
35,[5],52317,Combat Zone Special Forces,[6],Missing,Missing,Missing,,,,,,
36,"[13, 33]",51625,Wings of Prey: Wings of Luftwaffe,[6],In Wings of Luftwaffe the player takes the role of a German pilot and participates in explosive battles over Britain Sicily the USSR Belgium and Germany From blocking airdromes to attacking aircraft to destroying ground targets the player will fight with honor and bravery for the glory of GermanyAir combat fans will enjoy strapping into one of the games many planes and seeing the Second World War through the eyes of a German pilot Wings of Luftwaffe puts players in the heat of battle and creates an experience so lifelike players will feel their padded seat yield to their weight as they evade the attacks of their enemies Wings of Luftwaffe offers a chance to experience first hand the desperate fight in the skies over Europe during World War II,Missing,Missing,,,,,,
37,"[5, 12, 31]",47440,BioShock 2: Special Edition,"[6, 9, 12]",Special Edition Includes BioShock 2 game a vinyl 180g LP with Bioshock 1 orchestral score and frameable jacket an audio CD with Bioshock 2 orchestral score 3 vintage Rapture advertisements rolled a Bioshock 2 Art Book 164 pages 8 12 x 11 and hardcover,Missing,Missing,,,,,,
38,[5],41890,Battlefield: Bad Company 2 - Limited Edition,"[6, 9, 12]",The Limited Edition includes   Battlefield Bad Company 2  Early access to the following six ingameunlocks  Improved Vehicle Armor  Supreme Vehicle Firepower  Vehicle Motion Sensor  Tracer Dart Pistol  M1A1 Submachine Gun from Battlefield 1943  M1911 Pistol from Battlefield 1943,Missing,Missing,,,,,,
39,"[2, 9, 31]",29024,Haunted Manor: Lord of Mirrors - Collector's Edition,"[6, 14, 39]",Help Stan Riddle escape the Haunted Manor and come up with a clever escape plan to reach your friends,Help Stan Riddle escape the Haunted Manor After being trapped by the Lord of Mirrors Stan needs you to guide him to safety Find valuable items and piece together perplexing puzzles Discover why a beautiful mansion has been abandoned and what caused the owner to disappear Come up with a clever escape plan to reach your friends,Missing,,,,,,
40,[15],27863,The Settlers 7: Paths to a Kingdom - Gold Edition,"[3, 6]",Choose your own path to victory in The Settlers 7 Paths to a Kingdom the longanticipated sequel to the awardwinning strategy game Embark on an exciting quest to create build and manage your kingdom in the most innovative customizable and replayable version ever,Missing,Missing,,,,,,
41,"[5, 32]",27169,Double Spoiler: Touhou Bunkachou,[6],Double Spoiler Touhou Bunkachou is a danmaku verticalscrolling photography game and the 125th official installment of the Touhou Project It was released between Touhou Hisoutensoku 123 and Fairy Wars 128 It is a followup to Shoot the Bullet which is similar in both gameplay and concept,Aya Shameimaru the tengu reporter runs the Bunbunmaru Newspaper She looks for and takes pictures of humans youkai and any other beings that may be interesting to write about Another tengu Hatate Himekaidou runs the Kakashi Spirit News fuelled by her thoughtography Hatate wondering why Ayas seemingly ridiculous newspaper is so popular decides to observe Aya as she gathers her news This section of the story takes place as the player controls Aya Upon reaching the Spoiler stage the two meet and Hatate declares war on Aya and her newspaper expressing her disapproval of the tabloid sensationalist nature of her newspaper Hatates journey is represented through the player replaying the game as her seeing her take on the events Aya has covered,Missing,,,,,,
42,Missing,25270,Caroline's Garden,[6],Carolines Garden is a story driven game in which Nano a young gardener has to help Caroline to grow the most beautiful flowers and sell them for a profit Trying to win the Alun Alun flower festival is a challenging side quest and it is vital to keep developing new types of flowers by doing research and gathering information down the pub always a good place to come up with a great idea afterall Unlock new gardens as you go along and keep an eye on your energy and nutrition values while you work hard to complete each mission,Missing,Missing,,,,,,
43,[12],23509,A Quest Too Far,"[3, 6]",A Quest Too Far is a roguelike game 7 day roguelike where you play a veteran adventurer fighting to overcome monsters despite his age and poor health,You have beaten the Dungeons of Doom  You have saved kingdoms slain dragons and fought evil  a true hero  But that was all a long time ago  Now youre an old man with a family  Your adventuring days are over  or so you thought  One day you wake up to find your family distraught as your grandchildren are missing  Taking some of your old equipment you follow their tracks into the forest  After many miles you reach the entrance to a cave,Missing,,,,,,
44,[5],22971,Call of Duty: Modern Warfare 2 - Stimulus Package,"[6, 9, 12]",Call of Duty Modern Warfare 2  Stimulus Package is a commercial DLC for Call of Duty Modern Warfare 2 It adds five new multiplayermaps   Bailout An apartment complex  Overgrown A village with open fields known from Call of Duty 4 Modern Warfare  Crash An urban area known from Call of Duty 4 Modern Warfare  Salvage A snowy junkyard  Storm A warehouse complex,Missing,Missing,,,,,,
