first_release_date,genres,id,name,platforms,summary,main,extra,completionist,review_score,review_count,people_polled
736905600,"[8, 9, 15, 31]",39032,The Humans 2: Jurassic Levels,"[3, 6, 14, 16]",Missing,nan,nan,nan,nan,nan,nan
736732800,[12],37798,Taikou Risshiden,"[5, 6, 58]",Taikou Risshiden is a RolePlaying game published by Koei which was released in Japan in 1993,0.0,0.0,0.0,0.0,0.0,0.0
