,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,[5],274009,The Deep,[6],The Deep is a single map for GZDoom 450 and above Made for Realms Deep Map Jam 2021 this map features the rainbow shader from Void  Rainbow nestled amongst a black and white landscape,Missing,,,,,,
1,[5],271805,War Church,[6],Large spacious military basestronghold fortifying an old church The map source is included,Missing,,,,,,
2,[5],271203,The Putrid Pumps,[6],Large metalrunic industrial slime temple,Missing,,,,,,
3,[7],270506,Friday Night Fever: Frenzy,[6],Youre Fever the mayor of Fever Town A trip back from space caused you to crash here instead of home and things began to pile up on your desk ever since Once an abandoned spot on the map its now a hot spot for the worlds rejects criminals scumbags and any others shunned from their homes Your girlfriend is also from space and youre hiding some dark secrets from her can you handle a relationship as well as you can handle being a mayor,Missing,,,,,,
4,Missing,269642,Freelancer: HD Edition,[6],Freelancer HD Edition is a mod that aims to improve every aspect of the game Freelancer while keeping the look and feel as close to vanilla as possible It also serves as a customizable allinone package for players so they dont have to worry about installing countless patches and mods to create the perfect HD and bugfree install,Missing,,,,,,
5,[5],268905,Talparun,[6],3 levels for Hexen in under limit removing ports for Hexen,Missing,,,,,,
6,"[5, 8]",265857,Mr. Triangle Mania 2,[6],Mr Triangle Mania 2 is a platformershooter game with a stupid and wacky meme filled plot,Missing,,,,,,
7,[5],262599,Dark and Forgotten,[6],This is a simple fast WAD with a little higher difficulty than usual but it shouldnt be too punishing The environment focuses on darkness dark techbases and a lot of acid,Missing,,,,,,
8,[12],262006,Final Fantasy: Sky Warriors,[6],An interesting twist on the background history of the original Final Fantasy This game feature what happened 200 years before the original Final Fantasy 1 for the NES featuring an unexpected cast of characters otherwise known as the Sky Warriors in the canon game Witness the catastrophe of the four Fiends of Elements making their grand entrance into the Final Fantasy world and experience the Lufenian response,Missing,,,,,,
9,[5],261460,Sucker Punch 2,[6],Sucker Punch 2 contains nine small singleplayer maps for Doom II The maps require a limitremoving port The WAD is made up from three miniepisodes of three maps each which escalate from easy with green details to harder yellow to hardest red These are slightly larger than the maps in the original Sucker Punch 2018 and should mostly take 35 minutes each to play Difficulty settings are implemented The maps are designed for pistol starts,Missing,,,,,,
10,[5],260885,Schism,[6],Continuing the tradition of modernizing Doom Schism brings its own unique and innovative twists Through six years of development it has seen massive upgrades which have in their own right bolstered the game to something much more than most of other Brutal Doom based projects  New classes have been added such as the Paladin  bestowed with improved renditions of a few of Hexens iconic relics as well as other new and absolutely savage melee weapons  and the Sorcerer  a master elementalist with an allobliterating wide array of magics that make the BFG9000 look utterly flaccid The classic UAC Marine recieved multiple new firearms designed to round out his arsenal All classes can use firearms though only the UAC Marine can use all of them Despite these massively powerful additions Schism is not a power fantasy New much more dangerous foes await the heroes while the preexisting roster was rebalanced,Missing,,,,,,
11,[12],259846,D-Virus: Evil Menance,[6],DVirus Evil Menance is a short RPG made with RPG Maker MV to participate in the Major Jam whose theme was Cosmic  Playing as Melissa Casanova you must use the power of your HERZ to fight against a deadly virus that spread through the Wittelsbach spaceship The HERZ is the only way to fight these demons,Missing,,,,,,
12,[5],259662,Skulltiverse,[6],Skulltiverse is a community project built around constrains in both playable space and build time Each map was mostly completed within a week  The wad contains 32 maps split into 6 themes  Techbase Corrupt Techbase Ruins Marble Hell Fleshy Hell and Void,The UAC has discovered Skullgate  interdimensional portals activated by a magic blue skull and used them to travel between worlds Unfortunately they ran into some demonic problems again,,,,,,
13,Missing,258928,Dungeons & Dragons Online: The Sinister Secret of Saltmarsh,[6],Sinister Secret of Saltmarsh miniexpansion was introduced in Update 50 An evil Alchemists mansion stands alone on a cliff and mysterious lights and hauntings have kept people away despite rumors of great treasure,Missing,,,,,,
